法人番号,法人名,都道府県,市区町村,番地,郵便番号
1130001055112,株式会社ＡＰＵＲＡＳ,兵庫県,たつの市,御津町中島８８６番地５０,6711311
1140001038256,株式会社相生商店,兵庫県,たつの市,龍野町富永３８０番地の６,6794167
1140001038280,池尻殖産株式会社,兵庫県,たつの市,龍野町日飼５９番地の１０,6794122
1140001038289,威風堂株式会社,兵庫県,たつの市,龍野町片山７７２番地の２８,6794123
1140001038306,株式会社オオニシ,兵庫県,たつの市,揖西町小犬丸１９９０番地,6794021
1140001038322,株式会社共栄,兵庫県,たつの市,揖保町門前９６番地,6794153
1140001038339,株式会社孔文社,兵庫県,たつの市,龍野町中村２６９番地の１,6794126
1140001038347,堺電機株式会社,兵庫県,たつの市,揖保町中臣１０１３番地,6794152
1140001038363,神機建材株式会社,兵庫県,たつの市,龍野町日飼３８０番地１,6794122
1140001038371,株式会社菅長,兵庫県,たつの市,揖西町長尾３２４番地,6794027
1140001038388,株式会社太子木材,兵庫県,たつの市,誉田町福田４１８番地,6794132
1140001038405,株式会社谷郷鉄工,兵庫県,たつの市,龍野町日飼２８５番地,6794122
1140001038413,龍野運送株式会社,兵庫県,たつの市,龍野町片山４７７番地の１,6794123
1140001038421,株式会社竜野工務店,兵庫県,たつの市,龍野町日山１０２番地の１,6794161
1140001038438,株式会社トミオカ,兵庫県,たつの市,龍野町富永５３２番地の６,6794167
1140001038446,株式会社名村製材所,兵庫県,たつの市,揖保町東用５０８番地,6794143
1140001038454,西播磨開発株式会社,兵庫県,たつの市,神岡町田中１５４番地の２,6794113
1140001038470,株式会社ハートシステム,兵庫県,たつの市,揖西町小神２０番地の１,6794003
1140001038479,ヒガシマル食品株式会社,兵庫県,たつの市,龍野町富永１００番地の３,6794167
1140001038495,株式会社福水倉庫,兵庫県,たつの市,龍野町四箇２４５番地,6794168
1140001038512,株式会社三木完商店,兵庫県,たつの市,龍野町上川原３６番地,6794172
1140001038520,村上産業株式会社,兵庫県,たつの市,龍野町小宅北６６番地の７,6794128
1140001038529,山本商事株式会社,兵庫県,たつの市,龍野町中村２８４番地１,6794126
1140001038537,安井測量設計株式会社,兵庫県,たつの市,龍野町上霞城９８番地,6794179
1140001038545,株式会社横尾商店,兵庫県,たつの市,神岡町大住寺４３８番地の１,6794108
1140001038553,株式会社ロツキー,兵庫県,たつの市,龍野町堂本６２−２４,6794129
1140001038578,株式会社エム・ティ・エス,兵庫県,たつの市,新宮町北村３５８番地,6794323
1140001038603,株式会社イボキン,兵庫県,たつの市,揖保川町正條３７９番地,6711621
1140001038611,秀峰工業株式会社,兵庫県,たつの市,揖保川町片島８６６番地,6711651
1140001038628,株式会社はりま産業,兵庫県,たつの市,揖保川町黍田５０番地の１,6711632
1140001038636,丸天商事株式会社,兵庫県,たつの市,揖保川町半田６７２番地,6711601
1140001038710,株式会社富士,兵庫県,たつの市,龍野町下川原９６番地,6794177
1140001038768,山椒ファクトリー株式会社,兵庫県,たつの市,新宮町新宮３２７番地,6794313
1140001038776,株式会社喜多村,兵庫県,たつの市,新宮町觜崎３２４番地の３,6794324
1140001038784,株式会社御一同,兵庫県,たつの市,新宮町新宮４６１番地,6794313
1140001038792,新宮製粉精麦株式会社,兵庫県,たつの市,新宮町新宮４１０番地,6794313
1140001038801,株式会社新宮クリーンランド,兵庫県,たつの市,新宮町上笹字山ノ元５６番地,6794303
1140001038818,株式会社タキモト,兵庫県,たつの市,新宮町香山１９５番地,6794302
1140001038826,株式会社帝伸製作所,兵庫県,たつの市,新宮町吉島４４０番地,6794305
1140001038850,株式会社船瀬,兵庫県,たつの市,新宮町吉島７７０番地の２７,6794305
1140001038859,株式会社村田住設,兵庫県,たつの市,新宮町新宮３６７番地の１,6794313
1140001038867,井上船舶株式会社,兵庫県,たつの市,御津町岩見１３６０番地,6711331
1140001038875,株式会社大西商店,兵庫県,たつの市,御津町室津３９８番地１,6711332
1140001038891,新日本フアツシヨン株式会社,兵庫県,たつの市,御津町中島１４４７番地の５,6711311
1140001038909,株式会社堀商店,兵庫県,たつの市,御津町室津８９６番地,6711332
1140001038917,ミツイ産業株式会社,兵庫県,たつの市,御津町釜屋３８番地の４,6711341
1140001039295,上月電装株式会社,兵庫県,たつの市,新宮町光都３丁目２９番１号,6795165
1140001039361,株式会社山陽商会,兵庫県,たつの市,龍野町富永１５３番地の１,6794167
1140001039592,成真土木株式会社,兵庫県,たつの市,御津町釜屋９番１１号,6711341
1140001039618,日包産業株式会社,兵庫県,たつの市,神岡町東觜崎５６７番地,6794109
1140001039709,スプリングエイトサービス株式会社,兵庫県,たつの市,新宮町光都１丁目２０番５号,6795165
1140001039824,株式会社安良田工業所,兵庫県,たつの市,揖西町小犬丸１９２２番地２１,6794021
1140001040154,アルファプラス株式会社,兵庫県,たつの市,龍野町堂本３４番地１３,6794129
1140001040294,株式会社龍野ファーム,兵庫県,たつの市,龍野町本町二丁目３６番地２,6794165
1140001040311,株式会社小寺商事,兵庫県,たつの市,揖保川町二塚２８３番地３,6711613
