法人番号,法人名,都道府県,市区町村,番地,郵便番号
1021001053430,ＡＴＡＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ株式会社,兵庫県,三木市,与呂木６８３−３４９,6730422
1120001049123,株式会社旭製作所,兵庫県,三木市,吉川町鍛治屋字中之坪２８７番地の１,6731119
1120001063198,株式会社ケーエヌアイ,兵庫県,三木市,吉川町みなぎ台２丁目２５番地の４,6731117
1120001113226,株式会社ジオセンス,兵庫県,三木市,志染町西自由が丘１丁目１２１番地,6730551
1120901047878,Ａｌｐｈａ　Ｐｒｏｊｅｃｔ　Ｉｍｐｏｒｔｓ株式会社,兵庫県,三木市,細川町瑞穂２４０１番地,6730701
1140001002435,プレテック株式会社,兵庫県,三木市,別所町巴１８,6730443
1140001003128,株式会社オートショップ六甲,兵庫県,三木市,福井２２３４,6730433
1140001003169,株式会社影山グリーン企画,兵庫県,三木市,緑が丘町本町１丁目１６２番地,6730534
1140001010462,広野ゴルフ株式会社,兵庫県,三木市,志染町広野７丁目３番地,6730541
1140001030064,株式会社日建アトラスＣｒａｎｅ,兵庫県,三木市,緑が丘町本町１丁目４２,6730534
1140001036037,株式会社アベ,兵庫県,三木市,末広３丁目２番４号,6730403
1140001036053,株式会社神和商事,兵庫県,三木市,別所町東這田７７番地,6730444
1140001036061,株式会社五百蔵製作所,兵庫県,三木市,別所町小林６３８番地の４,6730434
1140001036086,永倉商事株式会社,兵庫県,三木市,別所町小林２４４番地の５６,6730434
1140001036111,エス・エス・シーマネージメント株式会社,兵庫県,三木市,志染町大谷２１７番地,6730513
1140001036128,株式会社岡野工具店,兵庫県,三木市,本町２丁目３番３３号,6730431
1140001036136,大西金物株式会社,兵庫県,三木市,大村６３番地の１９,6730404
1140001036144,関西洋鋸株式会社,兵庫県,三木市,本町３丁目１５番１０号,6730431
1140001036152,株式会社門建設,兵庫県,三木市,宿原１４８番地の１,6730423
1140001036160,株式会社オカノ,兵庫県,三木市,宿原１２７０番地の１１５,6730423
1140001036169,株式会社大石,兵庫県,三木市,別所町下石野字相野中１３９９番,6730453
1140001036177,株式会社カンリク神戸,兵庫県,三木市,別所町小林５９０番地の５,6730434
1140001036185,株式会社永尾保険事務所,兵庫県,三木市,大村８９７番地の４,6730404
1140001036193,金蔵鋸工業株式会社,兵庫県,三木市,別所町近藤２５番地５,6730451
1140001036210,三木商事株式会社,兵庫県,三木市,加佐９９５番地７１,6730402
1140001036219,株式会社ギヤラクシー,兵庫県,三木市,別所町小林字宿谷北６８４番地の３,6730434
1140001036235,グリコ兵庫アイスクリーム株式会社,兵庫県,三木市,志染町広野５丁目７０番地,6730541
1140001036243,株式会社日本綜合,兵庫県,三木市,緑が丘町西３丁目２−６,6730531
1140001036251,株式会社粂住建,兵庫県,三木市,志染町広野４丁目３３０−１,6730541
1140001036268,幸樹産業株式会社,兵庫県,三木市,口吉川町笹原４番４,6730757
1140001036318,株式会社三枝,兵庫県,三木市,府内町８番３号,6730416
