法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010801024187,株式会社ゴルフアカデミー中島,兵庫県,三田市,学園３丁目１番地,6691337
1120001000440,株式会社小谷工務店,兵庫県,三田市,小野１１６４番地２７６,6691504
1120001008252,中西紙工株式会社,兵庫県,三田市,池尻字柚ヶ谷１４５番地２,6691548
1120001157727,三喜商事株式会社,兵庫県,三田市,下深田７４６番地３７７,6691543
1120001183698,株式会社オプティモ,兵庫県,三田市,あかしあ台２丁目１９番１４,6691323
1120901040148,株式会社明光美装,兵庫県,三田市,四ツ辻６１３番地,6691342
1120901051376,ＥＧＧライフ株式会社,兵庫県,三田市,下槻瀬７５４番地１１９,6691413
1140001001585,三共自動車工業株式会社,兵庫県,三田市,藍本２６２８番地６,6691358
1140001003656,株式会社竹春商会,兵庫県,三田市,けやき台５丁目２５番地１４５,6691321
1140001003912,株式会社ピーターパン,兵庫県,三田市,ゆりのき台３丁目２２番地４,6691324
1140001015057,株式会社ＧＲＰジャパン,兵庫県,三田市,けやき台４丁目５６番地８,6691321
1140001036838,株式会社ヨシカワ,兵庫県,三田市,広野２６番地の２白原ビル２階,6691331
1140001050269,富林電気株式会社,兵庫県,三田市,富士が丘３丁目１６−１,6691547
1140001066249,株式会社アクティー三田,兵庫県,三田市,駅前町２番１号,6691528
1140001066257,アーキメディアシステム株式会社,兵庫県,三田市,弥生が丘３丁目４番地の２０,6691546
1140001066265,株式会社いくた,兵庫県,三田市,中央町２番２５号,6691529
1140001066273,株式会社イノスコーポレーション,兵庫県,三田市,ゆりのき台３丁目１８番地の９,6691324
1140001066307,大阪圧接株式会社,兵庫県,三田市,波豆川２８１番地,6691411
1140001066323,喜多興産株式会社,兵庫県,三田市,寺村町４４０４番地,6691523
1140001066348,航洋地所株式会社,兵庫県,三田市,弥生が丘１丁目４番地の１６,6691546
1140001066356,株式会社その田卓球場,兵庫県,三田市,下田中１２８番地の１,6691522
1140001066364,株式会社サンローズ,兵庫県,三田市,天神２丁目５番２号,6691531
1140001066372,株式会社さんわテックニイ・イチ,兵庫県,三田市,高次１丁目１０番２１号,6691512
1140001066380,株式会社三田自動車学院,兵庫県,三田市,志手原１１４７番地の１,6691506
1140001066389,三田ボーリング工業株式会社,兵庫県,三田市,貴志２９７番地,6691541
1140001066397,株式会社三田建設業会館,兵庫県,三田市,天神２丁目１１番６号,6691531
1140001066406,三田観光バス・タクシー株式会社,兵庫県,三田市,中町１７番３号,6691527
1140001066414,株式会社白原工務店,兵庫県,三田市,広野２６番地の２,6691331
1140001066422,株式会社ジータイム,兵庫県,三田市,すずかけ台４丁目１５番地３,6691322
1140001066439,攝丹商事株式会社,兵庫県,三田市,相生町１番１５号,6691526
1140001066463,株式会社大宝不動産,兵庫県,三田市,三田町３４番１４号,6691533
1140001066488,株式会社堂本,兵庫県,三田市,小柿１３０８番地,6691401
1140001066496,なかつ装飾株式会社,兵庫県,三田市,中央町９番２６号,6691529
1140001066505,日東興業株式会社,兵庫県,三田市,屋敷町１２番１６号,6691532
1140001066513,日本交通株式会社,兵庫県,三田市,三輪２丁目１０番１号,6691513
1140001066538,株式会社日出坂商事,兵庫県,三田市,藍本３００番地,6691358
1140001066546,株式会社兵庫グリーン,兵庫県,三田市,東山１３０３番地の２,6691353
1140001066554,文久商事株式会社,兵庫県,三田市,上井沢４７３番地,6691316
1140001066562,株式会社フジフードサービス,兵庫県,三田市,西山１丁目１番１４号,6691537
1140001066570,北神鋼材株式会社,兵庫県,三田市,対中町２番１０号,6691525
1140001066579,北神住建株式会社,兵庫県,三田市,南が丘２丁目１番２７号,6691535
1140001066587,株式会社マエオカ美撰堂,兵庫県,三田市,三田町１３番８号,6691533
1140001066595,株式会社コーディアルホーム,兵庫県,三田市,高次１丁目１０番２３号,6691512
1140001066604,毎日石油株式会社,兵庫県,三田市,沢谷字南山７６１番地の３,6691335
1140001066620,株式会社明愛,兵庫県,三田市,小柿堂山２０９６番地の１,6691401
1140001066637,株式会社ユニフレックス,兵庫県,三田市,下相野１４１６番地,6691345
1140001066645,株式会社ライト黒板製作所,兵庫県,三田市,相生町５番１号,6691526
1140001066653,理研リサイクルプラント株式会社,兵庫県,三田市,香下６９９番地の１,6691507
1140001066661,和光産業株式会社,兵庫県,三田市,下深田７５０番１２号,6691543
1140001066728,株式会社ＴＱ,兵庫県,三田市,学園５丁目６番地の２,6691337
1140001066736,日本ティワイエス株式会社,兵庫県,三田市,弥生が丘１丁目３番地１番館５０５号,6691546
1140001066744,株式会社アズマネット,兵庫県,三田市,小柿１５６６番地の１,6691401
1140001066752,株式会社トパーズ,兵庫県,三田市,小野３２８番地の５,6691504
1140001066777,株式会社シンエイ,兵庫県,三田市,四ツ辻９４番地,6691342
1140001066785,株式会社ウエスト神戸,兵庫県,三田市,藍本２３１８番地１５,6691358
1140001066793,エーユー企画株式会社,兵庫県,三田市,あかしあ台３丁目１８番地１２,6691323
1140001066810,株式会社アイテック,兵庫県,三田市,広沢字立谷１２５番地の１,6691332
1140001066926,株式会社シティーメイト,兵庫県,三田市,つつじが丘北３丁目７番地１５,6691348
1140001066950,株式会社起創健,兵庫県,三田市,狭間が丘３丁目２０番地１,6691545
1140001066991,扇野製菓株式会社,兵庫県,三田市,三輪１丁目６番１２号,6691513
1140001067008,株式会社輝匠設計,兵庫県,三田市,けやき台４丁目１２番地１５,6691321
1140001067016,株式会社リアライズ,兵庫県,三田市,さくら坂６番１１号,6691325
1140001067032,株式会社栄屋興産,兵庫県,三田市,けやき台６丁目２６番地２,6691321
1140001067040,株式会社三田電子,兵庫県,三田市,あかしあ台３丁目１７番地２,6691323
1140001067057,株式会社シプロン,兵庫県,三田市,あかしあ台３丁目１１番地２,6691323
1140001067065,株式会社シンキコーポレーション,兵庫県,三田市,大川瀬１４３７番地１９９,6691349
1140001067081,株式会社Ｈ＆Ｆ,兵庫県,三田市,けやき台５丁目１７番地５,6691321
1140001067098,株式会社フォレスト,兵庫県,三田市,小柿２５３３番地１７,6691401
1140001067115,ＰＭＰコンサルティング株式会社,兵庫県,三田市,すずかけ台３丁目５番地４　１４棟２０３号,6691322
1140001067123,株式会社浦口電機,兵庫県,三田市,香下５７０番地２,6691507
1140001067131,ソラ星出版株式会社,兵庫県,三田市,狭間が丘５丁目４番地２棟１１０５号,6691545
1140001067148,株式会社クレドアンカー,兵庫県,三田市,高次２丁目１５番２３号,6691512
1140001067172,株式会社アイテック,兵庫県,三田市,酒井４１４番地,6691405
1140001067180,株式会社いなせ,兵庫県,三田市,上相野７１３番地の４,6691346
1140001067189,株式会社北摂デザイン工房,兵庫県,三田市,小柿１３４８番地８,6691401
1140001067197,株式会社ミヤケ,兵庫県,三田市,学園８丁目４番７号,6691337
1140001067206,株式会社さくら,兵庫県,三田市,大原７１２番地８,6691515
1140001067214,株式会社山崎館,兵庫県,三田市,三田町８番１４号,6691533
1140001067222,杉本建設株式会社,兵庫県,三田市,三輪３９４番地,6691513
1140001067230,株式会社Ｄｒｅａｍ　Ｃｏｍｐａｎｙ,兵庫県,三田市,すずかけ台３丁目４番２−１−６１４,6691322
1140001067239,株式会社エクスサーフ,兵庫県,三田市,小野１１６４番地２０４,6691504
1140001067247,株式会社千代田コーポレーション,兵庫県,三田市,東本庄２４９１番地,6691357
1140001067255,株式会社日本システムプロデュース,兵庫県,三田市,横山町８番３号パストラル三田２−１０４,6691534
1140001067263,株式会社チーム・モリモト,兵庫県,三田市,小柿７８０番地,6691401
1140001067271,株式会社大野電気,兵庫県,三田市,上相野１８１番地６,6691346
1140001067288,株式会社パティシエエスコヤマ,兵庫県,三田市,ゆりのき台５丁目３２番地１,6691324
1140001067305,株式会社エコクリーン三田,兵庫県,三田市,中内神９４８番地１,6691334
1140001067313,株式会社モリエステート,兵庫県,三田市,相生町１８番３７号,6691526
1140001067321,東京日新電器株式会社,兵庫県,三田市,福島５０１番地９,6691313
1140001067404,株式会社ワヤテック,兵庫県,三田市,大原１番地９,6691515
1140001067437,株式会社ＦｏｕｒＬｅａｆＣｌｏｖｅｒ,兵庫県,三田市,上井沢２８５,6691316
1140001072701,株式会社ケアブランディング,兵庫県,三田市,あかしあ台１丁目１５番地１１,6691323
1140001081710,大伸産業株式会社,兵庫県,三田市,けやき台４丁目４５番地１２,6691321
1140001090125,株式会社Ｊｏｙ　Ｅｌａｂｏｒａｔｅ,兵庫県,三田市,沢谷７８４番地１,6691335
1140001090348,株式会社シン,兵庫県,三田市,中央町４番５号三田ビル,6691529
1140001092352,新和商事株式会社,兵庫県,三田市,沢谷町５５９−２４,6691335
1140001093326,株式会社佐藤トラック商会,兵庫県,三田市,小野１２９６番地２３,6691504
1140001094019,株式会社ドリームコロニー,兵庫県,三田市,弥生が丘６丁目２番地１番館２０３号,6691546
1140001095009,株式会社癒し屋,兵庫県,三田市,西山２丁目３番２０号,6691537
1140001095818,カズアンドカンパニー株式会社,兵庫県,三田市,けやき台４丁目５３番地２,6691321
1140001096683,株式会社ケイズ・テクノ・プランニング,兵庫県,三田市,小野１３２１番地４７,6691504
1140001096782,株式会社ＧＲＣ,兵庫県,三田市,つつじが丘南３丁目４番地１０,6691347
1140001097269,株式会社おおにし農園,兵庫県,三田市,下深田４７５番地,6691543
1140001098779,株式会社ＨＡＰＰＹ　ＷＥＳＴ,兵庫県,三田市,須磨田７９４番地３６,6691352
1140001099827,グラスホッパー株式会社,兵庫県,三田市,ゆりのき台２丁目３８番地７,6691324
1140001101971,株式会社リエゾンエイド,兵庫県,三田市,あかしあ台１丁目１５番地１１,6691323
1140001104982,株式会社スマイルイービークル,兵庫県,三田市,つつじが丘南１丁目２１番地６,6691347
1140001105766,株式会社ビッグウエスト,兵庫県,三田市,相生町９番１８号,6691526
1140001106368,株式会社トーコーアクア,兵庫県,三田市,三田町３６番１６号,6691533
1140001106954,久保工業株式会社,兵庫県,三田市,小野１２２６番地６,6691504
1140001107969,アベコンサルティング株式会社,兵庫県,三田市,友が丘２丁目３番地１７,6691516
1140001108034,株式会社スネイク,兵庫県,三田市,天神２丁目２番１−３０１号,6691531
1140001108439,株式会社原田いちごファーム,兵庫県,三田市,尼寺４２３番地,6691505
1140001108959,株式会社ウッディタウン動物病院,兵庫県,三田市,あかしあ台５丁目６番地６,6691323
1140001109214,通事国際株式会社,兵庫県,三田市,けやき台５丁目２３番地６,6691321
1140001109354,株式会社ＣＩＭＹカンパニー,兵庫県,三田市,さくら坂１−１,6691325
1140001110675,宮左官株式会社,兵庫県,三田市,大原１０４２番地２,6691515
1140001110741,株式会社佳拓,兵庫県,三田市,香下６７０番地,6691507
1140001111260,株式会社アマポーラ,兵庫県,三田市,あかしあ台１丁目２７番地２,6691323
1140001112416,株式会社リヤンホーム,兵庫県,三田市,高次１丁目６−１４−２０１,6691512
1140001113364,株式会社ほっとスペース,兵庫県,三田市,ゆりのき台５丁目３９番地１９,6691324
1140001115996,株式会社ナインコミュニティ,兵庫県,三田市,駅前町６番５−７０１号,6691528
1140001117373,株式会社Ｙ’ｓ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,兵庫県,三田市,西野上５０４番地,6691314
1140001117530,株式会社Ｓプラス,兵庫県,三田市,駅前町１０番６号,6691528
1140001117976,株式会社ＣＡＴＣＨ１,兵庫県,三田市,三輪４丁目１１番３２号,6691513
1140001118388,株式会社スクラム新三田,兵庫県,三田市,福島１６２番地,6691313
1140001119568,株式会社Ｐｈａｒｍａｃｙ　Ｒｅｐｕｂｌｉｃ,兵庫県,三田市,寺村町４１８６番地１・２階,6691523
1140001119642,株式会社ＭＫ　ｈｏｌｄ,兵庫県,三田市,木器７７１番地１２,6691412
1140001120195,株式会社Ｎｅｘｔ　Ｉｎｎｏｖａｔｉｏｎ,兵庫県,三田市,木器７７１番地１２,6691412
1140001120740,株式会社デアリング計画,兵庫県,三田市,相生町１番４０号相生スカイパーク１Ｆ,6691526
1140001121672,ＢＥ　ｃｏｎｎｅｃｔ株式会社,兵庫県,三田市,相生町２７番１１号はつかビル３０３号室,6691526
1140001122150,株式会社Ｂｒｉｌｌｉａｎｔ,兵庫県,三田市,上井沢４１８番地１,6691316
1140001122803,株式会社ビッグイン,兵庫県,三田市,つつじが丘北３丁目５番地１４,6691348
1140001123842,株式会社天才,兵庫県,三田市,下井沢３３３番地,6691315
1140001124816,株式会社令和の軍師,兵庫県,三田市,中町７−３９,6691527
