法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010401117003,パナレーサー株式会社,兵庫県,丹波市,氷上町石生２５０番地,6693464
1120001019563,井本豆菓株式会社,兵庫県,丹波市,山南町奥１０２１番地,6693144
1120001079475,株式会社コード,兵庫県,丹波市,春日町東中３８４番,6694272
1120001153544,株式会社ビッグバン,兵庫県,丹波市,春日町広瀬９５６番地,6694263
1130001042358,株式会社中村家,兵庫県,丹波市,市島町喜多１５３番地１,6694315
1140001029057,株式会社プラスリジョン,兵庫県,丹波市,柏原町柏原９０番地１,6693309
1140001032449,株式会社マジックマイスター・コーポレーション,兵庫県,丹波市,柏原町柏原１１１６−１,6693309
1140001040872,朝日重機資設工業株式会社,兵庫県,丹波市,春日町中山２５１番地,6694265
1140001040880,株式会社アシダ,兵庫県,丹波市,山南町草部４８０番地の２,6693151
1140001040889,荒川清掃株式会社,兵庫県,丹波市,山南町和田６０７番地１,6693157
1140001040897,株式会社アプレス,兵庫県,丹波市,山南町井原７０５番地の２,6693143
1140001040906,株式会社今里農園,兵庫県,丹波市,春日町黒井１５５０番地,6694141
1140001040922,インフォテック株式会社,兵庫県,丹波市,山南町草部甲３１４番地,6693151
1140001040930,株式会社宇崎日新,兵庫県,丹波市,山南町梶４２５番地の５,6693154
1140001040939,株式会社ウエキ,兵庫県,丹波市,柏原町柏原７２番地,6693309
1140001040947,日本興発株式会社,兵庫県,丹波市,市島町勅使９７番地,6694332
1140001040971,荻野建設株式会社,兵庫県,丹波市,春日町平松２１７番地３,6694133
1140001040988,株式会社加賀山商店,兵庫県,丹波市,柏原町柏原３２４９番地,6693309
1140001040996,春日紙器株式会社,兵庫県,丹波市,春日町稲塚７０２番地,6694135
1140001041004,鴨庄酒造株式会社,兵庫県,丹波市,市島町上牧６６１番地の１,6694317
1140001041012,関西アコン株式会社,兵庫県,丹波市,氷上町氷上７５３番地,6693651
1140001041020,株式会社木戸口組,兵庫県,丹波市,氷上町上成松９８番地の１,6693606
1140001041029,キングオートセンター株式会社,兵庫県,丹波市,氷上町稲継２５９番地の１,6693466
1140001041061,株式会社幸機,兵庫県,丹波市,柏原町南多田字廻り立１１８７番４,6693301
1140001041078,株式会社ささくら,兵庫県,丹波市,山南町谷川２１５１番地,6693131
1140001041086,サイプレスマネージメント株式会社,兵庫県,丹波市,氷上町三原１番地の１,6693622
1140001041094,株式会社シェルオーシャン,兵庫県,丹波市,春日町野村２４８５番地の１,6694132
1140001041103,株式会社清水保険事務所,兵庫県,丹波市,氷上町横田５８６番地の１,6693465
1140001041111,株式会社新憲産業,兵庫県,丹波市,氷上町柿柴２５２番地の１,6693611
1140001041128,株式会社ダイヤモンド,兵庫県,丹波市,氷上町市辺４８０番地８,6693461
1140001041136,株式会社大東園,兵庫県,丹波市,青垣町東芦田３５７番地,6693801
1140001041152,株式会社多利製材所,兵庫県,丹波市,春日町小多利６８５番地の２,6694122
1140001041160,株式会社タクミ,兵庫県,丹波市,氷上町中野５４番地の６,6693623
1140001041169,株式会社丹波新聞社,兵庫県,丹波市,柏原町柏原２０１番地の１,6693309
1140001041177,丹京観光株式会社,兵庫県,丹波市,春日町新才５０５番地の１,6693402
1140001041185,株式会社土田商事,兵庫県,丹波市,柏原町母坪４０９番地の１,6693311
1140001041193,株式会社鐵建,兵庫県,丹波市,氷上町横田６４０番地の１,6693465
1140001041202,豊島水道工業株式会社,兵庫県,丹波市,氷上町成松３８番地,6693601
1140001041210,株式会社楠公,兵庫県,丹波市,山南町村森字櫻田７５１番地の３,6693142
1140001041219,株式会社中川組,兵庫県,丹波市,氷上町谷村１１８１番地,6693572
1140001041227,日本紙器株式会社,兵庫県,丹波市,春日町平松８１番地,6694133
1140001041235,株式会社西昭,兵庫県,丹波市,柏原町上小倉２２０番地の２,6693304
1140001041251,株式会社ハート,兵庫県,丹波市,柏原町母坪３３５番地１,6693311
1140001041268,株式会社平井工業,兵庫県,丹波市,氷上町市辺６３番地,6693461
1140001041276,株式会社かすが,兵庫県,丹波市,春日町黒井１５９１番地６,6694141
1140001041284,氷上自動車工業株式会社,兵庫県,丹波市,氷上町北野１０８番地の１,6693463
1140001041292,氷上急行運輸倉庫株式会社,兵庫県,丹波市,氷上町氷上６２番地,6693651
1140001041301,株式会社藤原商会,兵庫県,丹波市,山南町谷川１９７６番地の２,6693131
1140001041326,前田建設株式会社,兵庫県,丹波市,山南町池谷１０８番地,6693125
1140001041334,マービテック株式会社,兵庫県,丹波市,山南町前川３５０番地,6693153
1140001041350,株式会社森津工務店,兵庫県,丹波市,山南町草部２４４番地１,6693151
1140001041375,株式会社ヤマカ,兵庫県,丹波市,春日町黒井１２８２番地,6694141
1140001041383,株式会社夢工房,兵庫県,丹波市,春日町新才５１８番地,6693402
1140001041391,株式会社吉森商会,兵庫県,丹波市,春日町多利１８２０番地,6694123
1140001041409,株式会社ステラモーダ,兵庫県,丹波市,氷上町上成松字宮ノ下２２８番５号,6693606
1140001041417,西丹陸運株式会社,兵庫県,丹波市,氷上町稲継２１１番地１,6693466
1140001041433,丹波ふるさと振興株式会社,兵庫県,丹波市,春日町七日市７１０番地,6694131
1140001041441,八千代ケアサポート株式会社,兵庫県,丹波市,柏原町柏原１３９３番地２,6693309
1140001041508,株式会社うすい農匠,兵庫県,丹波市,氷上町絹山４４０番地,6693641
1140001041516,テックエンジニアリング株式会社,兵庫県,丹波市,氷上町新郷字赤井７４番地の１,6693571
1140001041524,株式会社葉山,兵庫県,丹波市,青垣町口塩久４４７番地１,6693841
1140001041565,株式会社飛翔,兵庫県,丹波市,春日町坂１４０番地２,6693415
1140001041573,株式会社レフィーナ,兵庫県,丹波市,山南町岩屋４９０番地１,6693141
1140001041581,株式会社四方重設,兵庫県,丹波市,市島町上竹田４１６６番地,6694341
1140001041598,株式会社村上屋,兵庫県,丹波市,柏原町柏原２８９７番地,6693309
1140001041607,株式会社コードリサーチ,兵庫県,丹波市,青垣町西芦田１００３番地,6693803
1140001041615,株式会社近畿興産,兵庫県,丹波市,氷上町谷村１４６１番地２,6693572
1140001041623,関西精密商事株式会社,兵庫県,丹波市,青垣町中佐治１６５５番地,6693834
1140001042068,青垣コイズミ照明株式会社,兵庫県,丹波市,青垣町口塩久町田７３３番５,6693841
1140001042101,株式会社アグリサポートたんば,兵庫県,丹波市,氷上町市辺４４０番地,6693461
1140001042126,丹波リサイクルセンター株式会社,兵庫県,丹波市,氷上町本郷６２４番地,6693467
1140001042340,株式会社吉住電気,兵庫県,丹波市,春日町柚津７９３番地,6694271
1140001086767,株式会社ミサキ・エキスパート,兵庫県,丹波市,氷上町朝阪８１０番地,6693574
1140001089431,株式会社カウンターリメイク,兵庫県,丹波市,山南町上滝２９６,6693101
1140001090884,株式会社リード,兵庫県,丹波市,柏原町下小倉６５０番地１,6693305
1140001092113,株式会社Ｇａｅａ,兵庫県,丹波市,青垣町西芦田４９２番地１,6693803
1140001093648,綜運ＫＡＺＵ株式会社,兵庫県,丹波市,氷上町常楽１０６５−１５,6693602
