法人番号,法人名,都道府県,市区町村,番地,郵便番号
1120001050287,株式会社ニッコー,兵庫県,丹波篠山市,今田町木津松山２９３番地の３,6692145
1120901023771,株式会社こんプロダクション,兵庫県,丹波篠山市,今田町下立杭４２７番地,6692141
1140001041557,株式会社丸翔,兵庫県,丹波篠山市,大山宮２番地,6692802
1140001041631,ルーフネクスト株式会社,兵庫県,丹波篠山市,波賀野２１番地,6692103
1140001041648,株式会社岩本工業,兵庫県,丹波篠山市,南新町１５５番地,6692333
1140001041656,株式会社上田組,兵庫県,丹波篠山市,追入４４６番地,6692801
1140001041672,オーリス株式会社,兵庫県,丹波篠山市,西岡屋６８１番地１,6692346
1140001041680,オージ電機株式会社,兵庫県,丹波篠山市,西新町６７番地１,6692334
1140001041689,梶村設備工業株式会社,兵庫県,丹波篠山市,糯ケ坪９９番地５,6692437
1140001041697,株式会社近又,兵庫県,丹波篠山市,二階町８１番地,6692331
1140001041714,株式会社小西運送,兵庫県,丹波篠山市,般若寺３９９番地１,6692307
1140001041722,株式会社篠山繊維,兵庫県,丹波篠山市,杉２７１番地の１,6692204
1140001041730,篠山辻観光株式会社,兵庫県,丹波篠山市,熊谷３２１番地,6692367
1140001041739,坂本金属株式会社,兵庫県,丹波篠山市,糯ケ坪１１番地,6692437
1140001041747,株式会社清明堂,兵庫県,丹波篠山市,二階町５９番地,6692331
1140001041755,株式会社大福堂,兵庫県,丹波篠山市,北新町１２１番地の１,6692332
1140001041763,丹南佐々木工業株式会社,兵庫県,丹波篠山市,味間奥１６９６番地,6692223
1140001041771,丹波興産株式会社,兵庫県,丹波篠山市,二之坪１９１番地の７,6692521
1140001041796,株式会社南野組,兵庫県,丹波篠山市,川西６２番地の１,6692735
1140001041805,株式会社にしお,兵庫県,丹波篠山市,大山上６９９番地,6692803
1140001041813,畑燃料株式会社,兵庫県,丹波篠山市,塩岡１１２番地,6692543
1140001041821,株式会社ハタヤ産業,兵庫県,丹波篠山市,杉３０５番地,6692204
1140001041838,株式会社藤原建具センター,兵庫県,丹波篠山市,油井６６番地の１,6692114
1140001041846,株式会社細見組,兵庫県,丹波篠山市,本郷２６番地の１,6692702
1140001041862,株式会社みどりや,兵庫県,丹波篠山市,日置３７番地,6692441
1140001041870,株式会社八上屋城垣醤油店,兵庫県,丹波篠山市,河原町４８番地の１,6692325
1140001041904,株式会社セレフ,兵庫県,丹波篠山市,味間南２９４番地１,6692222
1140001041912,株式会社ジャパンビレッジゴルフ倶楽部,兵庫県,丹波篠山市,今田町黒石釘貫１９１番地１,6692162
1140001041920,株式会社西川商会,兵庫県,丹波篠山市,今田町下立杭３３９番地の１,6692141
1140001041978,株式会社ミハラ,兵庫県,丹波篠山市,古市１１６番２,6692123
1140001041994,株式会社福住銀行,兵庫県,丹波篠山市,福住３７７番地,6692513
1140001042010,株式会社ジョインウッド,兵庫県,丹波篠山市,栗栖野２７番地１,6692465
1140001042019,長沢住宅設備株式会社,兵庫県,丹波篠山市,大山下７８４番地１,6692823
1140001042027,株式会社アパリス,兵庫県,丹波篠山市,園田分段林坪５５４番地１,6692805
1140001042051,株式会社長尾,兵庫県,丹波篠山市,黒岡３０番地,6692321
1140001042084,株式会社フェーム,兵庫県,丹波篠山市,住吉台５５番地１０,6692231
1140001053577,篠山ハム株式会社,兵庫県,丹波篠山市,野中５２１番地,6692452
1140001054939,株式会社エスピーオー,兵庫県,丹波篠山市,今田町上立杭５番地１,6692135
1140001067107,木場建設工業株式会社,兵庫県,丹波篠山市,今田町下小野原５０番地４,6692133
1140001067742,株式会社丹波篠山かまい農場,兵庫県,丹波篠山市,今田町木津１５９番地,6692145
1140001073633,株式会社ＡＱＵＷＡ,兵庫県,丹波篠山市,味間南３００番地１,6692222
1140001087039,株式会社ＫＫＭ,兵庫県,丹波篠山市,波賀野８８０番地,6692103
1140001097665,中西実農株式会社,兵庫県,丹波篠山市,日置７番地,6692441
1140001098408,株式会社ニューファームみのり,兵庫県,丹波篠山市,上板井２１２番地の１,6692732
1140001100255,株式会社クリーンサイクル,兵庫県,丹波篠山市,追入５９３番地３,6692801
1140001101716,株式会社サムライコットンファーム,兵庫県,丹波篠山市,野間１５０−３,6692313
1140001105163,エヌエスライン株式会社,兵庫県,丹波篠山市,今田町東庄５番地１,6692142
1140001107498,株式会社ＮＯＴＥ　ＪＡＰＡＮ,兵庫県,丹波篠山市,二階町１８番地１,6692331
1140001108760,狩場一酒造株式会社,兵庫県,丹波篠山市,波賀野５００番地,6692103
1140001109429,アグリサポート株式会社,兵庫県,丹波篠山市,長安寺２９４番地,6692814
1140001111021,株式会社Ｇｌｉｔｔｅｒ,兵庫県,丹波篠山市,西吹７６番地１,6692206
1140001115377,株式会社前川農場,兵庫県,丹波篠山市,今田町本荘３５４番地２,6692163
1140001115575,株式会社山口工務店,兵庫県,丹波篠山市,糯ケ坪甲１３２番地１,6692437
1140001118545,ユアロキィコンサルティング株式会社,兵庫県,丹波篠山市,畑市２４９番地１,6692413
1140001121342,株式会社ＴＯＨＳＡ,兵庫県,丹波篠山市,古市１４,6692123
1140001123603,おおやま設備株式会社,兵庫県,丹波篠山市,大山宮２８５番地２,6692802
1140001126184,株式会社４１０,兵庫県,丹波篠山市,菅１２０番地１,6692312
1140001131985,ＹＡＫ＆ＹＥＴＩ株式会社,兵庫県,丹波篠山市,黒岡８８０−２０４号,6692321
1140001132133,株式会社篠山測量設計,兵庫県,丹波篠山市,西新町１７６番地１,6692334
1140001138601,株式会社ネクサス,兵庫県,丹波篠山市,西岡屋甲２７２番地シャンド・フルーレａｉ２０６,6692346
1140001141431,株式会社創造農村,兵庫県,丹波篠山市,東吹１０８番地,6692202
2120001257609,燿力株式会社,兵庫県,丹波篠山市,東吹１１３２,6692202
2120901013747,株式会社ヤノテック,兵庫県,丹波篠山市,井ノ上４０５番地,6692416
2140001005593,株式会社神戸標記製作所,兵庫県,丹波篠山市,味間新１３１番地７,6692214
2140001019890,株式会社久見瀬外部空間設計事務所,兵庫県,丹波篠山市,南矢代４６４−５,6692102
2140001041424,株式会社エレックス,兵庫県,丹波篠山市,追入３９０番地１,6692801
2140001041630,株式会社アサヒ衣料,兵庫県,丹波篠山市,二階町３２,6692331
2140001041639,株式会社井上金属製作所,兵庫県,丹波篠山市,井ノ上２５番地,6692416
2140001041647,株式会社井上商店,兵庫県,丹波篠山市,池上２番地,6692436
2140001041655,株式会社上田木材店,兵庫県,丹波篠山市,犬飼４８０番地,6692105
2140001041671,株式会社小田垣商店,兵庫県,丹波篠山市,立町９番地,6692323
2140001041688,株式会社河南勇商店,兵庫県,丹波篠山市,西古佐９５４番地４,6692221
2140001041696,株式会社キャピタル製作所,兵庫県,丹波篠山市,乗竹１−２,6692716
2140001041713,株式会社コミナミ,兵庫県,丹波篠山市,南新町２１８番地,6692333
2140001041721,篠山自動車サービス株式会社,兵庫県,丹波篠山市,乾新町６１番地,6692335
2140001041738,株式会社佐藤商事,兵庫県,丹波篠山市,住吉台７６番地９,6692231
2140001041746,株式会社スタディーキャンパスレオ,兵庫県,丹波篠山市,立町１３９番地,6692323
2140001041754,大協工業株式会社,兵庫県,丹波篠山市,黒田字ルの坪５４９番地,6692726
2140001041762,株式会社丹彩,兵庫県,丹波篠山市,今田町上立杭５番地１,6692135
2140001041770,田村産業株式会社,兵庫県,丹波篠山市,北１４０番地４,6692451
2140001041779,株式会社多紀ミート,兵庫県,丹波篠山市,口阪本３７５番地１,6692723
2140001041787,株式会社テクマ,兵庫県,丹波篠山市,吹上１,6692344
2140001041795,中兵庫建設株式会社,兵庫県,丹波篠山市,八上内甲４０７番地の１,6692432
