法人番号,法人名,都道府県,市区町村,番地,郵便番号
1011101053835,株式会社ＨＡＲＭＯＮＹ,兵庫県,伊丹市,野間北４丁目４番２３号,6640875
1013301041198,株式会社メデュ,兵庫県,伊丹市,中央１丁目５番５号ボントンビル４階,6640851
1120001070608,株式会社松広,兵庫県,伊丹市,桜ケ丘５丁目４番２３号,6640897
1120001072249,ロペックスインターナショナル株式会社,兵庫県,伊丹市,岩屋１丁目１番１８号,6640843
1120001125881,株式会社ＣＥＲＡＴＥＣＨ,兵庫県,伊丹市,中央５丁目３−２２,6640851
1120001128001,株式会社みどり会計,兵庫県,伊丹市,西台２丁目５番１６−６０６号,6640858
1120001131582,株式会社地域環境システム研究所,兵庫県,伊丹市,西台１丁目１番１号,6640858
1120001135749,株式会社カーサ・プランニング,兵庫県,伊丹市,山田６丁目９番２１号ウイング昆陽里,6640874
1120001143207,ケイ・トゥ・ビィ株式会社,兵庫県,伊丹市,荻野１丁目９番地,6640002
1120001164855,株式会社マルブン,兵庫県,伊丹市,森本１丁目５３番５号,6640842
1120001171983,株式会社アルテニー,兵庫県,伊丹市,北野３丁目１２番地の３,6640007
1120001202565,株式会社クリエイトスペース,兵庫県,伊丹市,西野６丁目１４２−１,6640028
1120001208521,株式会社六建,兵庫県,伊丹市,稲野町４丁目４１−２０２号,6640861
1120901007584,株式会社トラビス,兵庫県,伊丹市,行基町２丁目５８番１号,6640857
1120901020505,株式会社坂上,兵庫県,伊丹市,御願塚１丁目５番３１号,6640855
1120901023937,三豊鋼業株式会社,兵庫県,伊丹市,北河原５丁目１番３号,6640837
1120901033135,株式会社住まいの窓口,兵庫県,伊丹市,中央１丁目２番２３号,6640851
1120901035197,ライフアシスト株式会社,兵庫県,伊丹市,梅ノ木４丁目６番６号,6640856
1120901036600,株式会社キョウショウ組,兵庫県,伊丹市,山田５丁目５番１０号,6640874
1120901038191,株式会社ウィルハーツ,兵庫県,伊丹市,森本８丁目２９番地,6640842
1120901040346,株式会社ＪＡＭ,兵庫県,伊丹市,西台５丁目６番１９号,6640858
1120901045072,株式会社ワークパル,兵庫県,伊丹市,北伊丹８丁目２５１番地１ルミエール北伊丹２０３号,6640831
1130001069748,株式会社ヤマショー,兵庫県,伊丹市,中央２丁目２番１６号,6640851
1140001002897,株式会社日本計器,兵庫県,伊丹市,伊丹３丁目５番９号,6640846
1140001031483,株式会社ＣＲシステム,兵庫県,伊丹市,桑津３丁目４−１５,6640839
1140001032762,日本データライフ株式会社,兵庫県,伊丹市,大野３丁目７７番地９０９号室,6640003
1140001051093,俊幸鉄工株式会社,兵庫県,伊丹市,昆陽南３丁目６番３号,6640888
1140001052083,株式会社大都興産,兵庫県,伊丹市,岩屋１丁目１番３１号,6640843
1140001053255,株式会社Ｓ−ＴＥＣ,兵庫県,伊丹市,森本９丁目１５番地,6640842
1140001053651,株式会社アロハタクシー,兵庫県,伊丹市,鋳物師３丁目６７番１,6640011
1140001053676,株式会社恵工業,兵庫県,伊丹市,森本９丁目３６番地,6640842
1140001053734,株式会社アクセスプラン,兵庫県,伊丹市,寺本東１丁目２番１６号,6640020
1140001054229,株式会社アイク経営コンサルタンツ,兵庫県,伊丹市,千僧１丁目１９番地千伊第一ビル３０２号,6640898
1140001054393,株式会社いろはプロジェクト,兵庫県,伊丹市,宮ノ前２丁目４番２１−４０２号,6640895
1140001073732,株式会社ＯＴＡ建築工房,兵庫県,伊丹市,森本２丁目２２６番地,6640842
1140001077907,北伊丹自動車株式会社,兵庫県,伊丹市,春日丘６丁目５６番地,6640893
1140001077923,株式会社アーバンビビ,兵庫県,伊丹市,鋳物師５丁目５９番地９,6640011
1140001077964,株式会社アローム,兵庫県,伊丹市,池尻２丁目２３番地,6640027
1140001077972,ジャパンエレクトロニクス株式会社,兵庫県,伊丹市,千僧４丁目１９２番地の２千寿ハイツ２０３,6640898
1140001077989,伊丹くれたけビル株式会社,兵庫県,伊丹市,西台１丁目５番２１号,6640858
1140001077997,伊丹産業電気工事株式会社,兵庫県,伊丹市,北本町２丁目２５９番地,6640836
1140001078005,伊丹ダイキン空調株式会社,兵庫県,伊丹市,北本町１丁目１番地,6640836
1140001078013,伊丹まち未来株式会社,兵庫県,伊丹市,宮ノ前２丁目２番２号,6640895
1140001078038,伊丹地所株式会社,兵庫県,伊丹市,伊丹５丁目６番２８号,6640846
1140001078046,石橋商事株式会社,兵庫県,伊丹市,稲野町１丁目１００番地,6640861
1140001078079,上谷鉄工株式会社,兵庫県,伊丹市,森本８丁目８９番１,6640842
1140001078087,ウチダ建設株式会社,兵庫県,伊丹市,千僧３丁目１３２番地の２,6640898
1140001078095,株式会社エイシン,兵庫県,伊丹市,昆陽南５丁目１５番８,6640888
1140001078104,エイト商事株式会社,兵庫県,伊丹市,口酒井１丁目１番１号,6640844
1140001078112,三和技研株式会社,兵庫県,伊丹市,森本４丁目１９１番地の１,6640842
