法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001039246,岡野建設株式会社,兵庫県,佐用郡佐用町,豊福２０６番地の１,6795316
1140001039262,株式会社サンワ運輸,兵庫県,佐用郡佐用町,円応寺字久清７７番地の１,6795300
1140001039270,株式会社端山材木店,兵庫県,佐用郡佐用町,口長谷６７７番地の３,6795343
1140001039279,株式会社福盛ミートセンター,兵庫県,佐用郡佐用町,佐用２８４８番地,6795301
1140001039287,株式会社横山自動車整備工場,兵庫県,佐用郡佐用町,佐用２５３４番地の４,6795301
1140001039304,株式会社大伸工業,兵庫県,佐用郡佐用町,金屋５６１番地の７,6795513
1140001039312,株式会社宮西建材店,兵庫県,佐用郡佐用町,上月５５３番地の１４,6795523
1140001039320,徳久本多石油株式会社,兵庫県,佐用郡佐用町,下徳久８９４番地の１,6795211
1140001039329,株式会社阿山商店,兵庫県,佐用郡佐用町,三日月１１１５番地,6795133
1140001039337,株式会社新田組,兵庫県,佐用郡佐用町,乃井野１５１２番地,6795134
1140001039345,株式会社三日月運送,兵庫県,佐用郡佐用町,乃井野１４７６番地,6795134
1140001039428,株式会社ＪＯＹＸ,兵庫県,佐用郡佐用町,上秋里１０６１番地の４,6795644
1140001040328,株式会社プロバイル,兵庫県,佐用郡佐用町,口長谷８６８番地１,6795343
1140001040336,株式会社マサル建設,兵庫県,佐用郡佐用町,小赤松５１２番地２,6795653
1140001040427,佐用自動車株式会社,兵庫県,佐用郡佐用町,佐用２３２番地１,6795301
1140001040518,株式会社ＲｅＣｏ　Ｐｌａｎｅｔ,兵庫県,佐用郡佐用町,佐用４７５番地５,6795301
1140001040542,株式会社サクセス,兵庫県,佐用郡佐用町,本位田甲４３１番地,6795306
1140001040666,株式会社テクシス,兵庫県,佐用郡佐用町,本位田甲５３５番地６５,6795306
1140001040682,株式会社岡野自動車整備,兵庫県,佐用郡佐用町,豊福６６２番地,6795316
1140001040757,リン自然食品株式会社,兵庫県,佐用郡佐用町,真宗６０７番地１,6795137
1140001040781,株式会社六葉会,兵庫県,佐用郡佐用町,口金近５３１番地,6795346
1140001040798,株式会社ジーン・コヒーレント,兵庫県,佐用郡佐用町,大畑６７２番地１号,6795145
1140001077832,株式会社あやとり,兵庫県,佐用郡佐用町,末廣２０４１番地１,6795147
1140001104925,株式会社ＡＬＷＡＹＳ,兵庫県,佐用郡佐用町,横坂４００,6795341
1140001108587,コバコ株式会社,兵庫県,佐用郡佐用町,佐用２８２８番地１０,6795301
1140001115113,株式会社播磨トータルプランニング,兵庫県,佐用郡佐用町,下徳久２７２番地１４５,6795211
1140001127604,株式会社エアーアシストジャパン,兵庫県,佐用郡佐用町,安川１０８９番地,6795205
1140002033041,株式会社山本営農,兵庫県,佐用郡佐用町,安川８９６番地,6795205
2140001015667,朝日グローブ株式会社,兵庫県,佐用郡佐用町,米田１５番地の１,6795203
2140001039245,株式会社石井工作所,兵庫県,佐用郡佐用町,下石井８７７番地の１,6795321
2140001039253,株式会社建産,兵庫県,佐用郡佐用町,仁方６６６番地,6795312
2140001039278,株式会社福本測量設計事務所,兵庫県,佐用郡佐用町,山脇５００番地,6795302
2140001039286,株式会社矢代法師園,兵庫県,佐用郡佐用町,延吉１２０３番地の５,6795332
2140001039294,久崎産業株式会社,兵庫県,佐用郡佐用町,家内１０２番地,6795652
2140001039311,株式会社ふじい呉服店,兵庫県,佐用郡佐用町,上月１０８７番地の４,6795523
2140001039328,株式会社テクノ・ハリマ,兵庫県,佐用郡佐用町,円応寺１６０番地６,6795300
2140001039336,株式会社ツカザキ,兵庫県,佐用郡佐用町,三日月１２５２番地,6795133
2140001039344,三日月繊維工業株式会社,兵庫県,佐用郡佐用町,末広５３３番地,6795300
2140001040285,株式会社Ｐｌｕｓ　Ｏｎｅ,兵庫県,佐用郡佐用町,下徳久４３６番地,6795211
2140001090041,株式会社セイト,兵庫県,佐用郡佐用町,佐用１５３番地１,6795301
2140001106508,山口総建株式会社,兵庫県,佐用郡佐用町,佐用３２８番地,6795301
2140001108792,株式会社プロトデザイン,兵庫県,佐用郡佐用町,横坂１２６番地３,6795341
2140001110848,株式会社ＳＡＹＯ,兵庫県,佐用郡佐用町,久崎５０番地,6795641
2140001114824,ＴＡＫＡＭＩ株式会社,兵庫県,佐用郡佐用町,大酒７０９番地,6795654
2140001116556,株式会社かのね,兵庫県,佐用郡佐用町,佐用２８２８番地１０,6795301
2140001117991,株式会社元気工房さよう,兵庫県,佐用郡佐用町,乃井野１２６６番地,6795134
2140001124889,株式会社陽菜工務店,兵庫県,佐用郡佐用町,上三河１５０番地,6795225
2140001125490,株式会社福田営農,兵庫県,佐用郡佐用町,福澤１１３６番地３,6795311
2140001129905,株式会社Ｒｕｎ＆Ｗａｌｋ,兵庫県,佐用郡佐用町,西下野２００番地２,6795222
3011301023280,株式会社プライドオブジャパン,兵庫県,佐用郡佐用町,須安５２９,6795532
3140001039244,株式会社井上家具センター,兵庫県,佐用郡佐用町,佐用２８９９番地の６,6795301
3140001039252,株式会社熊渕建設,兵庫県,佐用郡佐用町,下石井２２９２番地の１,6795321
3140001039260,株式会社佐用自動車学院,兵庫県,佐用郡佐用町,平福１８８番地,6795331
3140001039269,株式会社延原商店,兵庫県,佐用郡佐用町,横坂６３８番地,6795341
3140001039277,船曳土木興業株式会社,兵庫県,佐用郡佐用町,円応寺４９４番地の１８,6795300
3140001039285,株式会社安岡建設,兵庫県,佐用郡佐用町,佐用３５１３番地の１,6795301
3140001039293,久崎温泉株式会社,兵庫県,佐用郡佐用町,円光寺６５６番地の１,6795642
3140001039302,株式会社高見寝具,兵庫県,佐用郡佐用町,久崎１９２番地,6795641
3140001039310,株式会社森崎建設,兵庫県,佐用郡佐用町,仁位３２０番地１,6795522
3140001039319,産栄サービス株式会社,兵庫県,佐用郡佐用町,安川９０４番地,6795205
3140001039335,株式会社末広建設,兵庫県,佐用郡佐用町,三日月７０２番地の６,6795133
3140001039392,株式会社リフレッシュ,兵庫県,佐用郡佐用町,三日月１１５４番地８,6795133
3140001039681,株式会社アイ・ティー建設,兵庫県,佐用郡佐用町,仁方６６６番地,6795312
3140001040615,株式会社瀬戸内,兵庫県,佐用郡佐用町,口金近４５９番地７４,6795346
3140001088217,株式会社盛岡生花,兵庫県,佐用郡佐用町,佐用１０３３番地１,6795301
3140001100154,株式会社Ｔコーポレーション,兵庫県,佐用郡佐用町,横坂１７７番地３,6795341
4140001039243,株式会社飛鳥土木,兵庫県,佐用郡佐用町,長尾３８番地の１,6795305
4140001039251,近畿農産資材株式会社,兵庫県,佐用郡佐用町,山脇字一本木１１２９番地,6795302
4140001039268,チエリー佐用販売株式会社,兵庫県,佐用郡佐用町,円応寺２０７番地の１,6795300
4140001039276,株式会社福元水道設備,兵庫県,佐用郡佐用町,佐用２２８番地の１,6795301
4140001039284,株式会社マンエイ,兵庫県,佐用郡佐用町,佐用３５３２番地の１,6795301
4140001039292,株式会社岸本鉄工所,兵庫県,佐用郡佐用町,大酒７６３番地,6795654
4140001039301,株式会社三和産業,兵庫県,佐用郡佐用町,早瀬８６２番地,6795521
4140001039318,三光プロパンガス株式会社,兵庫県,佐用郡佐用町,下徳久８６０番地の２,6795211
4140001039326,三河電機株式会社,兵庫県,佐用郡佐用町,上三河３４番地の２,6795225
4140001039334,株式会社新光建設,兵庫県,佐用郡佐用町,三日月１７１２番地,6795133
4140001039342,本多石油株式会社,兵庫県,佐用郡佐用町,三日月１００８番地の１,6795133
4140001039409,森脇産業株式会社,兵庫県,佐用郡佐用町,米田１５番地の１,6795203
4140001039581,株式会社シャチ,兵庫県,佐用郡佐用町,口金近字八ノ谷４５９番地１２,6795346
4140001040333,コバヤシ商事株式会社,兵庫県,佐用郡佐用町,上月５５８番地１,6795523
4140001040432,株式会社日本ＲＯ浄水機,兵庫県,佐用郡佐用町,上月５９０番地２,6795523
4140001040531,上越フーズ株式会社,兵庫県,佐用郡佐用町,真宗６０７番地１,6795137
4140001040853,株式会社ジオリンク,兵庫県,佐用郡佐用町,佐用１３４４番地１,6795301
4140001105788,株式会社吉田営農,兵庫県,佐用郡佐用町,下秋里９００番地,6795643
4140001106381,株式会社經世濟民カンパニー昴,兵庫県,佐用郡佐用町,佐用３６５２番地１,6795301
4140001111349,タマＲａｎｃｈ株式会社,兵庫県,佐用郡佐用町,多賀２６７番地の１,6795201
4140001122759,株式会社Ｇ２ＰＲＯＤＵＣＴ,兵庫県,佐用郡佐用町,佐用２８９８番地４,6795301
4140001126082,株式会社アグリ藤本,兵庫県,佐用郡佐用町,中島３８１番地１,6795202
4140001139613,株式会社濱田商会,兵庫県,佐用郡佐用町,桑野３０番地,6795334
5120001180262,リゾート関西株式会社,兵庫県,佐用郡佐用町,下徳久字銭亀２７２番地ヒルズエリア１１街区５Ａ,6795211
5140001039250,株式会社カネニ,兵庫県,佐用郡佐用町,延吉７７８番地の２,6795332
5140001039259,佐用プロパンガス株式会社,兵庫県,佐用郡佐用町,佐用７８番地の１,6795301
5140001039267,天元石油株式会社,兵庫県,佐用郡佐用町,本位田乙２０７番地の１,6795306
5140001039275,株式会社光土木,兵庫県,佐用郡佐用町,長尾８９８番地,6795305
5140001039291,株式会社上野組,兵庫県,佐用郡佐用町,櫛田２０７３番地の１,6795651
5140001039300,株式会社佐用吉延精工,兵庫県,佐用郡佐用町,大酒１２８番地,6795654
5140001039309,兵庫新光土木株式会社,兵庫県,佐用郡佐用町,仁位３２０番地の１,6795522
5140001039317,株式会社井上建設,兵庫県,佐用郡佐用町,上三河１２７番地の２,6795225
5140001039325,船越山観光株式会社,兵庫県,佐用郡佐用町,船越８７７番地,6795227
5140001039333,さのむね工芸株式会社,兵庫県,佐用郡佐用町,真宗２６番地,6795137
5140001039341,株式会社古川組,兵庫県,佐用郡佐用町,乃井野１５６９番地の１,6795134
5140001039564,株式会社岩井堂,兵庫県,佐用郡佐用町,三日月１１６３番地,6795133
5140001040530,株式会社岡尾医院松寿会,兵庫県,佐用郡佐用町,米田４１０番地３,6795203
5140001040662,株式会社ソーイング三日月,兵庫県,佐用郡佐用町,三日月７０１番地,6795133
5140001040794,株式会社ニコスタイル,兵庫県,佐用郡佐用町,上三河１７６番地,6795225
5140001095590,株式会社ＭＹセキュリティ・カンパニー,兵庫県,佐用郡佐用町,小日山３３２番地,6795535
5140001097141,株式会社農業ライフ,兵庫県,佐用郡佐用町,船越字横坂３９５番,6795227
5140001098965,株式会社國上建設,兵庫県,佐用郡佐用町,上三河４１６番地,6795225
5140001103675,佐用カントリーホテルアンドリゾート株式会社,兵庫県,佐用郡佐用町,金屋４３２番地,6795513
5140001114482,株式会社クライステック,兵庫県,佐用郡佐用町,才金４１１番地１,6795502
5140001117394,株式会社さよひめ営農,兵庫県,佐用郡佐用町,本位田甲３０３番地１,6795306
5140001135355,株式会社Ｋプラス,兵庫県,佐用郡佐用町,佐用６４７番地１,6795301
5140002033302,株式会社サンワ,兵庫県,佐用郡佐用町,大酒６９０番地,6795654
5140003006018,株式会社みかづきｅ,兵庫県,佐用郡佐用町,上本郷３６３番地,6795131
5140005021353,株式会社マオ,兵庫県,佐用郡佐用町,三日月１３４番地,6795133
6060001027444,株式会社三然,兵庫県,佐用郡佐用町,福吉２５５番地,6795514
6140001039241,阿山建設株式会社,兵庫県,佐用郡佐用町,真盛１３５番地の１,6795303
6140001039258,株式会社佐用精機製作所,兵庫県,佐用郡佐用町,円応寺２２２番地,6795300
6140001039266,株式会社天常園,兵庫県,佐用郡佐用町,山脇１０２８番地,6795302
6140001039274,兵岡建設株式会社,兵庫県,佐用郡佐用町,本位田甲２６２番地の１,6795306
6140001039282,本多石油株式会社,兵庫県,佐用郡佐用町,佐用８３番地の１,6795301
6140001039290,株式会社岩本建設,兵庫県,佐用郡佐用町,大酒５５８番地,6795654
6140001039299,三興繊維株式会社,兵庫県,佐用郡佐用町,仁位２１９番地の１,6795522
6140001039316,株式会社ユーテック,兵庫県,佐用郡佐用町,安川２０５番地の１,6795205
6140001039324,株式会社ヒラタ,兵庫県,佐用郡佐用町,西徳久８４５番地の２,6795214
6140001039332,三興繊維株式会社,兵庫県,佐用郡佐用町,末広３５９番地,6795300
6140001039423,南光電気株式会社,兵庫県,佐用郡佐用町,上三河３２番地の６,6795225
6140001040397,ニチエー技研株式会社,兵庫県,佐用郡佐用町,乃井野６７３番地,6795134
6140001040447,株式会社サンガーデン,兵庫県,佐用郡佐用町,船越８５２番地,6795227
