法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010401132290,株式会社栗清デザイン,兵庫県,加古川市,別府町別府８３３番地の１パレ・ロワイヤル別府９０３号,6750122
1140001011155,ミツレフーズ株式会社,兵庫県,加古川市,平岡町一色西２丁目９９番地,6750117
1140001022895,ＳＲＩエンジニアリング株式会社,兵庫県,加古川市,野口町水足１９６０番地,6750019
1140001024875,株式会社ノブ,兵庫県,加古川市,西神吉町大国２４５番地の５,6750044
1140001032201,株式会社信玄,兵庫県,加古川市,別府町東町２５−１,6750135
1140001034569,株式会社碓氷商店,兵庫県,加古川市,加古川町北在家２００６番地,6750031
1140001034981,シマブンテック株式会社,兵庫県,加古川市,尾上町池田１８８４番地の１,6750023
1140001036012,株式会社アモール,兵庫県,加古川市,平岡町新在家２丁目２７７番地,6750101
1140001042423,アイワ農機株式会社,兵庫県,加古川市,野口町良野１５０９番地,6750017
1140001042448,朝日コンクリート工業株式会社,兵庫県,加古川市,別府町新野辺１２５０番地の１,6750131
1140001042456,株式会社亜米里庵,兵庫県,加古川市,尾上町池田８３番地の１４,6750023
1140001042480,株式会社イズミオートセンター,兵庫県,加古川市,加古川町河原９８番地,6750067
1140001042489,株式会社一蔵,兵庫県,加古川市,平荘町里３８１−１,6751232
1140001042497,井上石油株式会社,兵庫県,加古川市,平岡町一色３３６番地の５,6750115
1140001042506,株式会社イワケ容器,兵庫県,加古川市,尾上町長田２４５番地１,6750024
1140001042514,池本石油販売株式会社,兵庫県,加古川市,志方町投松３６６番地の１,6750313
1140001042530,エイコー株式会社,兵庫県,加古川市,志方町成井１１０番地の３,6750334
1140001042539,尾上ロープ加工株式会社,兵庫県,加古川市,尾上町今福１２８番地,6750027
1140001042547,オメガオイル株式会社,兵庫県,加古川市,尾上町養田１５２９番地の１,6750025
1140001042555,尾上開発株式会社,兵庫県,加古川市,尾上町安田４９９番地の１,6750021
1140001042563,小川不動産開発株式会社,兵庫県,加古川市,加古川町河原４６８番地の６,6750067
1140001042588,加古川蔬菜株式会社,兵庫県,加古川市,野口町野口５３１番地の１,6750012
1140001042596,株式会社加古川組,兵庫県,加古川市,加古川町本町１７２番地の１,6750037
1140001042605,株式会社エス・ケー・エス,兵庫県,加古川市,尾上町今福５０１番地の７,6750027
1140001042613,株式会社エクステリア兵庫,兵庫県,加古川市,野口町坂元３２９番地の５３,6750018
1140001042621,株式会社エフエムコーポレーシヨン,兵庫県,加古川市,志方町志方町１４８４番地,6750321
1140001042638,大崎青果株式会社,兵庫県,加古川市,野口町長砂７０７番地,6750016
1140001042646,株式会社大西自動車,兵庫県,加古川市,平岡町高畑２６３番地の１,6750103
1140001042654,大村株式会社,兵庫県,加古川市,加古川町溝之口５６０番地,6750064
1140001042662,株式会社岡田屋商店,兵庫県,加古川市,加古川町本町２５番地の５,6750037
1140001042670,株式会社近畿技研,兵庫県,加古川市,加古川町備後字東代２３番地１５,6750032
1140001042679,岸本青果株式会社,兵庫県,加古川市,志方町横大路１１８５番地の１,6750332
1140001042687,北野電機株式会社,兵庫県,加古川市,別府町宮田町９番地,6750132
1140001042712,共立商事株式会社,兵庫県,加古川市,野口町野口１１８番地,6750012
1140001042729,クラウン商事株式会社,兵庫県,加古川市,平岡町高畑５２０番地の１７,6750103
1140001042737,栗山電機株式会社,兵庫県,加古川市,志方町細工所５５７番地,6750303
