法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001037563,株式会社ヤマテツ,兵庫県,加古郡播磨町,二子１９６番地の２,6750162
1140001037803,株式会社ＤＨＭ,兵庫県,加古郡播磨町,北本荘１丁目１４番１０号,6750144
1140001042381,株式会社ブリランテ,兵庫県,加古郡播磨町,北野添２丁目２２番９３号,6750158
1140001044329,株式会社生光工業所,兵庫県,加古郡播磨町,東新島７番地,6750164
1140001044337,関西重工業株式会社,兵庫県,加古郡播磨町,新島３４番地の１,6750155
1140001044345,木下運送株式会社,兵庫県,加古郡播磨町,宮西３丁目４番９号,6750145
1140001044411,播磨設備株式会社,兵庫県,加古郡播磨町,北本荘３丁目４番１４号,6750144
1140001044428,株式会社フタガワテック,兵庫県,加古郡播磨町,東新島１３番地,6750164
1140001044436,株式会社松原テクノ,兵庫県,加古郡播磨町,新島２７番地,6750155
1140001044444,株式会社明光,兵庫県,加古郡播磨町,野添１６６９番地の２,6750151
1140001045054,株式会社川崎工務店,兵庫県,加古郡播磨町,宮北１丁目２番２７号,6750143
1140001045335,株式会社であいの家,兵庫県,加古郡播磨町,上野添３丁目２番６号,6750157
1140001045483,株式会社西口商店,兵庫県,加古郡播磨町,古宮１丁目４番１０号,6750163
1140001045500,株式会社水田工業,兵庫県,加古郡播磨町,南大中３丁目１４−３８,6750147
1140001045681,株式会社ケーアイリビング,兵庫県,加古郡播磨町,南大中２丁目１番９号,6750147
1140001045756,株式会社福島,兵庫県,加古郡播磨町,東野添２丁目１２番１３号,6750159
1140001045764,株式会社木村建築設計事務所,兵庫県,加古郡播磨町,本荘４丁目１番２３号,6750154
1140001045839,ティーエスアグロ株式会社,兵庫県,加古郡播磨町,宮西３４６番地,6750145
1140001045946,Ｒｅスタート株式会社,兵庫県,加古郡播磨町,西野添３丁目１９番１号,6750160
1140001045962,株式会社タナチョー兵庫,兵庫県,加古郡播磨町,古宮９１番１,6750163
1140001045995,株式会社播磨カレットセンター,兵庫県,加古郡播磨町,新島６番地の７,6750155
1140001046226,株式会社ダークホースＪＡＰＡＮ,兵庫県,加古郡播磨町,西野添３丁目１４−２２−２０４,6750160
1140001046242,アサハラ不動産投資ＦＰ株式会社,兵庫県,加古郡播磨町,大中２丁目４番２８号,6750142
