法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001027515,株式会社稲美ファーム,兵庫県,加古郡稲美町,加古４７５０−１,6751105
1140001034635,大木油設株式会社,兵庫県,加古郡稲美町,印南川北２５７４番地の１,6751111
1140001034783,共立工業株式会社,兵庫県,加古郡稲美町,下草谷４４１番地の６１,6751101
1140001037299,株式会社ＭＡＳＡマネージメント,兵庫県,加古郡稲美町,国岡１３８４番地の４,6751115
1140001044460,アサヒ熔工株式会社,兵庫県,加古郡稲美町,森安３３９番地,6751124
1140001044469,株式会社井澤組,兵庫県,加古郡稲美町,下草谷４０１番地の１０７,6751101
1140001044477,稲美土建株式会社,兵庫県,加古郡稲美町,加古１４１２番地の１,6751105
1140001044493,株式会社エイショウ,兵庫県,加古郡稲美町,加古４０６２番地の２,6751105
1140001044502,大山鉄工株式会社,兵庫県,加古郡稲美町,加古字北新田北１００７番地の２７,6751105
1140001044510,関西和泉株式会社,兵庫県,加古郡稲美町,六分一４７７番地の１,6751112
1140001044527,株式会社コウベテック,兵庫県,加古郡稲美町,国安字高佐１２９２番７０,6751114
1140001044535,小村石油株式会社,兵庫県,加古郡稲美町,岡２２８７番地,6751113
1140001044543,伸興測量株式会社,兵庫県,加古郡稲美町,国岡３丁目３３番地の４,6751115
1140001044551,正起プレス工業株式会社,兵庫県,加古郡稲美町,下草谷４４１番地の１２７,6751101
1140001044576,株式会社玉屋,兵庫県,加古郡稲美町,下草谷４０１番地の８８,6751101
1140001044584,中岡住建株式会社,兵庫県,加古郡稲美町,印南８４３番地の８,6751111
1140001044592,株式会社縄岡商店,兵庫県,加古郡稲美町,六分一１１７８番地,6751112
1140001044618,株式会社フォーサイト,兵庫県,加古郡稲美町,中村５４０番地の４６,6751122
1140001044626,株式会社藤原自動車工業所,兵庫県,加古郡稲美町,国岡１丁目１７１番地,6751115
1140001044634,株式会社あいのや,兵庫県,加古郡稲美町,六分一１３５２番地の１,6751112
1140001044650,山口林業住宅株式会社,兵庫県,加古郡稲美町,加古１９５４番地,6751105
1140001044659,株式会社ヨネダコーポレーション,兵庫県,加古郡稲美町,岡３０８番地,6751113
1140001044667,株式会社ミツワ食品,兵庫県,加古郡稲美町,中村１１８３番地の４,6751122
1140001044709,株式会社杉本興業,兵庫県,加古郡稲美町,中村１１６０番地の１,6751122
1140001044790,株式会社エイティブ設計,兵庫県,加古郡稲美町,森安２４０番地,6751124
1140001045013,株式会社アデキ建築企画,兵庫県,加古郡稲美町,森安６３番地の１,6751124
1140001045021,株式会社ＪＡオートサービス,兵庫県,加古郡稲美町,国岡１４１４番１,6751115
1140001045277,株式会社清水工業,兵庫県,加古郡稲美町,中村１３９３番地の６,6751122
1140001045319,株式会社匠建築工房,兵庫県,加古郡稲美町,六分一１１８２番地の３９,6751112
1140001045590,株式会社山商,兵庫県,加古郡稲美町,六分一１２０９番地の２９１,6751112
1140001045673,株式会社Ｐ．Ｄソリューションズ,兵庫県,加古郡稲美町,加古２８４６番地の１,6751105
1140001046317,株式会社ＴＢＳロジスコ,兵庫県,加古郡稲美町,国岡６７８−１４,6751115
1140001046416,株式会社ＫＨＳ,兵庫県,加古郡稲美町,草谷字相野１番７４３,6751102
1140001064970,株式会社ケーラインズ,兵庫県,加古郡稲美町,加古３４７２番地の３,6751105
1140001065044,株式会社ベストリンケージ,兵庫県,加古郡稲美町,中一色８７６番１,6751127
1140001089423,株式会社ＴＳＳ,兵庫県,加古郡稲美町,国岡３丁目６番地の９,6751115
1140001093177,株式会社サン西川,兵庫県,加古郡稲美町,加古４７００番地,6751105
1140001095099,株式会社一勝堂,兵庫県,加古郡稲美町,国安２丁目６０番地,6751114
1140001097013,株式会社クライフ,兵庫県,加古郡稲美町,六分一２５０番地,6751112
1140001100404,株式会社すまいるハーツ,兵庫県,加古郡稲美町,国安１１２３,6751114
1140001106855,株式会社明光ワークス,兵庫県,加古郡稲美町,中村１６３５番地１,6751122
1140001109073,株式会社Ｓｏｕｂａｙａ　Ｔｒａｄｉｎｇ,兵庫県,加古郡稲美町,下草谷４４１−３９,6751101
1140001109890,株式会社船屋．ｃｏｍ,兵庫県,加古郡稲美町,印南１７９番地,6751111
1140001110799,株式会社ＥＴＲＩＰＬＥ,兵庫県,加古郡稲美町,野寺８５３番地１号,6751104
1140001113389,ＬｉｇｈｔＷｉｌｌ株式会社,兵庫県,加古郡稲美町,岡２６５番地の２,6751113
1140001114073,レイウェル株式会社,兵庫県,加古郡稲美町,国岡３丁目３６番地の２１,6751115
1140001115848,三田工業株式会社,兵庫県,加古郡稲美町,加古３１５３−６,6751105
1140001117340,株式会社栄華実業,兵庫県,加古郡稲美町,印南１２２１−１,6751111
1140001117951,政電機株式会社,兵庫県,加古郡稲美町,和田１６３番地の９,6751125
1140001118702,株式会社ＷＡパートナーズ,兵庫県,加古郡稲美町,加古２７５３番地,6751105
1140001121664,株式会社ＦＲＩＥＮＤ美建,兵庫県,加古郡稲美町,印南２５５９番地の６,6751111
1140001121796,ＭＡＳＡ溶接技工株式会社,兵庫県,加古郡稲美町,印南１０５８番地の３５,6751111
1140001122142,株式会社ＭＩ商会,兵庫県,加古郡稲美町,六分一１１８３−６１,6751112
1140001124329,株式会社いなみ野いちご畑,兵庫県,加古郡稲美町,中村１０６７−１,6751122
1140001124436,藤本商店株式会社,兵庫県,加古郡稲美町,中村１３９３番地の６２,6751122
1140001125302,和勝株式会社,兵庫県,加古郡稲美町,印南１０５８−７８,6751111
1140001127967,株式会社石井不動産,兵庫県,加古郡稲美町,六分一１２０９番地の２１,6751112
1140001134154,株式会社創和,兵庫県,加古郡稲美町,岡１９０,6751113
1140001138849,株式会社モトマ,兵庫県,加古郡稲美町,六分一１３５４番地の１８,6751112
1140001142207,株式会社大下商会,兵庫県,加古郡稲美町,加古１４１７番地１,6751105
1140001142504,株式会社旭栄,兵庫県,加古郡稲美町,加古２４６１番地の２,6751105
2040001107730,嘉洋商事株式会社,兵庫県,加古郡稲美町,草谷１−６５５,6751102
2120001132019,株式会社レアルトレード,兵庫県,加古郡稲美町,野谷４３４番地の１,6751103
2140001037884,タクミオフィス株式会社,兵庫県,加古郡稲美町,印南２２３７番地,6751111
2140001042736,グランヨーク株式会社,兵庫県,加古郡稲美町,国岡６丁目２０２番地ルーク２０３号,6751115
2140001043759,株式会社賀健,兵庫県,加古郡稲美町,六分一１１８６番地の４６,6751112
2140001044105,登英機設株式会社,兵庫県,加古郡稲美町,六分一字百丁歩１３２０−１,6751112
2140001044484,植田住地株式会社,兵庫県,加古郡稲美町,六分一１１７８番地の２５１,6751112
2140001044492,株式会社エー・エス・ケイ,兵庫県,加古郡稲美町,国安１３１番地の３,6751114
2140001044501,大山株式会社,兵庫県,加古郡稲美町,草谷９５１番地の１,6751102
2140001044518,株式会社木村製作所,兵庫県,加古郡稲美町,六分一字百丁歩１３６２番６６,6751112
2140001044526,エスティートラックス株式会社,兵庫県,加古郡稲美町,野寺８４６番地の４４,6751104
2140001044542,株式会社ジェイアンドシーコーポレーション,兵庫県,加古郡稲美町,六分一１２０９番地の２１,6751112
2140001044559,株式会社千昌工務店,兵庫県,加古郡稲美町,野寺４１番地の７,6751104
2140001044567,大穂工業株式会社,兵庫県,加古郡稲美町,中村１３９４番地,6751122
2140001044575,玉田建設株式会社,兵庫県,加古郡稲美町,国安１３１番地の３,6751114
2140001044583,トーメイ工業株式会社,兵庫県,加古郡稲美町,草谷１０４０番地の７,6751102
2140001044600,日善エンジニアリング株式会社,兵庫県,加古郡稲美町,加古１００４番地の１９,6751105
2140001044609,株式会社ハリマガーデン,兵庫県,加古郡稲美町,六分一１２０９番地の５６２,6751112
2140001044617,平山設備株式会社,兵庫県,加古郡稲美町,岡２７４６番地の５,6751113
2140001044625,藤本鉄工株式会社,兵庫県,加古郡稲美町,印南７９１番地の６,6751111
2140001044633,豊泉土建工業株式会社,兵庫県,加古郡稲美町,国岡５３０番地の１,6751115
2140001044641,三美塗装工業株式会社,兵庫県,加古郡稲美町,六分一１２２７番地,6751112
2140001044658,吉原運輸株式会社,兵庫県,加古郡稲美町,草谷１番７２１,6751102
2140001045103,株式会社フォースしんせい,兵庫県,加古郡稲美町,岡９１６番地の４,6751113
2140001045128,株式会社松本物流,兵庫県,加古郡稲美町,下草谷４４４番地の２３,6751101
2140001045672,株式会社ハリマパッケージ,兵庫県,加古郡稲美町,中一色８００番地,6751127
2140001045722,株式会社アキ設備設計,兵庫県,加古郡稲美町,野寺１０５０番地の３３１,6751104
2140001045788,中村工業株式会社,兵庫県,加古郡稲美町,中村１１７９番地の１７,6751122
2140001045929,関西住器エンジニアリング株式会社,兵庫県,加古郡稲美町,国岡３丁目６番地の１６,6751115
2140001046043,株式会社協栄通信,兵庫県,加古郡稲美町,六分一１１７８番地の４７４,6751112
2140001046233,株式会社小山ホールディングス,兵庫県,加古郡稲美町,和田３２９番地,6751125
2140001046266,株式会社ハウスプランニング加古川,兵庫県,加古郡稲美町,岡５６３番地,6751113
2140001046274,株式会社長山技研,兵庫県,加古郡稲美町,岡１３００番地の２,6751113
2140001046381,エム・コーポレーション株式会社,兵庫県,加古郡稲美町,国安４１１番地,6751114
2140001076395,仁木マシナリー株式会社,兵庫県,加古郡稲美町,六分一７１０番地１,6751112
2140001093416,ヴィーボンズ株式会社,兵庫県,加古郡稲美町,六分一字相ノ山１２０９−１８７,6751112
2140001095206,リンクデザイン株式会社,兵庫県,加古郡稲美町,六分一１１７９番地の４５,6751112
2140001097078,株式会社大地商事,兵庫県,加古郡稲美町,岡字内ケ池上２５４５番１８,6751113
2140001101038,株式会社Ｋ＆Ｋ,兵庫県,加古郡稲美町,印南１０５８番地の３５８,6751111
2140001102036,株式会社きぼう,兵庫県,加古郡稲美町,六分一７７０番地の３,6751112
2140001102300,株式会社ペイントホームナカイ,兵庫県,加古郡稲美町,加古７５３番地の１,6751105
2140001103711,株式会社ＲＤＨ,兵庫県,加古郡稲美町,国安２４５番地の１,6751114
2140001105022,株式会社Ｍ・Ｋ・Ｒ,兵庫県,加古郡稲美町,加古１７１番地,6751105
2140001105047,株式会社ＯＳコーポレーション,兵庫県,加古郡稲美町,中村１１５９番地の１,6751122
2140001105162,サハラ機械株式会社,兵庫県,加古郡稲美町,下草谷４４１番地の１２７,6751101
2140001105294,株式会社馬渡建築,兵庫県,加古郡稲美町,国安１丁目９６番地,6751114
2140001105939,株式会社小島精機,兵庫県,加古郡稲美町,北山９３２番地の２,6751121
