法人番号,法人名,都道府県,市区町村,番地,郵便番号
1120001162116,株式会社エムティーピー・アクリュ,兵庫県,加東市,上三草１１３４番地２１１,6731472
1120101044924,株式会社やまいち,兵庫県,加東市,永福１７７７−５４,6731313
1120901019415,株式会社ウエストワンズ,兵庫県,加東市,上三草字三草山１１３６番地６７,6731472
1140001041053,株式会社ケーツー,兵庫県,加東市,新町３５４番地２,6790204
1140001074862,株式会社丸山刺繍,兵庫県,加東市,上滝野５７５番地,6790211
1140001074879,株式会社稲見木材,兵庫県,加東市,河高９６１番地２,6790221
1140001074887,池本建設株式会社,兵庫県,加東市,秋津７０５番地,6731302
1140001074895,遠藤コンス株式会社,兵庫県,加東市,上滝野８５７番地,6790211
1140001074904,岡部産業株式会社,兵庫県,加東市,山国２０３５番地１,6731421
1140001074912,株式会社加東測量,兵庫県,加東市,大畑５９４番地,6731325
1140001074920,加東レンタカー株式会社,兵庫県,加東市,黒谷１２０１番地の１３,6731301
1140001074929,株式会社キヌヤ,兵庫県,加東市,社７５５番地,6731431
1140001074937,木田電工株式会社,兵庫県,加東市,木梨２４番地の３,6731461
1140001074945,上月設備工業株式会社,兵庫県,加東市,社１５１１番地の２,6731431
1140001074953,株式会社五洋産業,兵庫県,加東市,新定３９６番地の２,6731324
1140001074961,三研化学産業株式会社,兵庫県,加東市,上滝野２３３番地の４,6790211
1140001074978,株式会社セリウ電器,兵庫県,加東市,上滝野６６０番地の３,6790211
1140001074986,株式会社創夢建築設計,兵庫県,加東市,屋度４３５番地の１,6731422
1140001074994,株式会社田中電器,兵庫県,加東市,下滝野３丁目７５番地,6790212
1140001075002,株式会社高室池ゴルフ倶楽部,兵庫県,加東市,上三草字中山１１３２番地の２,6731472
1140001075010,東条アルミ株式会社,兵庫県,加東市,横谷６９４番地,6731314
1140001075019,株式会社東条湖温泉,兵庫県,加東市,黒谷１１９７番地の２３,6731301
1140001075035,株式会社長浜住宅設備機器,兵庫県,加東市,下久米５９９番地,6731415
1140001075043,西脇ホンダ販売株式会社,兵庫県,加東市,上滝野１番地６,6790211
1140001075068,兵庫ナショナル販売株式会社,兵庫県,加東市,下滝野１３番地,6790212
1140001075092,株式会社フジイ,兵庫県,加東市,吉馬１７８８番地の１,6731475
1140001075134,株式会社メイセイコンサルタント,兵庫県,加東市,上久米８２４番地,6731414
1140001075142,株式会社ヤシロ,兵庫県,加東市,社８０９番地の６,6731431
1140001075150,株式会社山本工芸,兵庫県,加東市,下久米１３４９番地,6731415
