法人番号,法人名,都道府県,市区町村,番地,郵便番号
1120001107665,株式会社エムシイシイ,兵庫県,加西市,常吉町９２２番地の１９５,6790104
1120901029380,株式会社ソレイユス,兵庫県,加西市,中富町３４７番地の２,6752442
1140001044601,株式会社日本パック運送,兵庫県,加西市,島町１５１番地,6752431
1140001076025,兵庫産業株式会社,兵庫県,加西市,鶉野町１１６８番地の３０,6752103
1140001076033,朝日商事株式会社,兵庫県,加西市,北条町北条８３０番地,6752312
1140001076041,株式会社アクティパック,兵庫県,加西市,山田町１４０番地,6752422
1140001076058,伊東電機株式会社,兵庫県,加西市,北条町栗田２２３番地,6752302
1140001076066,株式会社スタジオウェル,兵庫県,加西市,中西町２４３番地,6752243
1140001076074,植田石油株式会社,兵庫県,加西市,北条町北条１６７番地の１,6752312
1140001076082,植村農機株式会社,兵庫県,加西市,小印南町６３０番の５,6752403
1140001076090,株式会社エコロファーム関西,兵庫県,加西市,鶉野町２０７６番地の２,6752103
1140001076099,株式会社大西ナット製作所,兵庫県,加西市,市村町１７８番地の４,6752337
1140001076108,株式会社大野屋,兵庫県,加西市,北条町栗田１１１番地の１,6752302
1140001076116,株式会社タカガワプロジェクト,兵庫県,加西市,別所町６８３番２４,6752462
1140001076140,加西ガス株式会社,兵庫県,加西市,別所町２３９番地,6752462
1140001076149,源晃産業株式会社,兵庫県,加西市,中西町６２０番地の７,6752243
1140001076165,加西電子工業株式会社,兵庫県,加西市,鶉野町４６番地の５７,6752103
1140001076173,グラフ株式会社,兵庫県,加西市,馬渡谷町２２８番地,6752414
1140001076181,株式会社キシモト,兵庫県,加西市,北条町北条４１番地３,6752312
1140001076207,株式会社コタニ,兵庫県,加西市,中野町１６６５番地,6752102
1140001076215,株式会社マスダックス,兵庫県,加西市,繁昌町１２５０番地の２,6752101
1140001076223,コスモ精密株式会社,兵庫県,加西市,広原町５１８番地の２,6752463
1140001076231,株式会社小林製作所,兵庫県,加西市,玉野町１１１９番地の１８,6790107
1140001076248,株式会社誉田工作所,兵庫県,加西市,池上町３４２番地の２,6752425
1140001076264,株式会社サーフ,兵庫県,加西市,北条町黒駒２８１番地の２,6752313
1140001076272,株式会社サイトウ,兵庫県,加西市,畑町７３６番地の１,6752365
1140001076280,東播瓦産業株式会社,兵庫県,加西市,笹倉町８０４番地,6752443
1140001076289,株式会社杉本製作所,兵庫県,加西市,別所町３４３番地の２,6752462
1140001076297,大洋精機株式会社,兵庫県,加西市,上野町２３５番地,6752434
1140001076306,株式会社晴栄,兵庫県,加西市,北条町古坂６８０番地,6752303
1140001076314,株式会社高部工務店,兵庫県,加西市,北条町古坂１丁目１６５番地,6752303
1140001076330,大栄化学工業株式会社,兵庫県,加西市,河内町３８８番地,6752421
1140001076339,株式会社田中食品,兵庫県,加西市,北条町横尾３５９番地の１,6752311
1140001076355,株式会社塚前組,兵庫県,加西市,豊倉町１２８３番地の１３,6790106
1140001076363,友井商機株式会社,兵庫県,加西市,西笠原町４４番地の１,6752213
1140001076371,内藤薬材株式会社,兵庫県,加西市,三口町１２５７番地の３,6752223
1140001076396,株式会社日産,兵庫県,加西市,下道山町３１６番地の１,6752454
1140001076405,株式会社はたなか,兵庫県,加西市,北条町栗田１０４番地の２,6752302
1140001076413,株式会社播磨高周波加西,兵庫県,加西市,鶉野町２０９９番地,6752103
1140001076421,兵庫興産株式会社,兵庫県,加西市,鶉野町１１６８番地の３０,6752103
1140001076438,藤本運送株式会社,兵庫県,加西市,殿原町６６７番地の３,6752445
1140001076446,株式会社福岡,兵庫県,加西市,中富町字当千田６９７番地の１,6752442
1140001076454,株式会社紅本陣,兵庫県,加西市,北条町東南２４１番地の１,6752324
1140001076462,株式会社蓬＿精工,兵庫県,加西市,野条町２９５番地の１,6752202
1140001076470,松本金属株式会社,兵庫県,加西市,別所町４３８番地,6752462
1140001076479,株式会社マリモ,兵庫県,加西市,北条町栗田４−３,6752302
1140001076487,株式会社ミタカ,兵庫県,加西市,西笠原町１７８番地６,6752213
1140001076512,柳建設株式会社,兵庫県,加西市,北条町黒駒３１６番地の２,6752313
1140001076520,株式会社ロイヤル,兵庫県,加西市,北条町横尾２９２−１,6752311
1140001076537,アサダ工業株式会社,兵庫県,加西市,繁昌町２２７−１,6752101
1140001077007,スガハラ建設株式会社,兵庫県,加西市,北条町東南９８番地の１,6752324
1140001077015,株式会社Ｋ・プランニング,兵庫県,加西市,西笠原町１７２番地の３,6752213
1140001077064,北野電機株式会社,兵庫県,加西市,東剣坂町４７３番地の１,6752346
1140001077089,株式会社ホームトータル消毒,兵庫県,加西市,田原町７０４番地,6752114
1140001077139,株式会社能瀬工作所,兵庫県,加西市,福住町５１９番地,6752334
1140001077213,株式会社ＧＡＰ　ＵＰ,兵庫県,加西市,北条町東高室４７３番地の１,6752321
1140001077279,株式会社エムシイシイ工業,兵庫県,加西市,常吉町９２２−１９９,6790104
1140001077345,株式会社共和商事,兵庫県,加西市,鶉野町１０７４番地,6752103
1140001077361,株式会社ＭｏｒｅＭｏｒｅ,兵庫県,加西市,北条町古坂７丁目２２番地,6752303
1140001077469,株式会社ウイズオート,兵庫県,加西市,段下町４９番の１,6752241
1140001088136,株式会社佐幸物流,兵庫県,加西市,北条町東南２０６番地１２,6752324
1140001088458,株式会社野田祐造,兵庫県,加西市,北条町栗田１２１番地の１,6752302
1140001088755,株式会社きたむら不動産,兵庫県,加西市,北条町横尾４６８番地１,6752311
1140001089381,株式会社山本工務店,兵庫県,加西市,北条町西南５５番地,6752323
1140001089522,株式会社福籠．,兵庫県,加西市,中野町１０５３番地,6752102
1140001090471,株式会社ＫＯＴＯＲＩ,兵庫県,加西市,青野原町１８０番地,6790102
1140001094530,株式会社ジー・キューブアドバンス,兵庫県,加西市,野田町５２６番地の３,6752211
1140001098936,株式会社中塚農園,兵庫県,加西市,池上町２７１番地の２,6752425
1140001100577,株式会社ｔｅｎ,兵庫県,加西市,山下町２３４９−２９,6752354
1140001102573,株式会社メディカルメイク,兵庫県,加西市,鶉野町１０５５番地,6752103
1140001103654,株式会社ミフネ工業,兵庫県,加西市,北条町西高室５５０番地の１７,6752322
1140001105394,友康株式会社,兵庫県,加西市,山下町８４５番地,6752354
1140001116747,株式会社ｎｉｎｅ　ｍｅｅｔｓ,兵庫県,加西市,北条町北条１２２７,6752312
1140001116854,株式会社山章,兵庫県,加西市,北条町東南１１２番地の８,6752324
1140001119584,海航金属株式会社,兵庫県,加西市,北条町黒駒３１０番地１,6752313
1140001120294,株式会社鍛示組建設興業,兵庫県,加西市,畑町２１６０番地,6752365
1140001120600,株式会社ダイキュウ,兵庫県,加西市,鶉野町２０８８番地２,6752103
1140001121086,株式会社一期,兵庫県,加西市,北条町北条１２４８番地の８,6752312
1140001123479,北条ａｃｍｓ株式会社,兵庫県,加西市,北条町北条３６４番地の１,6752312
1140001124394,株式会社優建装,兵庫県,加西市,朝妻町１２１６番地１１４,6790105
1140001124568,ＳｅｃｒｅｔＳｐｒｉｎｇ株式会社,兵庫県,加西市,北条町北条９３番地の１グランディオス加西５０４,6752312
1140001125814,株式会社ＢＵＫＩＫＯ,兵庫県,加西市,北条町北条９５３番地,6752312
1140001126275,株式会社アクラス不動産販売,兵庫県,加西市,北条町横尾４６９番地１,6752311
1140001126647,株式会社大恵,兵庫県,加西市,北条町北条５３番地ラフェスタ加西８０１,6752312
1140001127109,株式会社ハロー,兵庫県,加西市,北条町栗田１２３番６,6752302
1140001131135,株式会社Ｌａｕｇｈ　Ｃｏｒｎｅｒ,兵庫県,加西市,下万願寺町小池６２５−２,6752452
