法人番号,法人名,都道府県,市区町村,番地,郵便番号
1120001028473,株式会社淡路商会,兵庫県,南あわじ市,榎列上幡多７３２番地１,6560422
1120001210502,株式会社パシフィックフィルム,兵庫県,南あわじ市,八木鳥井３６６番地１,6560433
1140001084960,株式会社イー・ウォーター,兵庫県,南あわじ市,市小井１３７番地,6560473
1140001085488,佐古水産株式会社,兵庫県,南あわじ市,阿那賀１６４９番地の２,6560661
1140001085505,淡路協同ガス株式会社,兵庫県,南あわじ市,市小井４４６番地の１の２,6560473
1140001085513,淡路中央タクシー株式会社,兵庫県,南あわじ市,市福永字原口４４３番地の１,6560478
1140001085521,淡路リネンサービス株式会社,兵庫県,南あわじ市,榎列掃守２３５番地,6560428
1140001085538,浦瀬石油株式会社,兵庫県,南あわじ市,福良甲５２２番地の１,6560501
1140001085546,栄光瓦株式会社,兵庫県,南あわじ市,阿万塩屋町５４１番地,6560543
1140001085554,株式会社岡本商店,兵庫県,南あわじ市,市円行寺５２１番地の１,6560461
1140001085562,株式会社岡本建設工業,兵庫県,南あわじ市,湊里３８１番地の１,6560331
1140001085570,株式会社カネサン,兵庫県,南あわじ市,阿万吹上町１１０１番地,6560542
1140001085579,株式会社郷土美化ワールド,兵庫県,南あわじ市,八木養宜上１０２９番地,6560443
1140001085587,株式会社小谷工務店,兵庫県,南あわじ市,阿那賀１１７９番地,6560661
1140001085595,三栄物産株式会社,兵庫県,南あわじ市,神代國衙１３００番地,6560455
1140001085604,株式会社坂本建設,兵庫県,南あわじ市,阿万下町２６１番地２,6560544
1140001085612,ＳＹＧ管理株式会社,兵庫県,南あわじ市,松帆古津路６４５番地,6560304
1140001085620,松栄丸水産株式会社,兵庫県,南あわじ市,阿万東町字垣脇３３７番地の５,6560546
1140001085629,株式会社住吉屋,兵庫県,南あわじ市,湊２９５番地,6560332
1140001085637,株式会社セイワ,兵庫県,南あわじ市,八木養宜上９６２番地１２,6560443
1140001085653,竹原物産株式会社,兵庫県,南あわじ市,賀集９７５番地,6560514
1140001085661,株式會社谷間商店,兵庫県,南あわじ市,福良甲１３５番地５,6560501
1140001085686,土井木材株式会社,兵庫県,南あわじ市,福良甲１５３０番地の３,6560501
1140001085694,鳴門タクシー株式会社,兵庫県,南あわじ市,福良甲１５２９番地の１３,6560501
1140001085711,チェリー淡路販売株式会社,兵庫県,南あわじ市,湊８８番地,6560332
1140001085728,株式会社原口,兵庫県,南あわじ市,福良甲１００７番地の１,6560501
1140001085744,双葉電機株式会社,兵庫県,南あわじ市,福良乙５３４番地の１２,6560502
1140001085752,株式会社ブイ・アイ・ピー,兵庫県,南あわじ市,神代國衙１２４８番地の４,6560455
1140001085760,株式会社堀川忠義商店,兵庫県,南あわじ市,榎列小榎列６０３番地,6560425
1140001085769,マルヰ産業株式会社,兵庫県,南あわじ市,神代國衙１８１番地１,6560455
1140001085777,松本伊株式会社,兵庫県,南あわじ市,榎列大榎列５００番地の１,6560426
1140001085785,マツモト産業株式会社,兵庫県,南あわじ市,市小井１２３番地,6560473
1140001085793,三原トヨタ整備株式会社,兵庫県,南あわじ市,賀集八幡３６８番地,6560511
1140001085802,三原開発株式会社,兵庫県,南あわじ市,賀集８５６番地の１,6560514
1140001085810,三原物産株式会社,兵庫県,南あわじ市,市徳長７３番地,6560477
1140001085819,株式会社村瀬建設,兵庫県,南あわじ市,榎列山所８９６番地の３,6560421
1140001085868,株式会社うずのくに南あわじ,兵庫県,南あわじ市,福良字鳥取丙９４７番地の２２,6560400
1140001085901,株式会社アイテック,兵庫県,南あわじ市,広田広田１３８番地の２,6560122
1140001085918,大成窯業株式会社,兵庫県,南あわじ市,倭文長田７３０番地,6560152
1140001085926,株式会社立花組,兵庫県,南あわじ市,広田広田６６９番地の１,6560122
1140001085934,丸正工業株式会社,兵庫県,南あわじ市,中条中筋１４８０番地,6560143
1140001085959,株式会社あわじ営商,兵庫県,南あわじ市,榎列小榎列４１９番地３,6560425
1140001085967,三由株式会社,兵庫県,南あわじ市,榎列上幡多字龍神１３４０番地５,6560422
1140001085975,株式会社ライフコアコミュニケーション,兵庫県,南あわじ市,市円行寺１５０番地,6560461
1140001086032,株式会社ＡＭＣ,兵庫県,南あわじ市,山添５５７番地,6560121
1140001086040,株式会社覚野,兵庫県,南あわじ市,志知字初見１０番地の３,6560321
1140001086081,株式会社ＭＨＳ,兵庫県,南あわじ市,志知鈩１３３番地,6560322
1140001086156,株式会社カワノプラスチック,兵庫県,南あわじ市,福良乙１５９７番地の３６,6560502
1140001086189,株式会社南あわじオリーヴ園,兵庫県,南あわじ市,賀集鍛冶屋４９１番地,6560514
1140001086230,淡路興産株式会社,兵庫県,南あわじ市,榎列大榎列５００番地の１,6560426
1140001086288,森の木ファーム株式会社,兵庫県,南あわじ市,賀集八幡字森ノ木６２,6560511
1140001086296,株式会社酒部組,兵庫県,南あわじ市,福良丙７９５番地７５,6560503
1140001089349,株式会社ウエルネスプロジェクト,兵庫県,南あわじ市,福良乙１２番地,6560502
1140001091924,株式会社あわじ浜離宮,兵庫県,南あわじ市,松帆古津路９７０番地８１,6560304
1140001093020,株式会社佐藤建設,兵庫県,南あわじ市,榎列大榎列７５１番地６,6560426
1140001094811,株式会社Ｖｅｇｅｓｔ,兵庫県,南あわじ市,志知松本１８番地,6560481
1140001096741,サンライズエナジー株式会社,兵庫県,南あわじ市,広田広田５４７番地２,6560122
1140001098102,株式会社Ａｑａｒｉａ,兵庫県,南あわじ市,八木養宜上４２２番地２,6560443
1140001101162,株式会社平安商店,兵庫県,南あわじ市,津井１６０７番地３,6560341
1140001104891,ＫＢＴ株式会社,兵庫県,南あわじ市,伊加利２３番地１,6560651
1140001106384,株式会社バリューフードデザイン,兵庫県,南あわじ市,広田中筋７３番地,6560131
1140001107151,アスク三共興産株式会社,兵庫県,南あわじ市,山添１６３番地１,6560121
1140001107440,株式会社ＡＫ発電所,兵庫県,南あわじ市,榎列上幡多８５８番地４０,6560422
1140001108918,ｏｎｌｙ　ｏｎｅ　ｍｅａｔ株式会社,兵庫県,南あわじ市,榎列松田２１０番地１,6560427
1140001113785,ＡＷＡＪＩドローンコーポレーション株式会社,兵庫県,南あわじ市,志知松本３３５番地１,6560481
1140001113892,株式会社あわじ・アグリ・アソシエーション,兵庫県,南あわじ市,賀集立川瀬４１番地１,6560512
1140001115947,株式会社ヤマモト,兵庫県,南あわじ市,中条中筋５６２番地,6560143
1140001120039,株式会社カタドル,兵庫県,南あわじ市,山添６２４番地５,6560121
1140001122984,株式会社ＬＩＦＥ　ＰＬＵＳ,兵庫県,南あわじ市,八木寺内１３０３番地１,6560446
1140001126713,株式会社ＭＨＡ,兵庫県,南あわじ市,賀集鍛治屋１１７０番地１,6560515
1140001129204,ＭＴ株式会社,兵庫県,南あわじ市,榎列大榎列甲４１番地３,6560426
1140001129526,株式会社ＩＢＫ,兵庫県,南あわじ市,松帆北方６２３番地,6560301
1140001131176,株式会社トーナル・センター,兵庫県,南あわじ市,阿万西町２８６番地４,6560545
1140001131515,きちまる農園株式会社,兵庫県,南あわじ市,賀集福井７１番地３,6560516
1140001131812,株式会社ＹＯビジョナリーカンパニー,兵庫県,南あわじ市,潮美台２丁目７番地１０,6560521
1140001133511,株式会社Ｎ．ｆｉｅｌｄ,兵庫県,南あわじ市,八木立石８０番地１クラール三原Ｂ１０１号,6560435
1140001136621,株式会社シマドロボー,兵庫県,南あわじ市,八木新庄４４７番地１,6560436
1140001138246,昭和窯業株式会社,兵庫県,南あわじ市,松帆古津路６４５番地,6560304
1140001138460,株式会社ＬＡＮＤＳ,兵庫県,南あわじ市,八木鳥井４２９番地２,6560433
1140001140004,南あわじ水産株式会社,兵庫県,南あわじ市,福良甲１５３０番地１２ピッシーズ１０５号,6560501
1140001141332,株式会社殿脇製作所,兵庫県,南あわじ市,松帆櫟田２０７番地９,6560307
1140002070134,株式会社Ｌｉｆｅ　Ｓｔｙｌｅ　Ｊａｐａｎ,兵庫県,南あわじ市,松帆西路１９３番地１,6560314
1140005019806,南淡蔬菜冷蔵株式会社,兵庫県,南あわじ市,阿万塩屋町１８５番地の６,6560543
1160001018594,株式会社グローイング高島,兵庫県,南あわじ市,志知中島１００４番地１,6560483
1290001089160,株式会社テレワークス,兵庫県,南あわじ市,市三條６７０−１,6560475
2010001146236,株式会社淡陶社,兵庫県,南あわじ市,北阿万伊賀野１２９０番地,6560531
2010001171168,藤井研究所株式会社,兵庫県,南あわじ市,広田広田１０３７,6560122
2120001227941,株式会社カシータコミュニケーションズ,兵庫県,南あわじ市,八木鳥井３６６番地１,6560433
2140001085470,株式会社ＭＡＣ,兵庫県,南あわじ市,市善光寺２５番地１０,6560472
2140001085487,株式会社阿淡交通社,兵庫県,南あわじ市,福良甲１５２８番地の４,6560501
2140001085495,淡路協同物産株式会社,兵庫県,南あわじ市,市三條７３２番地,6560475
2140001085504,株式会社淡路冠婚葬祭互助会,兵庫県,南あわじ市,市福永６０９番地の３,6560478
2140001085512,淡路玉葱株式会社,兵庫県,南あわじ市,阿万塩屋町５６７番地,6560543
2140001085520,淡路農産食品株式会社,兵庫県,南あわじ市,賀集立川瀬３４９番地,6560512
2140001085529,株式会社池田建設,兵庫県,南あわじ市,福良乙１１８８番地の１１,6560502
2140001085537,うずしお商事株式会社,兵庫県,南あわじ市,八木新庄４４１番地の１,6560436
2140001085545,株式会社エモト,兵庫県,南あわじ市,神代國衙１０８４番地の１,6560455
2140001085553,小畠電工株式会社,兵庫県,南あわじ市,賀集福井４６９番地の１,6560516
2140001085561,株式会社オキフーズ,兵庫県,南あわじ市,福良乙１１５８番地,6560502
2140001085578,北村電機株式会社,兵庫県,南あわじ市,榎列上幡多１４４１番地１,6560422
2140001085586,株式会社慶野配合所,兵庫県,南あわじ市,松帆慶野１１４８番地,6560306
2140001085594,コスモセキュリティー株式会社,兵庫県,南あわじ市,神代國衙１６８８番地の２,6560455
2140001085603,株式会社酒井興業,兵庫県,南あわじ市,榎列小榎列４５７番地の２,6560425
2140001085611,新屋アセット株式会社,兵庫県,南あわじ市,湊１３４９番地,6560332
2140001085628,株式会社嶋本食品,兵庫県,南あわじ市,松帆志知川１５４番地,6560313
2140001085652,株式会社滝本,兵庫県,南あわじ市,市小井１３７番地,6560473
2140001085660,株式会社谷口不動産,兵庫県,南あわじ市,潮美台２丁目１４番地の１５,6560521
2140001085669,滝本電機株式会社,兵庫県,南あわじ市,市小井１３７番地,6560473
