法人番号,法人名,都道府県,市区町村,番地,郵便番号
1120001218917,ｍａＲｕ株式会社,兵庫県,多可郡多可町,加美区鳥羽７７３−５９,6791322
1140001074400,光サービス株式会社,兵庫県,多可郡多可町,八千代区大和１０４３,6770132
1140001075258,足立醸造株式会社,兵庫県,多可郡多可町,加美区西脇１１２番地,6791212
1140001075299,株式会社岩田組,兵庫県,多可郡多可町,八千代区大屋６８９番地,6770101
1140001075316,植山織物株式会社,兵庫県,多可郡多可町,八千代区仕出原６８１番地,6770114
1140001075365,大西縫工株式会社,兵庫県,多可郡多可町,中区西安田２４７番地の４,6791123
1140001075415,門脇織物株式会社,兵庫県,多可郡多可町,八千代区中野間８４９番地,6770121
1140001075423,加美電機株式会社,兵庫県,多可郡多可町,加美区熊野部２２３番地の１３,6791202
1140001075448,セントラル急送株式会社,兵庫県,多可郡多可町,八千代区下野間７８０番地の１,6770122
1140001075472,クワムラ食品株式会社,兵庫県,多可郡多可町,中区曽我井８９３番地,6791131
1140001075522,株式会社こてら商店,兵庫県,多可郡多可町,加美区寺内１１７番地１,6791211
1140001075539,株式会社壬生建設,兵庫県,多可郡多可町,八千代区下野間８６５番地の１,6770122
1140001075563,桜井馬術株式会社,兵庫県,多可郡多可町,八千代区坂本字橋谷４５２番地の１２,6770102
1140001075638,多可染工株式会社,兵庫県,多可郡多可町,中区中村町４４６の２番地,6791113
1140001075646,棚倉織物株式会社,兵庫県,多可郡多可町,八千代区中村３５２番地,6770103
1140001075670,大晃繊維株式会社,兵庫県,多可郡多可町,中区中安田５８９番地,6791122
1140001075695,高邦商事株式会社,兵庫県,多可郡多可町,中区中安田７３６番地,6791122
1140001075712,東和織布株式会社,兵庫県,多可郡多可町,八千代区中野間１０５２番地,6770121
1140001075720,株式会社西孝組,兵庫県,多可郡多可町,中区高岸１３３番地の１１,6791106
1140001075729,株式会社日新機械製作所,兵庫県,多可郡多可町,中区鍛冶屋１３９番地,6791111
1140001075794,服部テキスタイル株式会社,兵庫県,多可郡多可町,中区坂本１４７番地,6791132
1140001075811,八千代染工株式会社,兵庫県,多可郡多可町,八千代区下野間８７９番地,6770122
1140001075844,株式会社北播ドライビングスクール,兵庫県,多可郡多可町,中区牧野１４３番地の１１,6791103
1140001075910,株式会社増田工務店,兵庫県,多可郡多可町,中区茂利３６５番地,6791134
1140001075951,森野工業株式会社,兵庫県,多可郡多可町,加美区大袋２２８番地,6791332
1140001076009,安平繊維株式会社,兵庫県,多可郡多可町,中区岸上４６６番地,6791114
1140001076974,住武株式会社,兵庫県,多可郡多可町,中区中村町２６３番地,6791113
1140001077072,株式会社プラスアルファ,兵庫県,多可郡多可町,中区曽我井８９３番地,6791131
1140001077114,株式会社プランタス,兵庫県,多可郡多可町,加美区箸荷３１９,6791334
1140001077205,株式会社フジタ,兵庫県,多可郡多可町,加美区西脇１２１番地,6791212
1140001077262,株式会社宇野鐵工所,兵庫県,多可郡多可町,八千代区中野間５９番地,6770121
1140001088359,株式会社バンテック,兵庫県,多可郡多可町,加美区豊部１６７６番地,6791201
1140001089943,サンフィールド株式会社,兵庫県,多可郡多可町,加美区多田１１６０番地２,6791203
1140001096320,株式会社ジョイント,兵庫県,多可郡多可町,中区中村町２０２番地１０,6791113
1140001097608,株式会社フロイデン八千代,兵庫県,多可郡多可町,八千代区俵田４１４番地,6770113
1140001117811,鷹翔運輸株式会社,兵庫県,多可郡多可町,中区鍛冶屋７４３番地,6791111
1140001127851,株式会社くにひろ農産,兵庫県,多可郡多可町,加美区山口４８番地,6791325
1140001128255,株式会社ＴＡＫＡ　ＨＯＬＤＩＮＧＳ,兵庫県,多可郡多可町,中区高岸３８８番地,6791106
1140001128453,株式会社ささゆり,兵庫県,多可郡多可町,加美区的場３９６番地１,6791214
1140001129006,株式会社プライマリーアセット,兵庫県,多可郡多可町,加美区的場４２４番地,6791214
1140001134526,株式会社白石林業,兵庫県,多可郡多可町,加美区多田４５４番地２７,6791203
1140001136349,株式会社ピーパタ,兵庫県,多可郡多可町,加美区市原１３７−１,6791327
1140001141679,株式会社心禄,兵庫県,多可郡多可町,加美区熊野部１０００番地１５,6791202
1140001141695,株式会社Ｔａｋｅｍｏｔｏ　Ｇｒｅｅｎ　Ｗｏｒｋｓ,兵庫県,多可郡多可町,加美区豊部１１１番地,6791201
2010401155992,ケープセラー株式会社,兵庫県,多可郡多可町,加美区市原１０２−１,6791327
2040001067561,株式会社東京服飾,兵庫県,多可郡多可町,加美区清水４７７,6791323
2140001029824,株式会社ホーザン,兵庫県,多可郡多可町,八千代区仕出原３０２,6770114
2140001075249,朝日織物株式会社,兵庫県,多可郡多可町,八千代区中野間５４５番地の３,6770121
2140001075257,足立織物株式会社,兵庫県,多可郡多可町,中区安楽田５１１番地,6791102
2140001075307,杉本布帛株式会社,兵庫県,多可郡多可町,中区東安田３８３番地の２,6791121
2140001075315,住武ヘルスケアー株式会社,兵庫県,多可郡多可町,中区中村町２３４番地,6791113
2140001075348,株式会社エスジーユー,兵庫県,多可郡多可町,中区森本８０９番地の４,6791124
2140001075422,加美スチール工業株式会社,兵庫県,多可郡多可町,加美区的場４９１番地,6791214
2140001075430,株式会社カミック,兵庫県,多可郡多可町,加美区市原６９１番地,6791327
2140001075447,岸川産業株式会社,兵庫県,多可郡多可町,中区茂利７番地の１,6791134
2140001075505,テイ・アイ・イー株式会社,兵庫県,多可郡多可町,加美区市原６９１番地,6791327
2140001075521,古来賢織物株式会社,兵庫県,多可郡多可町,八千代区赤坂９１番地,6770112
2140001075570,サンテックス株式会社,兵庫県,多可郡多可町,八千代区仕出原３１８番地の１,6770114
2140001075645,株式会社田中鉄工,兵庫県,多可郡多可町,八千代区中野間３４８番地,6770121
2140001075678,株式会社ＤＡＩＹＯ,兵庫県,多可郡多可町,八千代区中野間５７０番地,6770121
2140001075760,株式会社西脇印刷,兵庫県,多可郡多可町,中区鍜冶屋１１８番地の１,6791100
2140001075819,宮崎商事株式会社,兵庫県,多可郡多可町,中区森本８０３番地の３９,6791124
2140001075827,兵庫中央バス株式会社,兵庫県,多可郡多可町,八千代区仕出原４３８番地の１,6770114
2140001075843,株式会社多可観光バス,兵庫県,多可郡多可町,中区中村町１６４番地１,6791113
2140001075851,兵庫金属株式会社,兵庫県,多可郡多可町,八千代区仕出原４５８番地の２,6770114
2140001075884,藤本電機株式会社,兵庫県,多可郡多可町,中区曽我井８８５番地,6791131
2140001075934,株式会社ユミックス,兵庫県,多可郡多可町,中区糀屋２２２番地,6791133
2140001075983,株式会社吉本精工,兵庫県,多可郡多可町,中区西安田４５９番地の１４,6791123
2140001076008,吉徳織物株式会社,兵庫県,多可郡多可町,加美区的場６５１番地の２,6791214
2140001076981,大長冷凍食品株式会社,兵庫県,多可郡多可町,八千代区大和１９４６番地の１,6770132
2140001077352,サカモトメタル株式会社,兵庫県,多可郡多可町,加美区多田９０番地１,6791203
2140001089026,株式会社竹内ガス水道工事,兵庫県,多可郡多可町,中区東山５５２番地１０６,6791105
2140001105914,溶接プロセッシング株式会社,兵庫県,多可郡多可町,加美区箸荷４１１番地１,6791334
2140001107712,株式会社タマダイ,兵庫県,多可郡多可町,八千代区横屋１３６番地１,6770104
2140001109205,北播工業株式会社,兵庫県,多可郡多可町,中区中安田７０５番地,6791122
2140001112357,株式会社木原木材店,兵庫県,多可郡多可町,加美区寺内８８番地,6791211
2140001120558,株式会社足立環境開発,兵庫県,多可郡多可町,加美区的場１４０番地,6791214
2140001126373,株式会社宮設備,兵庫県,多可郡多可町,加美区豊部５８１番地１,6791201
2140001128147,株式会社ｏｆｆｉｃｅはーとぼいす,兵庫県,多可郡多可町,中区間子４７７番地１,6791112
2140001137973,株式会社オシバ電機商会,兵庫県,多可郡多可町,八千代区下野間８４３番地,6770122
2140001140291,株式会社シキツメンテナンス,兵庫県,多可郡多可町,中区鍛冶屋２３９番地２,6791111
2140005017230,加美サイジング株式会社,兵庫県,多可郡多可町,加美区豊部１５番地,6791201
3140001075264,株式会社アイアン,兵庫県,多可郡多可町,中区中村町２７１番地,6791113
3140001075306,株式会社インテリアコンドウ,兵庫県,多可郡多可町,中区中村町４３５番地の２,6791113
3140001075504,株式会社帝相運輸,兵庫県,多可郡多可町,八千代区大和８４番地の１,6770132
3140001075594,株式会社清水商店,兵庫県,多可郡多可町,中区安楽田４４５番地の１,6791102
3140001075677,太平金属株式会社,兵庫県,多可郡多可町,中区牧野字新田４１９番地の１,6791103
3140001075702,東播交通株式会社,兵庫県,多可郡多可町,中区西安田４５７番地６６,6791123
3140001075743,中町電業株式会社,兵庫県,多可郡多可町,中区中村町２３番地,6791113
3140001075826,兵庫コフイン株式会社,兵庫県,多可郡多可町,中区西安田３２２番地の２,6791123
3140001075883,藤井酒造株式会社,兵庫県,多可郡多可町,加美区寺内５５２番地,6791211
3140001075909,細田綿業株式会社,兵庫県,多可郡多可町,加美区熊野部５２８番地の３,6791202
3140001075933,株式会社長谷川養蜂園,兵庫県,多可郡多可町,中区森本１７５番地,6791124
3140001075941,株式会社村上工作所,兵庫県,多可郡多可町,中区安楽田１８０番地の１,6791102
3140001077269,株式会社小林製作所,兵庫県,多可郡多可町,八千代区赤坂３７番地１,6770112
3140001077376,株式会社コーエイ,兵庫県,多可郡多可町,中区奥中９７０番地６５,6791107
3140001092474,株式会社箸荷営農組合,兵庫県,多可郡多可町,加美区箸荷８３５番地１,6791334
3140001096533,株式会社和合,兵庫県,多可郡多可町,中区中村町３７番地１,6791113
3140001098042,株式会社笹倉農産,兵庫県,多可郡多可町,加美区奥荒田４７３番地,6791215
3140001099726,株式会社大越,兵庫県,多可郡多可町,中区中村町３１６,6791113
3140001099825,株式会社クエイザー,兵庫県,多可郡多可町,中区鍛冶屋７４３,6791111
3140001101961,吉田産業建材販売株式会社,兵庫県,多可郡多可町,中区鍛冶屋４６８番地３,6791111
3140001112975,株式会社加美鳥,兵庫県,多可郡多可町,加美区山野部５５３番地,6791213
3140001125259,ファインビバレッジ株式会社,兵庫県,多可郡多可町,中区安楽田５０５番地４,6791102
3140001125564,吉井工務店株式会社,兵庫県,多可郡多可町,加美区山野部４０８番地３,6791213
3140001136652,株式会社永山商事,兵庫県,多可郡多可町,中区曽我井９０７−１９４,6791131
3140001137865,株式会社ＰＲＯＳＰＥＣＴ,兵庫県,多可郡多可町,八千代区中野間１０６２−１,6770121
3140001138649,株式会社ｔａｋｅｉｔ,兵庫県,多可郡多可町,中区鍛冶屋４２３番地６,6791111
3140001141446,株式会社ｅｎ,兵庫県,多可郡多可町,中区岸上１４番地１,6791114
4140001029319,株式会社ＹＳＳ　ＪＡＰＡＮ,兵庫県,多可郡多可町,中区中安田６２１番地,6791122
4140001075263,株式会社アイ．エス．ティ．加美,兵庫県,多可郡多可町,加美区大袋３４番地,6791332
4140001075271,アム株式会社,兵庫県,多可郡多可町,中区曽我井８８１番地,6791131
