法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010001141436,ＳＴＥＰ　ＧＡＯＭＥＩ株式会社,兵庫県,姫路市,夢前町菅生澗１５２１番地,6712134
1011601012786,株式会社藤朋,兵庫県,姫路市,網干区坂上４８８番地４−３０５号,6711223
1012401018809,株式会社メロウ,兵庫県,姫路市,紺屋町５０番地,6700924
1120001008178,株式会社東海屋,兵庫県,姫路市,白浜町字万代新開甲９１２番地の８,6728023
1120001128455,株式会社エスケーテクノ,兵庫県,姫路市,南条４３０番地,6700952
1120001138669,株式会社ＵＣカンパニー,兵庫県,姫路市,新在家中の町１７−１７,6700094
1120001138891,株式会社Ｎｅｔｒｉｐ,兵庫県,姫路市,飾磨区構４丁目５２番地１,6728071
1120001142753,株式会社レイワーク,兵庫県,姫路市,飯田１丁目１０９番地キャッスルコート飯田５０３,6700974
1120001165548,株式会社ルート関西,兵庫県,姫路市,飾磨区今在家１４３０番地１０,6728079
1120001178327,株式会社モクラボ,兵庫県,姫路市,安富町三森４２１番地３,6712411
1120001201658,株式会社ヒューマンフィールエフシー,兵庫県,姫路市,西二階町５６番地,6700901
1120001205535,開進個別スクール株式会社,兵庫県,姫路市,東山５２４番地,6728014
1120001213240,株式会社ＡＲＩＡ,兵庫県,姫路市,八代東光寺町１２番１０−３０３号,6700873
1120001243948,株式会社ハピネスゲート,兵庫県,姫路市,夢前町前之庄２３５−２,6712103
1120001247684,ミカド株式会社,兵庫県,姫路市,花田町一本松９３番地２,6710253
1120101035130,ＥＭＦジャパン株式会社,兵庫県,姫路市,網干区高田３８１番地,6711226
1120901027995,株式会社ＰＩＣ教育企画,兵庫県,姫路市,大塩町３８番地１,6710101
1130001046672,株式会社大一リアライズ,兵庫県,姫路市,太市中１０２番地,6712233
1140001029916,オーレック株式会社,兵庫県,姫路市,下手野１丁目２１１番地１,6700063
1140001037448,株式会社なると,兵庫県,姫路市,的形町的形２１５番２,6710111
1140001037679,株式会社エム・ティーテック,兵庫県,姫路市,広畑区正門通３丁目４番地,6711116
1140001038751,株式会社今酢屋,兵庫県,姫路市,北条口２丁目８５番地ポレスタ−姫路ザ・レジデンス４０７,6700935
1140001038958,株式会社エントランス,兵庫県,姫路市,飾磨区今在家３丁目１０５番地２,6728079
1140001039774,株式会社カナモト建設,兵庫県,姫路市,玉手１丁目７２番地,6700985
1140001040815,ウエヤク株式会社,兵庫県,姫路市,飾磨区恵美酒２３０番地永田第５ビル１Ｆ,6728057
1140001043900,株式会社五光興産,兵庫県,姫路市,飾西２２１番地１,6712216
1140001057446,アークハリマ株式会社,兵庫県,姫路市,花田町加納原田７７１番地の１,6710252
1140001057454,株式会社ＩＣＳ,兵庫県,姫路市,飾磨区野田町２２番地,6728040
1140001057470,愛地ガラス株式会社,兵庫県,姫路市,南条１丁目３４番地,6700952
1140001057495,青山実業株式会社,兵庫県,姫路市,夢前町護持２６９番地の１,6712136
1140001057504,株式会社アイワ工業,兵庫県,姫路市,広畑区長町２丁目１１４番地の１,6711125
1140001057512,赤井化学株式会社,兵庫県,姫路市,楠町１５５番地,6700826
1140001057561,株式会社アサシヲ,兵庫県,姫路市,夢前町置本３２７番地１６,6712122
1140001057578,株式会社旭加工,兵庫県,姫路市,岡田字城ノ元４９９番地６,6700982
1140001057586,株式会社旭測器,兵庫県,姫路市,飾西５１９番の１,6712216
1140001057594,アサヒ食品株式会社,兵庫県,姫路市,飯田４５６番地の３,6700974
1140001057628,株式会社阿二商店,兵庫県,姫路市,広畑区北河原町１２番地,6711111
1140001057644,阿比野建設株式会社,兵庫県,姫路市,広畑区正門通４丁目３番地３,6711116
1140001057652,天野機器株式会社,兵庫県,姫路市,白国１丁目２番１５号,6700808
1140001057660,歩産業株式会社,兵庫県,姫路市,新在家１丁目１０番３号,6700095
1140001057669,株式会社アルコ・サンレオ,兵庫県,姫路市,御国野町深志野９５０番地,6710231
1140001057677,株式会社アルファ工房,兵庫県,姫路市,広畑区西夢前台５丁目２２５番地,6711103
1140001057685,有馬建設株式会社,兵庫県,姫路市,阿保乙４１番地３,6700944
1140001057693,五百城ニュートリイ株式会社,兵庫県,姫路市,亀山２丁目１８３番地,6700973
1140001057702,株式会社飯塚運動具店,兵庫県,姫路市,広畑区東新町１丁目３４番地,6711121
