法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001038925,株式会社長田一宮,兵庫県,宍粟市,一宮町横山３８９番地の１,6714102
1140001038941,イトーオフィスサービス株式会社,兵庫県,宍粟市,山崎町中広瀬１１７番地１２,6712574
1140001038974,株式会社梶本商店,兵庫県,宍粟市,山崎町中比地１２７番地の６,6712557
1140001038990,株式会社共進設備工業,兵庫県,宍粟市,山崎町御名２２９番地,6712554
1140001038999,小寺林業株式会社,兵庫県,宍粟市,山崎町段１５５番地の２,6712552
1140001039007,五興開発株式会社,兵庫県,宍粟市,一宮町安積４１６番地の７,6714131
1140001039015,山陽設備株式会社,兵庫県,宍粟市,山崎町庄能１８５番地の５,6712572
1140001039023,株式会社サンヨウビルド,兵庫県,宍粟市,山崎町千本屋４８番地の１,6712544
1140001039031,株式会社七福自動車,兵庫県,宍粟市,山崎町三津４５３番地の２,6712516
1140001039048,株式会社角江組,兵庫県,宍粟市,山崎町野２２２番地の２,6712543
1140001039056,西播緑化土木株式会社,兵庫県,宍粟市,一宮町安黒５０４番地の１,6714135
1140001039064,株式会社谷笹化成工業所,兵庫県,宍粟市,山崎町東下野１３７番地の１,6712504
1140001039080,株式会社鉄屋酒店,兵庫県,宍粟市,山崎町山崎３９２番地,6712577
1140001039089,株式会社トリコシ,兵庫県,宍粟市,山崎町山崎２５１番地,6712577
1140001039097,中村鉱油株式会社,兵庫県,宍粟市,一宮町伊和６０６番地,6714134
1140001039106,株式会社西塚測量設計事務所,兵庫県,宍粟市,山崎町鹿沢２３７番地の１,6712576
1140001039114,播洋工業株式会社,兵庫県,宍粟市,山崎町須賀澤２８４番地の２,6712500
1140001039122,株式会社バイオテツク・関西,兵庫県,宍粟市,山崎町加生２６９番地の２,6712570
1140001039130,ハリマ日高株式会社,兵庫県,宍粟市,山崎町岸田１０番地２,6712527
1140001039139,株式会社平野興業,兵庫県,宍粟市,山崎町下宇原７１番地,6712536
1140001039147,株式会社福嶋組,兵庫県,宍粟市,山崎町宇原２２９番地の１,6712535
1140001039155,株式会社プラントリイ,兵庫県,宍粟市,千種町黒土８０番地,6713202
1140001039163,藤野基礎工業株式会社,兵庫県,宍粟市,山崎町金谷４９５番地,6712555
1140001039171,株式会社前川建設,兵庫県,宍粟市,一宮町安積１２２６番地,6714131
1140001039188,三辻建設株式会社,兵庫県,宍粟市,一宮町安積９４３番地,6714131
1140001039196,株式会社南組,兵庫県,宍粟市,一宮町嶋田２４７番１,6714136
1140001039238,よい温泉観光株式会社,兵庫県,宍粟市,山崎町与位字南山６６番地３,6712512
1140001039378,株式会社華祥,兵庫県,宍粟市,山崎町船元７９番地の１,6712542
1140001040344,ティージェイトレーディング株式会社,兵庫県,宍粟市,山崎町元山崎５４番地,6712578
1140001040352,株式会社介護ステーション恋,兵庫県,宍粟市,山崎町下町８８１番地１,6712519
1140001040369,株式会社マルキ・ホーム,兵庫県,宍粟市,一宮町閏賀３７４,6714137
1140001040435,株式会社日本プラ加,兵庫県,宍粟市,山崎町野々上４６番地２,6712528
1140001040476,相互物流株式会社,兵庫県,宍粟市,山崎町中比地１６０番地,6712557
1140001040534,株式会社ツールトハート,兵庫県,宍粟市,山崎町山崎字山田町２００番６,6712577
1140001040617,株式会社ジュウケン,兵庫県,宍粟市,一宮町東河内９８３番地２,6714141
1140001040864,クロダ化学工業株式会社,兵庫県,宍粟市,山崎町金谷５９０番地,6712555
1140001042349,株式会社ごこう,兵庫県,宍粟市,山崎町山崎４３７番地,6712577
1140001047273,株式会社エバーライフ企画,兵庫県,宍粟市,山崎町山崎２００番５,6712577
1140001057289,さくら警備保障株式会社,兵庫県,宍粟市,山崎町千本屋２３１番地,6712544
1140001065291,株式会社Ｔ．Ｓ．Ｂ．ＪＡＰＡＮ,兵庫県,宍粟市,山崎町上ノ１６１８番地１,6712501
1140001077824,株式会社マルテツ仮設,兵庫県,宍粟市,山崎町青木５０１番地４,6712564
1140001088210,株式会社妹山農場,兵庫県,宍粟市,一宮町百千家満３４３番地４,6714106
1140001091461,株式会社ハッピー,兵庫県,宍粟市,山崎町鹿沢７９番地８,6712576
1140001098432,アグロエコリユースファクトリー株式会社,兵庫県,宍粟市,山崎町今宿１２９番地の１,6712573
1140001100239,株式会社吉組,兵庫県,宍粟市,千種町岩野邊１８９８番地,6712500
1140001103142,エビスガラス株式会社,兵庫県,宍粟市,山崎町五十波２２８番８号,6712515
1140001104388,インフォレスト株式会社,兵庫県,宍粟市,山崎町三谷３７番地１,6712524
1140001105312,株式会社平成工芸,兵庫県,宍粟市,波賀町飯見３３５番地,6714215
1140001105849,株式会社あゆみ,兵庫県,宍粟市,山崎町山田２０８番地１,6712575
1140001106327,翔真林業株式会社,兵庫県,宍粟市,波賀町有賀８３番地１,6714231
