法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010001113402,すみれ保険株式会社,兵庫県,宝塚市,逆瀬川１丁目１３番１−７０１号,6650035
1010701021400,株式会社ＳＣアソシエイツ,兵庫県,宝塚市,湯本町９番５−７０８号,6650003
1011001104300,利和株式会社,兵庫県,宝塚市,湯本町３−１１−５１０,6650003
1020001017619,新明和ウエステック株式会社,兵庫県,宝塚市,新明和町１番１号,6650052
1120001005563,株式会社エイ・アイ・エム,兵庫県,宝塚市,平井４丁目２０番１７号,6650816
1120001028878,甲南精工株式会社,兵庫県,宝塚市,栄町１丁目１６番１５号,6650845
1120001052622,株式会社ＮＩＫＫＯ,兵庫県,宝塚市,口谷東１丁目５番１号リバティパレス５０１,6650812
1120001061607,大西不動産商事株式会社,兵庫県,宝塚市,仁川月見ガ丘３番４３号,6650067
1120001120577,株式会社アーテックジャパン,兵庫県,宝塚市,仁川北２丁目５−１−９０５号,6650061
1120001127283,株式会社ザ・グロース,兵庫県,宝塚市,中山桜台２丁目３番２号,6650877
1120001132944,株式会社ボトレー,兵庫県,宝塚市,山手台東５丁目２６番１号,6650887
1120001139931,株式会社ドリーム,兵庫県,宝塚市,仁川高丸３丁目１８番５号,6650063
1120001140492,カーギヤ工業株式会社,兵庫県,宝塚市,小浜２丁目１番２８号,6650827
1120001152967,株式会社輝陽,兵庫県,宝塚市,山手台東５丁目２６番１７号,6650887
1120001161976,株式会社山陰道,兵庫県,宝塚市,御殿山３丁目１９番１５号,6650841
1120001170218,株式会社シンクロニシティ,兵庫県,宝塚市,湯本町２番７号２０２,6650003
1120001173690,株式会社優能,兵庫県,宝塚市,仁川高丸１丁目１７番１５号,6650063
1120001177650,株式会社スパジオクリエイション,兵庫県,宝塚市,山本台３丁目１６番１号クレール宝塚ベルエール７１１号,6650885
1120001225467,ｐａｎｙａ芦屋ＦＣ株式会社,兵庫県,宝塚市,高司１丁目５番８−１０２号,6650051
1120001225946,株式会社ＡＥＭ,兵庫県,宝塚市,雲雀丘１丁目１１番２号,6650805
1120001231498,株式会社エスプレッセ,兵庫県,宝塚市,星の荘２７−１９バラード４４−２階,6650866
1120101035007,株式会社スマイシーギフト,兵庫県,宝塚市,すみれガ丘３丁目１番１号ラ・ビスタ宝塚ウエストウイングオクシア３０９号,6650847
1120101054873,株式会社ステラカデンテワン,兵庫県,宝塚市,中筋山手４丁目３番２号,6650875
1120101058404,ベスト株式会社,兵庫県,宝塚市,塔の町３番１０号,6650073
1120901007915,日本ホームクリエイト株式会社,兵庫県,宝塚市,雲雀丘山手１丁目１番７−５０２号,6650804
1120901019118,関西リサーチサービス株式会社,兵庫県,宝塚市,小林５丁目３番３−３０５号,6650034
1120901022476,株式会社花守花の座,兵庫県,宝塚市,中筋９丁目１番１６号,6650874
1120901027368,株式会社めん麺亭,兵庫県,宝塚市,高司５丁目１番５２号,6650051
1120901029554,株式会社オフィス３０８,兵庫県,宝塚市,玉瀬字大岩谷１番地の５９,6691231
1120901036039,株式会社ＩＴＭ,兵庫県,宝塚市,長尾台１丁目２番１号,6650807
1120901037029,株式会社スターライン,兵庫県,宝塚市,すみれガ丘３丁目５番１−１１３号,6650847
1120901047886,株式会社ブラックプール,兵庫県,宝塚市,安倉中５丁目１０番７号,6650822
1120902005397,株式会社ライフシード,兵庫県,宝塚市,栄町１丁目６番２号,6650845
1130001059245,株式会社ステイザファクトリー,兵庫県,宝塚市,御殿山２丁目１７番７号,6650841
1140001001197,株式会社オータニ,兵庫県,宝塚市,伊孑志４丁目４２番地７,6650033
1140001002303,株式会社浜仲,兵庫県,宝塚市,小浜２丁目１−３２,6650827
1140001011386,矢栄興産株式会社,兵庫県,宝塚市,中山寺２丁目６番６号,6650861
1140001018092,株式会社神戸グランド,兵庫県,宝塚市,湯本町１番４６号宝南ショップス北館１階,6650003
1140001022672,株式会社北斗Ｔｅｃｈｎｏｓ,兵庫県,宝塚市,湯本町１０番４５−４０２号,6650003
1140001029362,株式会社ジョイックス,兵庫県,宝塚市,雲雀丘２丁目１番３−２０１号室,6650805
1140001034255,株式会社イーリス,兵庫県,宝塚市,末成町２９番２号,6650044
1140001038009,株式会社福禄寿,兵庫県,宝塚市,武庫山１丁目１番３６号,6650005
1140001047604,イーエス・ハーネス株式会社,兵庫県,宝塚市,中州１丁目９番２１号,6650021
1140001050896,株式会社ビッグアップルジャパン,兵庫県,宝塚市,逆瀬台５丁目２１番２号,6650024
1140001069128,親和商事株式会社,兵庫県,宝塚市,安倉中２丁目１０番１５号,6650822
1140001072800,株式会社ドレス,兵庫県,宝塚市,中野町８番１号,6650056
1140001074268,株式会社ＦＡＴＥ,兵庫県,宝塚市,山本野里１丁目１番５１号,6650814
1140001074730,アイセッテマーレ株式会社,兵庫県,宝塚市,鹿塩１丁目３２２−１ロンシャン仁川２０１,6650054
1140001077931,株式会社アクト,兵庫県,宝塚市,すみれガ丘３丁目２番２−５０２号,6650847
1140001079300,株式会社クリエート不動産,兵庫県,宝塚市,伊孑志４丁目２番６８号,6650033
1140001079317,株式会社向陽フーズ,兵庫県,宝塚市,南口２丁目１３番３７号,6650011
1140001080695,株式会社中内土地建物,兵庫県,宝塚市,玉瀬字口添谷２７−１,6691231
