法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010001180252,ＩｎｆｉｎｉｔｙＣｒｅｓｔ株式会社,兵庫県,小野市,広渡町８１８番地,6751365
1120901015851,株式会社キリンドウベスト,兵庫県,小野市,中町４１３番地の５,6751332
1140001045789,株式会社さくらソーイング,兵庫県,小野市,神明町２７３番地の４,6751331
1140001057297,株式会社Ｔ．Ｓ．Ｓ．Ｐ．,兵庫県,小野市,本町６番地の１１,6751372
1140001076553,井上石油タイヤー株式会社,兵庫県,小野市,神明町１８２番地の１,6751331
1140001076561,一心産業株式会社,兵庫県,小野市,浄谷町２０９７番地の９９,6751317
1140001076578,株式会社アンビックス,兵庫県,小野市,中谷町１４１３番地,6751304
1140001076594,株式会社エスティーエイチケー,兵庫県,小野市,下来住町１２９３番地,6751344
1140001076603,大島木工株式会社,兵庫県,小野市,大島町７７１番地の３,6751334
1140001076611,沖中産業株式会社,兵庫県,小野市,菅田町７３０番地の１６８,6751307
1140001076628,株式会社小野不動産,兵庫県,小野市,本町６０１番地の２,6751372
1140001076636,小野マルタマフーズ株式会社,兵庫県,小野市,敷地町１４１２番地の１,6751367
1140001076644,株式会社小野カーセンター,兵庫県,小野市,黒川町９２４番地の２,6751371
1140001076652,関西興産株式会社,兵庫県,小野市,上本町２０１番地の８,6751379
1140001076669,金星園芸工業株式会社,兵庫県,小野市,大島町７４３番地,6751334
1140001076685,グレートオート貿易株式会社,兵庫県,小野市,粟生町１５０６番地の１１,6751358
1140001076693,株式会社小西建築設計事務所,兵庫県,小野市,上本町１３５番地の１０,6751379
1140001076702,山陽鋼材株式会社,兵庫県,小野市,樫山町１３４５番地,6751325
1140001076710,三幸商事株式会社,兵庫県,小野市,片山町１０７６番地の１,6751335
1140001076727,ジーエス株式会社,兵庫県,小野市,本町１０番地,6751372
1140001076743,善和建設株式会社,兵庫県,小野市,敷地町１６４１番地２１,6751367
1140001076768,株式会社タナカマイスター,兵庫県,小野市,大島町２５０番地,6751334
1140001076792,トーコマ株式会社,兵庫県,小野市,敷地町１４３８番地,6751367
1140001076801,中井工業株式会社,兵庫県,小野市,中町４０３番地の５,6751332
1140001076842,株式会社播磨エンタープライズ,兵庫県,小野市,粟生町３５４１番地の２,6751358
1140001076850,広野開発株式会社,兵庫県,小野市,樫山町１４８８番地の１,6751325
1140001076859,株式会社平安美術,兵庫県,小野市,上本町２５２番地の５,6751379
1140001076883,株式会社フレアーゴルフ,兵庫県,小野市,中谷町１４１３番地,6751304
1140001076891,松永紙器印刷株式会社,兵庫県,小野市,王子町７７８番地,6751378
1140001076900,株式会社増富,兵庫県,小野市,本町３３番地の１０,6751372
1140001076909,株式会社三元,兵庫県,小野市,王子町字辻の内６０１の１番地,6751378
1140001076917,株式会社ヤマソロ,兵庫県,小野市,下来住町８８７番地,6751344
1140001076925,株式会社山名鉄鋼,兵庫県,小野市,王子町６９６番地の１,6751378
1140001076933,株式会社横山哲也商店,兵庫県,小野市,下来住町１２１４番地,6751344
1140001076941,レザーソー工業株式会社,兵庫県,小野市,樫山町１３２３番地の２９,6751325
1140001076990,株式会社きよたにや,兵庫県,小野市,本町２８７番地の４,6751372
1140001077031,株式会社村上石材,兵庫県,小野市,三和町６３０番地,6751357
1140001077048,株式会社セプト,兵庫県,小野市,本町５２番地の６,6751372
1140001077080,株式会社拉麺王,兵庫県,小野市,王子町１３番地,6751378
1140001077106,株式会社兵庫テクノカンパニー,兵庫県,小野市,粟生町７３４番地,6751358
1140001077122,株式会社フジモト,兵庫県,小野市,二葉町８０番地の１３５,6751328
1140001077130,株式会社山高産業,兵庫県,小野市,万勝寺町８５３番地４,6751311
1140001077147,株式会社ジェルサービス,兵庫県,小野市,中町３８９番地の１,6751332
1140001077221,株式会社三宅計算センター,兵庫県,小野市,中町４３４番地の１,6751332
1140001077320,株式会社みのり,兵庫県,小野市,大島町９７４番地の１２,6751334
1140001077337,エフシー株式会社,兵庫県,小野市,山田町５７５番地,6751321
1140001077353,株式会社まごころサービス社,兵庫県,小野市,垂井町１０３８番地,6751333
1140001077378,株式会社トライ,兵庫県,小野市,中島町１９４番地,6751366
1140001077394,藤原組株式会社,兵庫県,小野市,片山町１０３４番地の６３,6751335
1140001077411,株式会社タカダ,兵庫県,小野市,北丘町３９３番地の３,6751318
1140001077444,株式会社カイヨウオート,兵庫県,小野市,菅田町７３９番１８０,6751307
1140001077460,株式会社ワークモード,兵庫県,小野市,中町３２３番地の２、１Ｆ,6751332
1140001077519,株式会社Ｙ’３ＲＫ,兵庫県,小野市,垂井町６４４番地１,6751333
1140001077543,富士加飾株式会社,兵庫県,小野市,万勝寺町３５８番２５,6751311
1140001077551,株式会社グランあさひ,兵庫県,小野市,中町２６５番地,6751332
1140001087360,株式会社イシダ,兵庫県,小野市,福住町３７８番地の１,6751309
1140001088029,株式会社Ｆマネジメントオフィス,兵庫県,小野市,王子町８９４番地の１,6751378
1140001089316,ウェルネスステージ株式会社,兵庫県,小野市,本町１丁目７０番地２２号,6751374
1140001091627,株式会社わさび,兵庫県,小野市,広渡町６５２番地,6751365
1140001093185,株式会社マルキョー,兵庫県,小野市,万勝寺町７６８−１１,6751311
1140001096568,株式会社ＹＳ産商,兵庫県,小野市,来住町８６３番地の６９,6751343
1140001096972,浄谷観光農園株式会社,兵庫県,小野市,浄谷町字北谷３３３３−１,6751317
1140001098713,株式会社アースＪ,兵庫県,小野市,本町６番地の１８,6751372
1140001099934,株式会社ＡＣＣＥＳＳ,兵庫県,小野市,日吉町２６７番地,6751315
1140001102706,株式会社掘井造園,兵庫県,小野市,河合西町２０１番地の１,6751354
1140001108091,株式会社優和,兵庫県,小野市,万勝寺町８３３番地４,6751311
1140001108488,福岡ＣＲＳ株式会社,兵庫県,小野市,大島町１７５１,6751334
1140001109016,株式会社ヤマウシ,兵庫県,小野市,粟生町１０６９番地の１,6751358
1140001109296,水池興産株式会社,兵庫県,小野市,黒川町８７７番地の１,6751371
1140001111178,奥仁多工業株式会社,兵庫県,小野市,上本町１６０番地の４,6751379
1140001115344,高松機工株式会社,兵庫県,小野市,住永町１２７番地の３,6751368
1140001115732,株式会社アンギラ,兵庫県,小野市,大開町１４５２番地の７７,6751313
1140001116029,株式会社エムワンプラス,兵庫県,小野市,住永町３７９,6751368
1140001117852,株式会社バスクリエイツ,兵庫県,小野市,小田町１９１１番地の４９,6751301
1140001122621,株式会社長谷川土木,兵庫県,小野市,久保木町４７０番地の４,6751362
1140001130368,株式会社山宏,兵庫県,小野市,市場町４３２番地,6751327
1140001130392,株式会社ＬＩＡＩＳＯＮ,兵庫県,小野市,天神町９４６番地の２,6751316
1140001130797,富恵商事株式会社,兵庫県,小野市,樫山町１４５６番地の３０８,6751325
1140001131531,株式会社ＫＯＮＩＫＥＮ,兵庫県,小野市,上本町１３５番地の１０,6751379
1140001139038,株式会社サンシャインホールディングス,兵庫県,小野市,中町２４８番地の２,6751332
1140001141068,株式会社斉輝創建,兵庫県,小野市,育ケ丘町１４７５番地の５６５,6751324
1140001141159,株式会社ＣＲＥＯ,兵庫県,小野市,樫山町４０５番地の１,6751325
1140002062833,多鹿植物農園株式会社,兵庫県,小野市,天神町７６６番地,6751316
1290001069113,ＬＥＥＭ株式会社,兵庫県,小野市,万勝寺町字鳥井山４２８番６８,6751311
1470001016567,福昌産業株式会社,兵庫県,小野市,復井町１７９６番地,6751352
2120101001049,株式会社オオモリ機工,兵庫県,小野市,喜多町字大土井１１０番地の３,6751360
2120101049807,土師産業株式会社,兵庫県,小野市,下来住町６８８番地の３,6751344
2140001027530,ｃｏｍｃｏｎ株式会社,兵庫県,小野市,神明町１３４番地１,6751331
2140001046142,株式会社新栄,兵庫県,小野市,大島町字祢宣７０２番地,6751334
2140001076552,株式会社井上哲次商店,兵庫県,小野市,上本町３３番地の２,6751379
2140001076560,山陽建材株式会社,兵庫県,小野市,粟生町３５４１番地の２,6751358
2140001076569,青山木材株式会社,兵庫県,小野市,復井町７８６番地の８,6751352
2140001076577,株式会社アクシスマテリア,兵庫県,小野市,匠台１番地,6751322
2140001076585,池沢通信建設株式会社,兵庫県,小野市,河合中町８８０番地,6751353
2140001076593,株式会社エンタープライズ開発,兵庫県,小野市,中町３２０番地の６,6751332
2140001076602,株式会社岡田組,兵庫県,小野市,市場町１２０２番地,6751327
2140001076610,岡田水道株式会社,兵庫県,小野市,本町１丁目７０番地の１７,6751374
2140001076619,小野精機株式会社,兵庫県,小野市,粟生町１２９７番地,6751358
2140001076627,小野観光開発株式会社,兵庫県,小野市,来住町１２２５番地,6751343
2140001076635,小野旅行センター株式会社,兵庫県,小野市,王子町８００番地の１,6751378
2140001076643,株式会社小野観光,兵庫県,小野市,王子町字辻の内５１２番地の２,6751378
2140001076651,株式会社カワイ商会,兵庫県,小野市,上本町９番地の６,6751379
2140001076668,キンボシ株式会社,兵庫県,小野市,本町１０番地,6751372
2140001076676,株式会社キンキアサヒメッシュ,兵庫県,小野市,菅田町７３０番１８０,6751307
2140001076692,こばやし産業株式会社,兵庫県,小野市,復井町１２７７番地,6751352
2140001076726,株式会社秀峰,兵庫県,小野市,新部町１１２１番地,6751355
2140001076742,株式会社清進建設,兵庫県,小野市,粟生町１５０６番地の１７６,6751358
2140001076750,株式会社ダイワ製作所,兵庫県,小野市,市場町１６６番地の１,6751327
2140001076759,株式会社大平,兵庫県,小野市,上本町２６３番地の２,6751379
2140001076783,富田茂産業株式会社,兵庫県,小野市,王子町２１８番地,6751378
2140001076800,永井紙器工業株式会社,兵庫県,小野市,市場町５６７番地,6751327
2140001076809,株式会社中尾建設,兵庫県,小野市,敷地町１６１８番地の１,6751367
2140001076817,株式会社マルシゲ,兵庫県,小野市,中町３３６番地の７,6751332
2140001076825,株式会社橋本モータース,兵庫県,小野市,王子町８８４番地の１,6751378
2140001076841,株式会社長谷川清商店,兵庫県,小野市,復井町２６５番地の２,6751352
2140001076858,株式会社兵庫みらいサービス,兵庫県,小野市,上本町１９５番地の６,6751379
2140001076866,株式会社藤原刃物製作所,兵庫県,小野市,片山町１１８３番地,6751335
2140001076874,株式会社富士屋,兵庫県,小野市,復井町８８３番地の２,6751352
2140001076882,株式会社藤原辰次商店,兵庫県,小野市,菅田町７２番地の１,6751307
2140001076890,株式会社丸正,兵庫県,小野市,本町３４７番地,6751372
2140001076899,株式会社マルシユー刃物製作所,兵庫県,小野市,長尾町８２２番地の１１２,6751314
2140001076908,美鈴ハサミ株式会社,兵庫県,小野市,黒川町１１８番地,6751371
2140001076940,株式会社理健,兵庫県,小野市,黒川町５８番地の２,6751371
2140001077022,近藤興産株式会社,兵庫県,小野市,市場町３６２番地,6751327
2140001077063,株式会社レモンリーフ,兵庫県,小野市,昭和町４５８番地の３０４,6751359
2140001077096,株式会社お花屋さんさくら,兵庫県,小野市,本町６６４番地の３,6751372
2140001077113,株式会社アミモト建装,兵庫県,小野市,市場町１１４７番地の１,6751327
2140001077154,株式会社北野テック,兵庫県,小野市,来住町１０３８番地,6751343
2140001077195,栄昌貿易株式会社,兵庫県,小野市,日吉町５７０番地の６４,6751315
2140001077237,株式会社Ｎｅｏ　Ｗｏｒｌｄ,兵庫県,小野市,西本町５７４番地の５８,6751375
