法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010001150049,株式会社ＳＩＰ,兵庫県,尼崎市,武庫之荘３丁目２１番１６号,6610035
1010001194649,株式会社ダウンタウン,兵庫県,尼崎市,東園田町３丁目３８−９,6610953
1010001229165,株式会社ピースオート,兵庫県,尼崎市,武庫之荘８丁目２７番１４号,6610035
1010401053512,ダイセルバリューコーティング株式会社,兵庫県,尼崎市,神崎町１２番１号,6610964
1010401095991,株式会社品川パーツ,兵庫県,尼崎市,杭瀬南新町３丁目１番７号,6600822
1010401153881,株式会社吉川ビル,兵庫県,尼崎市,南武庫之荘８丁目１７番１８号３０３号室,6610033
1010701024626,株式会社ライチ,兵庫県,尼崎市,南塚口町７丁目１５番４号,6610012
1011001094161,株式会社スシ・プロ,兵庫県,尼崎市,潮江１丁目２番６号,6610976
1011101089185,株式会社Ｎｅｘｔ,兵庫県,尼崎市,七松町１丁目１番１０号,6600052
1021001032038,まるこう運輸株式会社,兵庫県,尼崎市,元浜町２丁目７番地の２,6600085
1120001046665,株式会社Ｕ・コムテック,兵庫県,尼崎市,東難波町３丁目２１−２８,6600892
1120001056086,新光電機株式会社,兵庫県,尼崎市,次屋２丁目１１番１号,6610965
1120001063339,株式会社テックジャム,兵庫県,尼崎市,南清水６番４号,6610985
1120001063669,株式会社紅梅荘,兵庫県,尼崎市,南武庫之荘３丁目２１番１０号,6610033
1120001085886,株式会社ア・テール・テテ,兵庫県,尼崎市,塚口町３丁目２５−１８−２０３,6610002
1120001092404,エスエムエスディーゼルスペアーズジャパン株式会社,兵庫県,尼崎市,武庫之荘７丁目１番２３号,6610035
1120001095695,エスイー工業株式会社,兵庫県,尼崎市,三反田町３丁目６番１０号,6610024
1120001100281,株式会社マトリス,兵庫県,尼崎市,武庫之荘西２丁目４９番１６−１０５号,6610034
1120001104027,ワイエスフィルタージャパン株式会社,兵庫県,尼崎市,尾浜町１丁目１３番２２号,6610022
1120001107145,株式会社ＨＡＬテック大阪,兵庫県,尼崎市,崇徳院３丁目８番地,6600071
1120001111709,株式会社ＴＢシステム,兵庫県,尼崎市,戸ノ内町２丁目１番４号,6610961
1120001112293,株式会社セイクリード,兵庫県,尼崎市,武庫之荘２丁目９番１−４０３号,6610035
1120001116195,株式会社エコーコーポレーション,兵庫県,尼崎市,戸ノ内町３丁目１５番,6610961
1120001118852,株式会社ブレーン,兵庫県,尼崎市,南塚口町３丁目１５番２３−１０２号,6610012
1120001122318,株式会社ヴァリュー・クリエーション,兵庫県,尼崎市,浜田町４丁目２６番地,6600062
1120001125361,Ｂｉｏｃｏｓｍ株式会社,兵庫県,尼崎市,道意町７丁目１番３号,6600083
1120001126442,株式会社ハウス・ナビ,兵庫県,尼崎市,若王寺３丁目３０番２４号,6610974
1120001126896,曽根不動産株式会社,兵庫県,尼崎市,建家町６０番地の１,6600871
1120001134362,イワタニガスエンジニアリング株式会社,兵庫県,尼崎市,大高洲町１０番地,6600842
1120001140261,株式会社スーパーコンセプト,兵庫県,尼崎市,東園田町１丁目７４番地の２,6610953
