法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010001156665,株式会社グローリアスフューチャー,兵庫県,川西市,東畦野５丁目８番１８号,6660117
1040001088138,株式会社Ｗ＆Ｂ,兵庫県,川西市,東畦野３丁目２０番３１号ハイツＦ−１、１０１号,6660117
1120001107764,動画総研株式会社,兵庫県,川西市,鼓滝二丁目１３番４８号,6660000
1120001112285,関西綜合開発株式会社,兵庫県,川西市,小戸３丁目１４番１４−１３号,6660014
1120001118126,株式会社ティーキューブ,兵庫県,川西市,美山台１丁目２番地の３５,6660151
1120001121823,日本エステム株式会社,兵庫県,川西市,けやき坂３丁目４９番地の６,6660145
1120001131062,共生地所株式会社,兵庫県,川西市,緑台７丁目１番地の５６,6660129
1120001140575,株式会社Ｋｉｎｄ・Ｒｈｙｍｅ,兵庫県,川西市,丸山台３丁目１番地の１８,6660152
1120001146804,株式会社ジクス・メディカル,兵庫県,川西市,栄根２丁目６番３２号,6660021
1120001173757,ＲＥグローバルマネジメント株式会社,兵庫県,川西市,鴬が丘１３番地の１２,6660007
1120001178137,株式会社コ・クリエーション,兵庫県,川西市,鼓が滝１丁目２４番４４号,6660123
1120002068279,株式会社エムテクノ,兵庫県,川西市,霞ケ丘２丁目５番１９−１号,6660031
1120901014481,愛石株式会社,兵庫県,川西市,火打２丁目１６番２３号,6660017
1120901014589,株式会社はにおか建築工房,兵庫県,川西市,東久代２丁目２番２０号,6660023
1120901024423,株式会社大晃製作所,兵庫県,川西市,久代１丁目２番１５号,6660024
1120901025628,一新株式会社,兵庫県,川西市,長尾町１３番２６号,6660113
1120901029901,株式会社ＣＲＡＶＥ,兵庫県,川西市,萩原１丁目１１番２９号,6660004
1120901031213,株式会社アクア,兵庫県,川西市,清和台西２丁目１番地の７３,6660143
1120901037202,創輝テック株式会社,兵庫県,川西市,大和東３丁目１３番地の１６,6660111
1120901039784,北摂住宅株式会社,兵庫県,川西市,緑台２丁目１番地の７４,6660129
1120901049668,株式会社ＡＵＬＡ,兵庫県,川西市,栄町２１−２４,6660033
1140001055350,株式会社ＴＫ,兵庫県,川西市,加茂６丁目８５番地の７,6660025
1140001072569,株式会社Ｕｎｉｔｙ,兵庫県,川西市,久代１丁目１番１８号,6660024
1140001078772,株式会社ハーディ,兵庫県,川西市,加茂６丁目１０１番地の１,6660025
1140001079127,株式会社アイファクトリー,兵庫県,川西市,久代１丁目２７番４号,6660024
1140001079135,朝日ハイム株式会社,兵庫県,川西市,鼓が滝１丁目２８番１号,6660123
1140001079143,株式会社アリス,兵庫県,川西市,萩原台西１丁目１２番地,6660006
1140001079151,株式会社石栄製作所,兵庫県,川西市,小花２丁目２２番１号,6660015
1140001079168,上中工業株式会社,兵庫県,川西市,花屋敷１丁目１０番１号,6660035
1140001079176,株式会社エーエス工業,兵庫県,川西市,清和台東１丁目５番地の４７,6660142
1140001079201,株式会社大智鍛造所,兵庫県,川西市,加茂６丁目４５番地の１,6660025
1140001079218,株式会社奥村鐵工所,兵庫県,川西市,久代２丁目２番６号,6660024
1140001079242,兼古興商株式会社,兵庫県,川西市,大和東３丁目３番３,6660111
1140001079250,株式会社のじぎく,兵庫県,川西市,栄町１０番１７号,6660033
1140001079259,株式会社川西スズキ,兵庫県,川西市,栄根２丁目１３番４号,6660021
1140001079267,川西能勢口振興開発株式会社,兵庫県,川西市,小戸１丁目５番２号,6660014
