法人番号,法人名,都道府県,市区町村,番地,郵便番号
1120001030867,株式会社ジャパンクリエイト,兵庫県,川辺郡猪名川町,伏見台５丁目５番地６３,6660262
1120901021560,ファーストシルクトレーディング株式会社,兵庫県,川辺郡猪名川町,松尾台４丁目４番地１６,6660261
1140001078062,株式会社イノテック,兵庫県,川辺郡猪名川町,紫合字神子ヶ谷１１番地１,6660233
1140001079044,ヤマサワ興産株式会社,兵庫県,川辺郡猪名川町,若葉１丁目３３番地１０,6660251
1140001079762,阿部組工務株式会社,兵庫県,川辺郡猪名川町,清水字中久保６番地,6660214
1140001079770,伊原産業株式会社,兵庫県,川辺郡猪名川町,広根字野尻２４番地の３,6660252
1140001079779,株式会社関西教育技術研究所,兵庫県,川辺郡猪名川町,伏見台１丁目１番地の３,6660262
1140001079787,株式会社小東組,兵庫県,川辺郡猪名川町,北田原字一本松８番地の５,6660236
1140001079804,株式会社ナック,兵庫県,川辺郡猪名川町,清水字前谷５１番地の２,6660214
1140001079812,株式会社平井商店,兵庫県,川辺郡猪名川町,笹尾字箱石３番地の２,6660227
1140001080464,株式会社サントライン,兵庫県,川辺郡猪名川町,白金２丁目８４番地９,6660257
1140001080539,株式会社リー・フレッシュ,兵庫県,川辺郡猪名川町,伏見台５丁目３番地５２,6660262
1140001080803,株式会社猪名川水道サービス,兵庫県,川辺郡猪名川町,紫合字岸垣内５３１番地の１,6660233
1140001080877,野口コンサルティング株式会社,兵庫県,川辺郡猪名川町,伏見台２丁目３番地５６,6660262
1140001083120,株式会社ＺＥＲＯ・１,兵庫県,川辺郡猪名川町,西畑字大野６番地の２,6660203
1140001100024,株式会社かもおん,兵庫県,川辺郡猪名川町,紫合字街東６５５番地,6660233
1140001101179,株式会社ＬＵＣＫＹ　ＰＥＮＮＹ,兵庫県,川辺郡猪名川町,杉生字新平井２,6660201
1140001102870,株式会社Ｌｏｏｐ,兵庫県,川辺郡猪名川町,柏梨田字ハザマ１８８番地の１１,6660243
1140001104181,株式会社ＫＴコンサルティング,兵庫県,川辺郡猪名川町,白金２丁目３番地５６,6660257
1140001105353,株式会社エトフ,兵庫県,川辺郡猪名川町,柏梨田字前ヶ谷１７２番地の１,6660243
1140001108835,アートグラニット株式会社,兵庫県,川辺郡猪名川町,つつじが丘２丁目３２番地１１,6660245
1140001114536,株式会社ＦＩＲＳＴ,兵庫県,川辺郡猪名川町,つつじが丘５丁目３２番地２,6660245
1140001118149,株式会社西宮アソシエイツ,兵庫県,川辺郡猪名川町,松尾台４丁目３番地６,6660261
1140001122670,株式会社堂阪電気商会,兵庫県,川辺郡猪名川町,原字湯屋向２６２−１,6660242
1140001142487,株式会社ヒッポーハウス,兵庫県,川辺郡猪名川町,白金３丁目２９番地２,6660257
2120001173178,株式会社ＴＲＯ,兵庫県,川辺郡猪名川町,つつじが丘５丁目３４−２,6660245
2120901033084,株式会社ウエダ工業,兵庫県,川辺郡猪名川町,清水字長田２０番地,6660214
2140001079274,株式会社ハイフレーム,兵庫県,川辺郡猪名川町,伏見台１丁目１番地の３,6660262
2140001079761,株式会社明浜,兵庫県,川辺郡猪名川町,杉生字一岩７番７,6660201
