法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001038586,川嶋製麺株式会社,兵庫県,揖保郡太子町,宮本１３８番地,6711555
1140001038594,株式会社桑田造園土木,兵庫県,揖保郡太子町,老原２３８番地の１,6711553
1140001038644,株式会社三絋製作所,兵庫県,揖保郡太子町,竹広１８番地,6711533
1140001038669,太子タクシー株式会社,兵庫県,揖保郡太子町,鵤１３１５番地の１,6711561
1140001038677,高井医療器株式会社,兵庫県,揖保郡太子町,佐用岡４７１番地１,6711575
1140001038685,東昭住研株式会社,兵庫県,揖保郡太子町,東出８２番地２２,6711521
1140001038693,株式会社西川組,兵庫県,揖保郡太子町,東南５６８番地の４,6711523
1140001038702,株式会社ひろや,兵庫県,揖保郡太子町,鵤１番地の６,6711561
1140001038719,株式会社前田組,兵庫県,揖保郡太子町,老原６１１番地の１,6711553
1140001038735,柳原農機株式会社,兵庫県,揖保郡太子町,鵤５８番地の８,6711561
1140001038743,株式会社柳田設備,兵庫県,揖保郡太子町,福地６６４番地の１,6711534
1140001038933,株式会社アグロガーデン,兵庫県,揖保郡太子町,老原４２４番地１,6711553
1140001039386,株式会社ＫＡＩＨＡＴＵ,兵庫県,揖保郡太子町,東出８２番地２２,6711521
1140001039436,株式会社亀山鋳造所,兵庫県,揖保郡太子町,原５１９番地,6711502
1140001039576,城見開発株式会社,兵庫県,揖保郡太子町,太田１６１１番地,6711511
1140001039584,株式会社アイテム,兵庫県,揖保郡太子町,太田１６８８番地１,6711511
1140001040303,株式会社富士フューチャ,兵庫県,揖保郡太子町,太田１６７５番地３,6711511
1140001040385,株式会社ＥＶＯＬＵＴＩＯＮ,兵庫県,揖保郡太子町,立岡１４８番地１１,6711531
1140001040501,株式会社Ｔ・Ｒ・Ｉ,兵庫県,揖保郡太子町,福地７８１番地３,6711534
1140001040550,創徳久株式会社,兵庫県,揖保郡太子町,太田１６８０番地の１,6711511
1140001040641,株式会社長船保温工業,兵庫県,揖保郡太子町,東南４０２番地１２,6711523
1140001040690,Ｕ’ｓエンジニアリング株式会社,兵庫県,揖保郡太子町,鵤９９４番地１８,6711561
1140001040848,ＳＫＭ貿易株式会社,兵庫県,揖保郡太子町,東保４４８番地１９,6711524
1140001042324,ミルキー株式会社,兵庫県,揖保郡太子町,原１４２番１,6711502
1140001058403,株式会社カワナカタップス,兵庫県,揖保郡太子町,山田６６３番地３４,6711501
1140001063089,株式会社エヌ・アイ・アイ,兵庫県,揖保郡太子町,沖代１９０番地１,6711543
1140001064723,株式会社齊藤建築板金,兵庫県,揖保郡太子町,太田７０２番地５,6711511
1140001077799,株式会社ワンライズクリエイト,兵庫県,揖保郡太子町,黒岡８番地１３,6711504
1140001088045,三徳ロジスティクス株式会社,兵庫県,揖保郡太子町,阿曽６４４番地１,6711557
1140001088152,株式会社アクア,兵庫県,揖保郡太子町,太田１６８８番地１,6711511
1140001093128,株式会社田口洋服店,兵庫県,揖保郡太子町,鵤１５８番地１,6711561
1140001093549,株式会社ＫＵＧＡＩ,兵庫県,揖保郡太子町,蓮常寺２８１番地,6711535
1140001103530,株式会社計調テクノ,兵庫県,揖保郡太子町,黒岡３番地８,6711504
1140001107861,株式会社金治左官,兵庫県,揖保郡太子町,松尾５８１番地,6711576
1140001108521,ＲＥＶＵＧＲＯＷ株式会社,兵庫県,揖保郡太子町,吉福２６１番地１０,6711544
1140001109577,株式会社清原電工,兵庫県,揖保郡太子町,東保５３番地１８,6711524
1140001110015,清実株式会社,兵庫県,揖保郡太子町,東出７９−１山栄ハイツ１Ｆ,6711521
1140001113975,株式会社シアテック,兵庫県,揖保郡太子町,太田４６３番地８,6711511
1140001118909,株式会社Ｌｏｇｉｃｏ,兵庫県,揖保郡太子町,竹広４２番地２,6711533
1140001119857,株式会社リーフグロース,兵庫県,揖保郡太子町,東南３８２番地,6711523
1140001120237,株式会社グローバル・ウィン,兵庫県,揖保郡太子町,太田１５７０番地１,6711511
1140001122935,株式会社ナナイロキモノ,兵庫県,揖保郡太子町,福地４５２番地１,6711534
1140001123108,株式会社乾坤一擲,兵庫県,揖保郡太子町,黒岡１０番地４,6711504
1140001132521,株式会社アシスト,兵庫県,揖保郡太子町,東保３９８番地１０,6711524
1140001134071,株式会社ＴＳＵＫＩＨＡＮＡ,兵庫県,揖保郡太子町,東保４１８番地２４,6711524
1140001139087,盛合株式会社,兵庫県,揖保郡太子町,東出７９番１−２０５号,6711521
1140001139673,株式会社サツキ重機,兵庫県,揖保郡太子町,老原１５番地２,6711553
2140001038560,株式会社エベック,兵庫県,揖保郡太子町,竹広２９６番地,6711533
2140001038585,株式会社かどゆ電設,兵庫県,揖保郡太子町,鵤１６０番地の６,6711561
2140001038593,桑田石油株式会社,兵庫県,揖保郡太子町,老原１４０番地,6711553
2140001038610,三徳倉庫株式会社,兵庫県,揖保郡太子町,阿曽６４４番地１,6711557
2140001038651,株式会社サン空調,兵庫県,揖保郡太子町,老原１４５番地の１,6711553
2140001038668,株式会社創徳久,兵庫県,揖保郡太子町,太田１６８０番地の１,6711511
2140001038676,太子土地建物株式会社,兵庫県,揖保郡太子町,鵤５３４番地１,6711561
2140001038684,トウア興産株式会社,兵庫県,揖保郡太子町,岩見構六反長５８５番地の１,6711545
2140001038692,株式会社ニッコー,兵庫県,揖保郡太子町,東南３０番地の２,6711523
2140001038701,株式会社ハルコーポレーション,兵庫県,揖保郡太子町,立岡１１４番地１０,6711531
2140001038718,株式会社万富,兵庫県,揖保郡太子町,糸井２９６番地の２,6711532
2140001038734,株式会社森重,兵庫県,揖保郡太子町,蓮常寺３５１番地の１,6711535
2140001038742,アイビーシー住建株式会社,兵庫県,揖保郡太子町,太田１６９８番地の２,6711511
2140001039435,太子製麺株式会社,兵庫県,揖保郡太子町,蓮常寺１２２番地６,6711535
2140001040277,株式会社環境美装苑,兵庫県,揖保郡太子町,鵤５０４番地,6711561
2140001040376,株式会社サンヒルズ,兵庫県,揖保郡太子町,鵤１３１８番地,6711561
2140001040442,株式会社中村建築工事,兵庫県,揖保郡太子町,太田１４４６番地１,6711511
2140001040541,株式会社ナカデンエンジニアリング,兵庫県,揖保郡太子町,東出２２９番地１０,6711521
2140001040649,株式会社サンライズセキュリティ,兵庫県,揖保郡太子町,太田１９７６番地の１,6711511
2140001040863,株式会社アイビス,兵庫県,揖保郡太子町,太田２１４８番地１,6711511
2140001042249,株式会社新和機工,兵庫県,揖保郡太子町,太田５０５番地１０,6711511
2140001042323,マツケン産業株式会社,兵庫県,揖保郡太子町,原１４２番１,6711502
2140001064549,株式会社龍門塾,兵庫県,揖保郡太子町,矢田部１８２番地５,6711522
2140001064714,株式会社ＮＡＯＫＥＮ,兵庫県,揖保郡太子町,糸井２６１番地１２,6711532
2140001064986,株式会社アニメイト,兵庫県,揖保郡太子町,太田１５１３番地の１,6711511
2140001065910,アフロディーテ株式会社,兵庫県,揖保郡太子町,宮本２６２番地,6711555
