法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010401136993,株式会社ＲＩＨ,兵庫県,明石市,魚住町金ケ崎岩が岡１６０２番地２,6740071
1011001134033,株式会社プランＢ,兵庫県,明石市,大久保町大窪７７７番地の９,6740051
1021001052993,株式会社シンメイ,兵庫県,明石市,魚住町清水１６１８番地の１,6740074
1030001126757,株式会社丸新,兵庫県,明石市,林崎町２丁目１番２３号,6730033
1110001030348,株式会社おうちコンシェルジュ,兵庫県,明石市,藤江１９２８番地の７,6730044
1120001112095,株式会社スプリングエステート,兵庫県,明石市,樽屋町１０番９号,6730898
1120001154716,株式会社京・錦家,兵庫県,明石市,中崎２丁目５番６−７０２号,6730883
1120001162124,株式会社シティサービス,兵庫県,明石市,本町１丁目１番２４号大日明石本町ビル,6730892
1120001166892,株式会社Ｈｉ・ＤＥＣＯ　ＪＡＰＡＮ,兵庫県,明石市,大久保町八木１５０−７,6740063
1120001173427,株式会社新参,兵庫県,明石市,田町２丁目７番１６−８０４号,6730025
1120001202243,イニシャルイノベーション株式会社,兵庫県,明石市,大久保町大窪９４３番地の２ブランベール大久保１階,6740051
1120901015645,株式会社常吉商店,兵庫県,明石市,大久保町江井島２６４番地,6740064
1120901030330,株式会社エコ・クリーン,兵庫県,明石市,松の内２丁目７番２,6730016
1122001006319,株式会社ハンユウ,兵庫県,明石市,大久保町高丘６丁目２番地の３,6740057
1140001005215,株式会社長谷川カンパニー,兵庫県,明石市,東山町２８０４番地の２２,6730868
1140001007384,株式会社ケイテック,兵庫県,明石市,川崎町１番１号,6730014
1140001015412,北神電機株式会社,兵庫県,明石市,魚住町清水１３７番地の１１,6740074
1140001018860,株式会社ミマツ商事,兵庫県,明石市,藤江１３１５番地,6730044
1140001022887,株式会社興隆,兵庫県,明石市,西明石町５丁目２番１２号,6730011
1140001028711,株式会社タムロクリエーション,兵庫県,明石市,中崎２丁目４番１−６１１号,6730883
1140001032234,株式会社明南,兵庫県,明石市,大観町６−５ラポール大観１０１,6730897
1140001034379,株式会社明石活州,兵庫県,明石市,相生町１丁目８番２４号,6730882
1140001034387,株式会社明石工作所,兵庫県,明石市,二見町南二見１１番地の４,6740093
1140001034395,株式会社アカシコンテナセンター,兵庫県,明石市,藤江２０２９番地の１明石市公設地方卸売市場内,6730044
1140001034404,明石水産物株式会社,兵庫県,明石市,大久保町高丘７丁目７番地の１８,6740057
1140001034412,株式会社明石市民会館食堂,兵庫県,明石市,中崎１丁目３番１号,6730883
1140001034429,明石土建株式会社,兵庫県,明石市,西新町３丁目１番１２号,6730023
1140001034445,株式会社明石百貨店,兵庫県,明石市,本町１丁目１番３２号,6730892
1140001034461,株式会社アイ・エフ・ケイ,兵庫県,明石市,山下町７番８号,6730878
1140001034486,株式会社あんしんプラザ,兵庫県,明石市,本町２丁目２番２４号明石東京海上日動ビル５階,6730892
