法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001046663,ジャパン斗元株式会社,兵庫県,朝来市,和田山町柳原４６５番地,6695212
1140001046671,株式会社佳長,兵庫県,朝来市,山東町一品２３１番地２,6695123
1140001046696,長野運輸株式会社,兵庫県,朝来市,和田山町林垣２３０番地３,6695231
1140001046721,株式会社山本組,兵庫県,朝来市,山東町早田３３８番地,6695122
1140001046746,株式会社新井交通,兵庫県,朝来市,新井６１番地の９,6793431
1140001046754,株式会社イイヅカ,兵庫県,朝来市,生野町口銀谷４７１番地の３,6793301
1140001046762,駅前総合薬局株式会社,兵庫県,朝来市,和田山町竹田２７９番地,6695252
1140001046779,株式会社尾崎建設,兵庫県,朝来市,石田４２０番地１,6793422
1140001046787,株式会社榧谷建設,兵庫県,朝来市,立脇５４４番地,6793403
1140001046795,株式会社木島水道建設,兵庫県,朝来市,伊由市場８７番地,6793421
1140001046804,此の友酒造株式会社,兵庫県,朝来市,山東町矢名瀬町５０８番地,6695103
1140001046829,株式会社但馬本店,兵庫県,朝来市,和田山町和田山３３０番地,6695201
1140001046845,Ｍ−ＴＥＣ株式会社,兵庫県,朝来市,生野町真弓字峠３５５番地,6793311
1140001046853,長野建設株式会社,兵庫県,朝来市,和田山町林垣２３０番地の３,6695231
1140001046861,株式会社なんたん,兵庫県,朝来市,和田山町和田山２１番地,6695201
1140001046878,株式会社平松梱包,兵庫県,朝来市,和田山町法道寺４８５番地,6695245
1140001046886,藤尾瓦工業株式会社,兵庫県,朝来市,石田１２４０番地,6793422
1140001046894,ホソミ発條株式会社,兵庫県,朝来市,和田山町宮田９９０番地の４,6695242
1140001046903,株式会社三浦産業,兵庫県,朝来市,和田山町法道寺５３０番地,6695245
1140001046911,やくの麺業株式会社,兵庫県,朝来市,山東町溝黒４２１番地,6695132
1140001046928,和田山精機株式会社,兵庫県,朝来市,和田山町寺内３９４番地,6695232
1140001046936,ザワールドワンピープル株式会社,兵庫県,朝来市,和田山町枚田６１６番地,6695261
1140001046944,株式会社水谷タイヤ,兵庫県,朝来市,和田山町宮田９００番地,6695242
1140001046977,株式会社ワールドコンストラクション,兵庫県,朝来市,山東町溝黒５２１番地１,6695132
1140001046985,株式会社あかつき商事,兵庫県,朝来市,和田山町秋葉台３番地２２,6695221
1140001046993,株式会社のじぎく,兵庫県,朝来市,和田山町竹田２０２９番地４,6695252
1140001047050,株式会社岡本製作所,兵庫県,朝来市,和田山町平野３１４番地,6695211
1140001086503,株式会社永新商事,兵庫県,朝来市,和田山町土田３６番地１,6695241
1140001088128,ひまわり建設株式会社,兵庫県,朝来市,生野町竹原野４６６番地９６,6793323
1140001094118,遠洋株式会社,兵庫県,朝来市,山東町三保６１６−１,6695141
1140001095297,株式会社ひまわり,兵庫県,朝来市,和田山町玉置１１２５番地３６,6695213
1140001096790,株式会社緑の風農場,兵庫県,朝来市,山東町大垣７８番地１,6695102
1140001097335,メルカート株式会社,兵庫県,朝来市,和田山町立ノ原１０６番地,6695268
1140001099018,株式会社有斐軒,兵庫県,朝来市,和田山町和田山３１番地,6695201
1140001101749,株式会社清原製作所,兵庫県,朝来市,岩津１１０８番地,6793433
1140001101872,ふくふくツアー株式会社,兵庫県,朝来市,和田山町加都２０番地１,6695264
1140001111905,株式会社和田山精工,兵庫県,朝来市,和田山町高生田３００１番地,6695233
1140001113059,株式会社Ｖｉｅ　Ｄ’ｏｒ,兵庫県,朝来市,和田山町東谷１丁目３番地Ａ棟,6695202
1140001114981,株式会社狩るね,兵庫県,朝来市,和田山町竹田１６０番地,6695252
1140001123768,生野銀山バイオマス株式会社,兵庫県,朝来市,生野町猪野々４８番地１,6793325
1140001125962,株式会社トダタイル,兵庫県,朝来市,立脇４５６番地１,6793403
1140001126192,株式会社フジイコーポレーション,兵庫県,朝来市,和田山町枚田岡７２８番地,6695215
1140001131440,株式会社シンダイ,兵庫県,朝来市,和田山町玉置６８９番地,6695213
1140001139509,Ｂｒａｎｄ　Ｖａｌｏｒ株式会社,兵庫県,朝来市,新井６３０−９,6793431
1140002039336,株式会社鳳勇,兵庫県,朝来市,和田山町筒江８４６番地,6695265
1150001027200,株式会社ＭＣ,兵庫県,朝来市,山東町大月１６５０,6695153
2140001046662,株式会社兵庫県登録衛生検査センター,兵庫県,朝来市,和田山町東谷３８５番地,6695202
2140001046670,株式会社ダイユー,兵庫県,朝来市,和田山町土田１２３番地１,6695241
2140001046687,朝来山東カントリー株式会社,兵庫県,朝来市,山東町大月１番地の１,6695153
2140001046695,株式会社嵯峨山通商,兵庫県,朝来市,新井１３７番地１,6793431
2140001046704,松本電設株式会社,兵庫県,朝来市,生野町口銀谷字七丁目１１７番地１,6793301
2140001046712,株式会社コマドメ建設,兵庫県,朝来市,生野町真弓４１０番地１,6793311
2140001046737,朝来建材工業株式会社,兵庫県,朝来市,澤１３７番地の１,6793411
2140001046745,生野林業株式会社,兵庫県,朝来市,生野町口銀谷５１２番地,6793301
2140001046753,生野株式会社,兵庫県,朝来市,生野町真弓５８０番地,6793311
2140001046761,株式会社上道製材所,兵庫県,朝来市,和田山町中１９３番地,6695226
2140001046778,株式会社田中工務店,兵庫県,朝来市,和田山町柳原１８８番地,6695212
2140001046786,株式会社環境テクノス,兵庫県,朝来市,和田山町林垣２２１番地の１,6695231
2140001046803,株式会社公正建設,兵庫県,朝来市,山東町溝黒２５９番地の１,6695132
2140001046828,全但東洋株式会社,兵庫県,朝来市,和田山町枚田１２７８番地の１,6695261
2140001046836,株式会社多田スミス,兵庫県,朝来市,和田山町久留引８４番地の１０,6695263
2140001046852,南但酒類販売株式会社,兵庫県,朝来市,和田山町東谷２１３番地の７０,6695202
2140001046860,ナウ建設株式会社,兵庫県,朝来市,和田山町枚田岡２２３番地の１,6695215
2140001046885,株式会社ふじ,兵庫県,朝来市,和田山町東谷４丁目５番地,6695202
2140001046893,株式会社ホクト,兵庫県,朝来市,和田山町枚田６６９−１,6695261
2140001046910,ヤナセヒフク株式会社,兵庫県,朝来市,山東町末歳６７８番地,6695104
2140001046943,生和運輸株式会社,兵庫県,朝来市,立野８４番地,6793424
2140001046968,丸尾土建株式会社,兵庫県,朝来市,物部２３０番地,6793401
2140001046984,株式会社メガサス,兵庫県,朝来市,和田山町筒江字中山１６５番地７号,6695265
2140001047033,株式会社長谷波鈑金塗装,兵庫県,朝来市,羽渕３９４番地２,6793441
2140001047041,アムズ株式会社,兵庫県,朝来市,新井６３０番地１８,6793431
2140001057180,株式会社Ｔｈｅ　ＭＡＳＵＤＡｓ,兵庫県,朝来市,山東町柊木２６９番地,6695131
2140001088333,株式会社西本佛壇和田山本店,兵庫県,朝来市,和田山町宮内８２番地１,6695244
2140001089133,株式会社和田山精機イノベーション,兵庫県,朝来市,和田山町野村１０１番地,6695225
2140001093779,株式会社吉本自動車,兵庫県,朝来市,山東町楽音寺２４番地,6695152
2140001094042,株式会社アクア朝来,兵庫県,朝来市,立野１４４番地,6793424
2140001095222,株式会社きせき,兵庫県,朝来市,羽渕３０５番地４,6793441
2140001097788,株式会社味来,兵庫県,朝来市,伊由市場５１４番地１,6793421
2140001102424,小林電気工業株式会社,兵庫県,朝来市,和田山町東谷５丁目３４番地,6695202
2140001106895,大元テック株式会社,兵庫県,朝来市,和田山町加都１６５８番地５,6695264
2140001109634,株式会社ヴェルダ,兵庫県,朝来市,和田山町土田２５番地１,6695241
2140001111128,株式会社快惺,兵庫県,朝来市,和田山町東谷１４０番地２,6695202
2140001118379,ママキッチン株式会社,兵庫県,朝来市,山東町柿坪８３番地１５,6695143
2140001119682,ビーデックス株式会社,兵庫県,朝来市,和田山町東谷２１３番地２７,6695202
2140001119864,株式会社幸輝瓦,兵庫県,朝来市,和田山町玉置１４０番地２,6695213
2140001122835,シグラベース株式会社,兵庫県,朝来市,山東町矢名瀬町７９５番地１,6695103
2140001123032,株式会社和田山コーティングセンター,兵庫県,朝来市,和田山町野村１０１番地,6695225
2140001129731,株式会社ニッコーガーデン,兵庫県,朝来市,羽渕１６番地２,6793441
2140001132636,北関西ビルド株式会社,兵庫県,朝来市,山東町末歳６１９番地１,6695104
2140001138220,株式会社福和金属,兵庫県,朝来市,山東町大月１３５５番地１,6695153
2140001140580,阿野建設株式会社,兵庫県,朝来市,和田山町土田５６２番地,6695241
2140001140861,株式会社なないろＢａｓｅ,兵庫県,朝来市,和田山町高生田１９番地,6695233
2140001141315,株式会社ＷＢＴＣ,兵庫県,朝来市,和田山町土田２８番地１,6695241
2140002039236,株式会社ＣＳＴ,兵庫県,朝来市,立脇５７番地の１,6793403
2140002039525,株式会社フジモト,兵庫県,朝来市,山東町柴９９番地の６,6695124
3011401006549,山芳製菓株式会社,兵庫県,朝来市,伊由市場５２８−１,6793421
3140001046653,株式会社立雲,兵庫県,朝来市,和田山町枚田９０７番地の１,6695261
3140001046661,グローバル建設株式会社,兵庫県,朝来市,生野町口銀谷２２８７番地,6793301
3140001046678,株式会社学園都市自動車学院,兵庫県,朝来市,生野町口銀谷７２１番地１,6793301
3140001046694,株式会社エイトＭＡＮ,兵庫県,朝来市,和田山町法興寺３８７番地１,6695267
3140001046711,株式会社日本開発興業,兵庫県,朝来市,納座５４６番地の１,6793413
3140001046736,株式会社アイジーエス,兵庫県,朝来市,和田山町東谷２１３番地１２０,6695202
3140001046744,株式会社アオタ,兵庫県,朝来市,八代１８４番地の２,6793452
3140001046752,株式会社伊藤建設,兵庫県,朝来市,多々良木５６４番地の５,6793423
3140001046760,絲井建設株式会社,兵庫県,朝来市,和田山町和田９１番地,6695235
