法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010701030871,株式会社アンドエクスペリエンス,兵庫県,洲本市,塩屋２丁目６番２６号,6560021
1021001067075,株式会社破常識屋出版,兵庫県,洲本市,栄町２丁目３番２１号八田ビル２階,6560026
1120001215352,株式会社Ｓｉｎｃｅｒｅ　Ｌａｕｒａ,兵庫県,洲本市,安乎町平安浦字馬場１４８８番地５,6562121
1120001230797,ジャパンネクスト株式会社,兵庫県,洲本市,栄町３丁目１番５５号,6560026
1120101071282,Ａトラベル株式会社,兵庫県,洲本市,炬口２４７,6560011
1120901018854,水素スパリゾート株式会社,兵庫県,洲本市,安乎町平安浦１８８６番地２,6562121
1140001052463,サン・ウィング株式会社,兵庫県,洲本市,桑間４６８番地１−２０５号,6560014
1140001084548,淡路コンフォート株式会社,兵庫県,洲本市,納６番地の３,6560101
1140001084556,淡路共正陸運株式会社,兵庫県,洲本市,納３１９番地,6560101
1140001084564,株式会社淡路住器,兵庫県,洲本市,物部３丁目７番１８号,6560051
1140001084572,淡路部品株式会社,兵庫県,洲本市,桑間５７６番地の２,6560014
1140001084580,株式会社淡路第一商事,兵庫県,洲本市,栄町３丁目２番２５号,6560026
1140001084597,淡路島モンキーセンター株式会社,兵庫県,洲本市,畑田組２８９番地,6562533
1140001084606,アイランド開発株式会社,兵庫県,洲本市,炬口２丁目１２番７号,6560011
1140001084614,岩鼻産業株式会社,兵庫県,洲本市,物部２丁目１２番１１号,6560051
1140001084622,株式会社魚増,兵庫県,洲本市,本町２丁目３番２号,6560025
1140001084630,株式会社潮製作所,兵庫県,洲本市,桑間５１９番地の１,6560014
1140001084639,岡本食品販売株式会社,兵庫県,洲本市,本町２丁目２番１９号,6560025
1140001084647,株式会社オーハタ実業,兵庫県,洲本市,五色町鮎原上８４７番地,6561322
1140001084655,株式会社川道商店,兵庫県,洲本市,栄町２丁目１番３号,6560026
1140001084663,岸本建設株式会社,兵庫県,洲本市,上加茂６１８番地の２,6560015
1140001084671,株式会社協信電工,兵庫県,洲本市,納２１１番地の１,6560101
1140001084688,五色陸運株式会社,兵庫県,洲本市,五色町都志万歳７８番地,6561304
