法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010701033239,株式会社エコ・テクノサービス,兵庫県,淡路市,佐野新島１番１号,6562213
1120001035800,プライミクス株式会社,兵庫県,淡路市,夢舞台１番３８,6562306
1140001042274,松原建材株式会社,兵庫県,淡路市,岩屋１５４９番地,6562401
1140001085026,淡路メリヤス株式会社,兵庫県,淡路市,生穂１６５７番地,6562223
1140001085034,淡路島シーサイド開発株式会社,兵庫県,淡路市,里５７３番地６,6562143
1140001085042,株式会社生穂建設,兵庫県,淡路市,生穂１１５６番地,6562223
1140001085050,ベストレンタル株式会社,兵庫県,淡路市,木曽上畑９４番地,6562153
1140001085067,株式会社樫岡石油,兵庫県,淡路市,大谷１０９番地の１,6562224
1140001085075,宏洋繊維株式会社,兵庫県,淡路市,志筑２５４６番地,6562131
1140001085083,昭栄建設株式会社,兵庫県,淡路市,中田２７９９番地の３,6562163
1140001085091,株式会社ジエーピーエスマリン,兵庫県,淡路市,郡家９２７番地１,6561511
1140001085117,津名印刷株式会社,兵庫県,淡路市,志筑１７７１番地の１,6562131
1140001085141,中棉工業株式会社,兵庫県,淡路市,志筑３２６３番地,6562131
1140001085158,株式会社ピーエムシーインターナショナル,兵庫県,淡路市,志筑３０７１番地,6562131
1140001085166,株式会社ベイシック,兵庫県,淡路市,志筑１６５１番地の１,6562131
1140001085174,増田住建株式会社,兵庫県,淡路市,大谷９４５番地の１,6562224
1140001085182,株式会社レストラン大公,兵庫県,淡路市,志筑２８２１番地の１,6562131
1140001085190,株式会社淡路島ホーフブロイ,兵庫県,淡路市,井手６０７番地の３,6561525
1140001085199,株式会社岡崎商店,兵庫県,淡路市,郡家８２番地の１,6561511
1140001085208,株式会社広玉堂,兵庫県,淡路市,大町下５３６番地,6562156
1140001085216,株式会社大発,兵庫県,淡路市,多賀７３番地の２,6561521
1140001085224,株式会社東洋長,兵庫県,淡路市,井手６０７番地の３,6561525
1140001085240,株式会社山下商工,兵庫県,淡路市,郡家１５０番地の６,6561511
1140001085249,株式会社ゑびす亭,兵庫県,淡路市,浜１番地の７,6562304
1140001085257,株式会社オカダ総建木材,兵庫県,淡路市,久留麻２２３４番地,6562311
1140001085265,サンフードサービス株式会社,兵庫県,淡路市,大磯２８番地の１,6562302
1140001085273,岡田農園株式会社,兵庫県,淡路市,久留麻１６６７番地の１,6562311
1140001085281,株式会社マトザキ,兵庫県,淡路市,久留麻７２番地,6562311
1140001085298,株式会社石原興業,兵庫県,淡路市,野島常盤６４２番地,6561726
1140001085307,株式会社沖モータース,兵庫県,淡路市,育波５９１番地の５,6561602
1140001085323,株式会社大丸,兵庫県,淡路市,富島２０７１番地,6561711
1140001085348,淡路クレーン株式会社,兵庫県,淡路市,岩屋１７８３番地２,6562401
1140001085356,株式会社大上建設,兵庫県,淡路市,岩屋１４２４番地の２,6562401
1140001085364,忍建設株式会社,兵庫県,淡路市,岩屋３０００番地の１３５,6562401
1140001085372,株式会社丸松水産,兵庫県,淡路市,岩屋１７５４番地,6562401
1140001085380,株式会社キタ不動産,兵庫県,淡路市,久留麻１３８番地４,6562311
1140001085389,株式会社淡路ジェノバライン,兵庫県,淡路市,岩屋９２５番地２７,6562401
1140001085397,未来産業株式会社,兵庫県,淡路市,岩屋３０００番地の３８,6562401
1140001085447,株式会社エムテック,兵庫県,淡路市,中田４００番地２,6562163
1140001085455,池之内建設株式会社,兵庫県,淡路市,池ノ内６３７番地,6562161
1140001085983,ＭＫ管理株式会社,兵庫県,淡路市,大谷１１５２番地２,6562224
1140001086008,淡路島線香株式会社,兵庫県,淡路市,大町下５０４番地,6562156
1140001086073,株式会社あわじ,兵庫県,淡路市,塩田新島８番５,6562142
1140001086107,株式会社ＴＳトータルサポート,兵庫県,淡路市,志筑２４７０番地１３,6562131
1140001086148,株式会社リヨ,兵庫県,淡路市,志筑３８９番地１アーバンエルフ７−Ｄ,6562131
1140001086197,淡路島らいふ計画株式会社,兵庫県,淡路市,尾崎１５６１番地,6561501
1140001086214,株式会社砥水,兵庫県,淡路市,志筑９６８番地１２,6562131
1140001086239,株式会社セガール,兵庫県,淡路市,志筑１１８４−１,6562131
1140001086255,株式会社ショーゼンファーム,兵庫県,淡路市,木曽下１６２番地３,6562154
1140001086305,株式会社キョウワ,兵庫県,淡路市,志筑８８５番地の１,6562131
1140001089472,株式会社天麻結楽,兵庫県,淡路市,久留麻２１２２番地２,6562311
1140001091890,株式会社ファイブワン,兵庫県,淡路市,中田５４８−２−１０１,6562163
1140001094472,株式会社Ｇ．Ｍ．Ｇ,兵庫県,淡路市,志筑２３３２番地６１,6562131
1140001095603,株式会社オリタエナジー,兵庫県,淡路市,釜口６３９番地１,6562334
1140001096147,ドクターＤ株式会社,兵庫県,淡路市,尾崎字小丸４６番３８,6561501
1140001097624,株式会社フレッシュグループ,兵庫県,淡路市,尾崎１１１６番地１,6561501
1140001099389,株式会社ＳＨリース,兵庫県,淡路市,志筑９１５番地６１,6562131
1140001100511,株式会社東根造船所,兵庫県,淡路市,岩屋９５９番地３,6562401
1140001104850,株式会社アクアイグニス淡路島,兵庫県,淡路市,夢舞台２番地２８,6562306
1140001105089,株式会社淡路関空ライン,兵庫県,淡路市,浅野南１５６番地１０,6561741
1140001105964,株式会社山岡建築工房,兵庫県,淡路市,大谷１５３１番地,6562224
1140001107795,株式会社おのころ開発,兵庫県,淡路市,野島蟇浦１６８番地１,6561721
1140001107853,株式会社ラフォンコーポレーション,兵庫県,淡路市,久留麻１９８９番地,6562311
