法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010001219232,株式会社ｅｃｏ　ｒｅｎｔａｌ,兵庫県,相生市,若狭野町入野５０６番地１,6780081
1010001230569,株式会社三井Ｅ＆Ｓ　ＤＵ,兵庫県,相生市,相生５２９２番地,6780041
1140001039634,相生興産株式会社,兵庫県,相生市,若狭野町野々１１８２番地,6780082
1140001039659,株式会社あいおいアクアポリス,兵庫県,相生市,那波南本町８番５５号,6780053
1140001039675,株式会社ＪＭＵアムテック,兵庫県,相生市,相生５２９２番地,6780041
1140001039683,株式会社井川材木店,兵庫県,相生市,双葉２丁目１２番４号,6780024
1140001039700,株式会社江見工業所,兵庫県,相生市,旭２丁目１番１号,6780031
1140001039725,第一建設株式会社,兵庫県,相生市,汐見台２２番７号,6780002
1140001039758,株式会社ドルフィン,兵庫県,相生市,双葉３丁目６番１０号,6780024
1140001039782,旭光電気株式会社,兵庫県,相生市,大島町２番３０号,6780052
1140001039799,三業株式会社,兵庫県,相生市,那波大浜町５番９号,6780051
1140001039816,神榮電機設備工業株式会社,兵庫県,相生市,旭１丁目１７番１３号,6780031
1140001039849,株式会社石樹園,兵庫県,相生市,赤坂１丁目２番１９号,6780021
1140001039865,株式会社竹田重工所,兵庫県,相生市,那波野６８８番地の１,6780011
1140001039873,株式会社テッケンサイトウ,兵庫県,相生市,若狭野町雨内６４９番地,6780081
1140001039881,ニシハリマ建材株式会社,兵庫県,相生市,那波野７７７番地の１５,6780011
1140001039915,株式会社播磨礦油,兵庫県,相生市,栄町１１番２号,6780008
1140001039923,株式会社日笠建設,兵庫県,相生市,若狭野町八洞２６９番地の３,6780082
1140001039931,株式会社ブラーマ,兵庫県,相生市,旭１丁目２番２号,6780031
1140001039948,三博産業株式会社,兵庫県,相生市,那波大浜町１３番２７号,6780051
1140001039956,ヤマハ物産株式会社,兵庫県,相生市,那波大浜町１４番１３号,6780051
1140001040286,株式会社ＬＩＮＧＯ　ＣＯＭＰＡＮＹ,兵庫県,相生市,矢野町二木２番地の２,6780091
1140001040419,みすみ工業株式会社,兵庫県,相生市,那波東本町５番４７号,6780056
1140001040443,千珠株式会社,兵庫県,相生市,坪根５１４８番地１,6780000
1140001064384,Ｋ−２ＰＬＡＮＮＩＮＧ株式会社,兵庫県,相生市,那波西本町１４番２７号,6780054
1140001090273,ファビュラス・ジャパン株式会社,兵庫県,相生市,赤坂２丁目９番８号,6780021
1140001096403,西播フードサプライ株式会社,兵庫県,相生市,汐見台１５番地１,6780002
1140001097558,株式会社山下ポンプ,兵庫県,相生市,汐見台３５番地１０,6780002
1140001100123,株式会社サンドストーム,兵庫県,相生市,旭５丁目４番１８号,6780031
1140001109098,株式会社藤谷塗装工房,兵庫県,相生市,ひかりが丘１９番地３,6780074
1140001111013,株式会社ＳＡＮＫＯ,兵庫県,相生市,那波東本町５番４５号,6780056
1140001117084,福助ＧｌｏｂａｌＥｎｅｒｇｙ株式会社,兵庫県,相生市,那波野７７６番地の１,6780011
1140001118644,株式会社ＦＲＩ,兵庫県,相生市,緑ケ丘３丁目５番２２号,6780071
1140001119717,株式会社Ｄｒｅａｍ,兵庫県,相生市,若狭野町入野９５番地１,6780081
1140001130137,株式会社四季,兵庫県,相生市,陸本町１番１７号,6780007
2010001256068,株式会社エフ・シー・エム,兵庫県,相生市,旭３丁目５番１５号,6780031
2140001039559,クルコジャパン株式会社,兵庫県,相生市,陸４番地３３,6780003
2140001039633,相生金属工業株式会社,兵庫県,相生市,那波野３丁目８番２８号,6780011
2140001039674,株式会社アサヒ技研,兵庫県,相生市,矢野町菅谷２１４番地の１,6780091
2140001039682,富士海事工業株式会社,兵庫県,相生市,相生５３７７番地の８,6780041
2140001039690,株式会社Ｅ，Ｓ，ＭＩＹＡＫＥ,兵庫県,相生市,那波大浜町８番２０号,6780051
2140001039724,共和商事株式会社,兵庫県,相生市,那波大浜町１番８号,6780051
2140001039757,豊産業株式会社,兵庫県,相生市,相生５１１７番地,6780041
2140001039781,協正石油株式会社,兵庫県,相生市,那波野３丁目１４番８号,6780011
2140001039798,株式会社佐竹商店,兵庫県,相生市,旭４丁目１１番１９号,6780031
2140001039848,西播石油株式会社,兵庫県,相生市,汐見台１５番地の１,6780002
2140001039856,株式会社大黒屋,兵庫県,相生市,旭１丁目１４番６号,6780031
2140001039880,西川畳装飾株式会社,兵庫県,相生市,旭４丁目１０番７号,6780031
2140001039922,間運輸株式会社,兵庫県,相生市,野瀬７８１番地の１,6780044
2140001039930,船曳商事株式会社,兵庫県,相生市,旭１丁目７番１５号,6780031
2140001039939,松本青果株式会社,兵庫県,相生市,旭１丁目７番２６号,6780031
2140001039947,湊水産株式会社,兵庫県,相生市,大島町１番１号,6780052
2140001039955,株式会社ヤマデン,兵庫県,相生市,那波本町１１番１号,6780055
2140001039963,株式会社りょうゆう,兵庫県,相生市,栄町１６番３号,6780008
2140001039988,株式会社赤穂東浜ガスセンター,兵庫県,相生市,那波大浜町１番８号,6780051
2140001040335,株式会社ムラオ機工,兵庫県,相生市,矢野町二木９８１番地,6780091
2140001040343,株式会社朝日屋,兵庫県,相生市,双葉２丁目１５番２８号,6780024
2140001040566,株式会社アサヒメディカル,兵庫県,相生市,矢野町下田甲２７２番地の１,6780092
2140001047215,株式会社テイクオフ,兵庫県,相生市,若狭野町下土井７１６番地,6780082
2140001087046,株式会社ふわっと,兵庫県,相生市,ひかりが丘８番地の５,6780074
2140001092541,株式会社キヨシ鋼建,兵庫県,相生市,那波野１丁目４番７号,6780011
2140001105740,相生バイオエナジー株式会社,兵庫県,相生市,相生柳山５３１５番地４６,6780041
2140001110955,株式会社ＴＳＥ,兵庫県,相生市,旭２丁目５番４号,6780031
2140001116440,株式会社ＳｕｎＰａｉｎｔ,兵庫県,相生市,那波野２丁目１７番１５号,6780011
2140001120624,株式会社井上工業,兵庫県,相生市,大島町７番２０号,6780052
2140001121812,株式会社ルイスＥｘｐｒｅｓｓ,兵庫県,相生市,古池本町２番１０号,6780025
2140001134979,松下水産株式会社,兵庫県,相生市,相生５３８１番地,6780041
2140001142321,株式会社関西リンクス,兵庫県,相生市,汐見台２６番地２０,6780002
2180001130751,株式会社山電,兵庫県,相生市,本郷町３番１３号,6780006
3120901041565,株式会社アイツー,兵庫県,相生市,那波大浜町９番６号,6780051
3140001039640,相生タクシー株式会社,兵庫県,相生市,陸本町１１番２８号,6780007
3140001039657,株式会社相生モータース,兵庫県,相生市,山手２丁目８番地,6780001
3140001039723,サンエンタプライズ株式会社,兵庫県,相生市,赤坂１丁目９番６号,6780021
3140001039731,神口建設工業株式会社,兵庫県,相生市,栄町４番１号,6780008
3140001039780,九星産業株式会社,兵庫県,相生市,旭１丁目１５番１４号,6780031
3140001039806,株式会社シーズ,兵庫県,相生市,那波大浜町１０６番地,6780051
3140001039830,播州道路施設株式会社,兵庫県,相生市,竜泉町１１７番地の１３,6780072
