法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001063312,セラポート株式会社,兵庫県,神崎郡市川町,奥８７２番地３,6792325
1140001063411,株式会社共和ゴルフ,兵庫県,神崎郡市川町,西川辺７０７番地,6792315
1140001063477,株式会社セイコーテック,兵庫県,神崎郡市川町,屋形１０６８番地,6792337
1140001063691,株式会社フジケン,兵庫県,神崎郡市川町,下瀬加１４３６番地,6792304
1140001137223,株式会社ＰＲＥＢＥ,兵庫県,神崎郡市川町,神崎６２８番地の１,6792333
2140001063294,株式会社あかまつクリーニング店,兵庫県,神崎郡市川町,神崎７４８番地の１,6792333
2140001063328,株式会社市川工業所,兵庫県,神崎郡市川町,下瀬加１１０番地,6792304
2140001063492,株式会社多田鍛工所,兵庫県,神崎郡市川町,甘地字千束８８０番地の１,6792323
2140001063518,株式会社利根川製材,兵庫県,神崎郡市川町,西田中９番地の１２,6792313
2140001063583,ヒロタゴルフ株式会社,兵庫県,神崎郡市川町,西川辺６７７番地,6792315
2140001063600,株式会社フジタ,兵庫県,神崎郡市川町,田中２３番地の１,6792332
2140001089785,株式会社澤村,兵庫県,神崎郡市川町,澤２６番地,6792336
2140001094199,株式会社谷営農,兵庫県,神崎郡市川町,谷３５１番地,6792326
2140001098225,株式会社鶴居営農,兵庫県,神崎郡市川町,鶴居２１２番地,6792334
2140001116655,センナ株式会社,兵庫県,神崎郡市川町,谷１８２番地１,6792326
2140001134079,株式会社元田建工,兵庫県,神崎郡市川町,西川辺１０４１番地の４３,6792315
2140001142247,橋本農場株式会社,兵庫県,神崎郡市川町,小室７７番地,6792331
3140001063327,市川プラスチック株式会社,兵庫県,神崎郡市川町,東川辺３９３番地,6792316
3140001063467,住設アズミ商事株式会社,兵庫県,神崎郡市川町,甘地１６６番地の３,6792323
3140001063509,鶴居鋳造株式会社,兵庫県,神崎郡市川町,鶴居３０３番地,6792334
3140001063657,元田石灰株式会社,兵庫県,神崎郡市川町,甘地８１８番地の１,6792323
3140001063830,株式会社太陽砂工房,兵庫県,神崎郡市川町,東川辺９番地の２,6792316
3140001064234,株式会社ＳＡＩＢＡ,兵庫県,神崎郡市川町,甘地９３番地の１,6792323
3140001064993,株式会社Ｉ・Ｔコーポレーション,兵庫県,神崎郡市川町,東川辺７６７番地の２,6792316
3140001089388,株式会社イナヅ,兵庫県,神崎郡市川町,鶴居２４番地の４,6792334
3140001093794,株式会社東川辺営農,兵庫県,神崎郡市川町,東川辺５８８番地の２,6792316
3140001105748,株式会社いちかわ,兵庫県,神崎郡市川町,西川辺５２６番地４,6792315
3140001107141,三昇産業株式会社,兵庫県,神崎郡市川町,田中１０４番地,6792332
3140001115739,株式会社ＫＴテック,兵庫県,神崎郡市川町,神崎８３５番地,6792333
3140001132164,ＲＩＴＡホールディングス株式会社,兵庫県,神崎郡市川町,下瀬加１９５番地の１,6792304
3140002052989,アイティオーテック株式会社,兵庫県,神崎郡市川町,西川辺１０９４番地４,6792315
4120001258480,株式会社Ｋ．Ｋコンサルティング,兵庫県,神崎郡市川町,田中６６番地の１,6792332
4140001063359,株式会社エフ・プロ,兵庫県,神崎郡市川町,奥８９１番地の３,6792325
4140001063383,株式会社開発興業,兵庫県,神崎郡市川町,西田中８番地,6792313
4140001063417,株式会社楠田商店,兵庫県,神崎郡市川町,屋形１０３８番地,6792337
4140001063433,株式会社後藤工務店,兵庫県,神崎郡市川町,甘地８０１番地,6792323
4140001063474,株式会社ステップワン,兵庫県,神崎郡市川町,上田中１６０番地,6792311
4140001063615,株式会社堀田建設,兵庫県,神崎郡市川町,美佐２５８番地の１,6792335
4140001063648,株式会社三浦技研,兵庫県,神崎郡市川町,小谷字東野２５７番地,6792322
4140001064324,株式会社ヒルズフィールドエンターテイメンツ,兵庫県,神崎郡市川町,美佐７２１番地,6792335
4140001095988,株式会社ＦＧ,兵庫県,神崎郡市川町,上田中１３３番地１,6792311
4140001099618,株式会社神崎リサイクル,兵庫県,神崎郡市川町,屋形８８０番地,6792337
4140001101465,株式会社Ｒｓ　Ｇｒｏｕｐ,兵庫県,神崎郡市川町,下牛尾１２３７番地１２,6792302
4140001105747,株式会社中尾建設工業,兵庫県,神崎郡市川町,澤８５５番地,6792336
4140001106621,株式会社デンクル,兵庫県,神崎郡市川町,下牛尾５５番地の３,6792302
4140001126074,株式会社ＴＹＨ,兵庫県,神崎郡市川町,西田中４８９番地の５,6792313
4140001128013,株式会社フジ・プランニング,兵庫県,神崎郡市川町,奥１５６番地の２,6792325
4140001133005,株式会社スリール,兵庫県,神崎郡市川町,近平３７０,6792327
5010401120267,株式会社フォレスト市川ゴルフ倶楽部,兵庫県,神崎郡市川町,小畑２９１６番地の１,6792318
5140001046750,生野興産株式会社,兵庫県,神崎郡市川町,甘地５５４番地,6792323
5140001060470,西日本火工品工業株式会社,兵庫県,神崎郡市川町,西川辺７９４番地,6792315
5140001061097,日の丸産業株式会社,兵庫県,神崎郡市川町,屋形８７１番地,6792337
5140001063309,株式会社荒木印刷,兵庫県,神崎郡市川町,西川辺５４８番地の２,6792315
5140001063416,桑路建塗株式会社,兵庫県,神崎郡市川町,沢１１５番地の２,6792300
5140001063449,サンライズ運輸倉庫株式会社,兵庫県,神崎郡市川町,神崎７５３番地,6792333
5140001063457,三創ゴルフテクニカル株式会社,兵庫県,神崎郡市川町,沢２５７番地,6792300
5140001063498,株式会社多田呉服店,兵庫県,神崎郡市川町,東川辺８００番地,6792316
