法人番号,法人名,都道府県,市区町村,番地,郵便番号
1120001121451,アクシア株式会社,兵庫県,神崎郡神河町,中村２６６番地,6792413
1140001063584,ピジョンマニュファクチャリング兵庫株式会社,兵庫県,神崎郡神河町,中村１００９番地の２８,6792413
1140001063592,藤原衣料株式会社,兵庫県,神崎郡神河町,福本４１４番地,6792415
1140001063601,株式会社フジハウス,兵庫県,神崎郡神河町,山田３２５番地の３,6792412
1140001063618,株式会社堀口,兵庫県,神崎郡神河町,粟賀町４６６番地の１,6792414
1140001063667,株式会社ヤマウチ,兵庫県,神崎郡神河町,鍛治２６２番地１,6793112
1140001065630,株式会社グローリー,兵庫県,神崎郡神河町,福本１１９７番地の１,6792415
1140001066125,株式会社アーバンエンジニアリング,兵庫県,神崎郡神河町,新野字カナギ２１番,6793114
1140001094398,株式会社ＮＴ工業,兵庫県,神崎郡神河町,粟賀町１０番地の２,6792414
1140001095669,株式会社なおくら,兵庫県,神崎郡神河町,南小田２１７番地の１,6793124
1140001101039,株式会社ヒロオカファーム,兵庫県,神崎郡神河町,貝野６７１−１−１１１,6792422
1140001101567,山陽採石株式会社,兵庫県,神崎郡神河町,鍛治１７３番地の４,6793112
1140001102350,若畑メディカル株式会社,兵庫県,神崎郡神河町,東柏尾６７３番地の１コーポ柏尾１０３,6792425
1140001109767,株式会社仙霊,兵庫県,神崎郡神河町,吉冨５５７番地の１,6792434
1140001110139,株式会社そらやま,兵庫県,神崎郡神河町,杉４３４番地,6792433
1140001116994,株式会社ＭＥリゾート播磨,兵庫県,神崎郡神河町,上小田８８１番地１４６,6793125
1140001122002,株式会社竹村商会,兵庫県,神崎郡神河町,寺野５１番地の６,6792423
1140001122943,ＳＫＴ産業株式会社,兵庫県,神崎郡神河町,東柏尾６８番地,6792425
2140001063261,東洋ミネラル株式会社,兵庫県,神崎郡神河町,上岩１８７−２,6793121
2140001063419,黒田石油株式会社,兵庫県,神崎郡神河町,新野６１９番地,6793114
2140001063559,株式会社鳩自動車,兵庫県,神崎郡神河町,福本６７８番地,6792415
2140001063591,株式会社藤澤商店,兵庫県,神崎郡神河町,福本９３２番地,6792415
