法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001033728,株式会社渡辺塗装,兵庫県,神崎郡福崎町,八千種２０２５番地１１,6792202
1140001058329,株式会社神田屋,兵庫県,神崎郡福崎町,南田原１７３５番地,6792203
1140001063295,株式会社アサヒ,兵庫県,神崎郡福崎町,福田９９番地,6792212
1140001063304,株式会社アムデック,兵庫県,神崎郡福崎町,南田原２０９２番地,6792203
1140001063337,株式会社宇崎商店,兵庫県,神崎郡福崎町,八千種１７４番地１,6792202
1140001063361,株式会社サポートアップ,兵庫県,神崎郡福崎町,西田原１３８８番地８,6792204
1140001063428,株式会社くれよん,兵庫県,神崎郡福崎町,南田原７７６番地１,6792203
1140001063444,サンアロイ工業株式会社,兵庫県,神崎郡福崎町,高橋２９０番地の４４,6792216
1140001063452,株式会社サンライズ,兵庫県,神崎郡福崎町,福田１０３番地,6792212
1140001063460,株式会社柴田石材店,兵庫県,神崎郡福崎町,福崎新２８０番地３,6792214
1140001063502,株式会社大忠開発,兵庫県,神崎郡福崎町,西治４５０番地１,6792215
1140001063519,株式会社中井工務店,兵庫県,神崎郡福崎町,南田原１４５６番地の１,6792203
1140001063527,株式会社中塚製作所,兵庫県,神崎郡福崎町,大貫１０３４番地９,6792201
1140001063543,日伸工機株式会社,兵庫県,神崎郡福崎町,福田２９８番地６,6792212
1140001063568,株式会社肥野ストア,兵庫県,神崎郡福崎町,福崎新２０３番地の１,6792214
1140001063626,丸一屋根産業株式会社,兵庫県,神崎郡福崎町,山崎５６８番地の１１,6792211
1140001063634,松岡和洋瓦株式会社,兵庫県,神崎郡福崎町,南田原１１５０番地の３,6792203
1140001063642,株式会社三森化学,兵庫県,神崎郡福崎町,福田３６２番地,6792212
1140001063675,株式会社ライフクリエイト,兵庫県,神崎郡福崎町,南田原７６７番地,6792203
1140001063709,内外工業株式会社,兵庫県,神崎郡福崎町,高橋５６０番地,6792216
1140001064087,株式会社千里,兵庫県,神崎郡福崎町,東田原５３４番地の１,6792205
1140001064228,株式会社サポートプラン,兵庫県,神崎郡福崎町,高橋４３番地６,6792216
1140001064293,株式会社ビースト,兵庫県,神崎郡福崎町,西治２−６,6792215
1140001067635,株式会社セイワ陸送サービス,兵庫県,神崎郡福崎町,八千種１９５番地１,6792202
1140001092914,読売播磨販売株式会社,兵庫県,神崎郡福崎町,福崎新３２９番地７,6792214
1140001094662,山陽昆布株式会社,兵庫県,神崎郡福崎町,八千種４０９９番地４,6792202
1140001099538,株式会社難波ベーカリー,兵庫県,神崎郡福崎町,福田５６０番地２,6792212
1140001104355,株式会社エスエイチグループ,兵庫県,神崎郡福崎町,西田原１４８１番地８−２Ｆ,6792204
1140001104479,株式会社船津鉄工所,兵庫県,神崎郡福崎町,西治市川端２の４８番地,6792215
1140001107184,株式会社アイジーテクノ,兵庫県,神崎郡福崎町,南田原１３２４番地２,6792203
1140001109123,株式会社マイブリス,兵庫県,神崎郡福崎町,東田原１２３１番地７５,6792205
1140001113190,長寿堂株式会社,兵庫県,神崎郡福崎町,馬田７７番地,6792213
1140001116821,株式会社プラスワン,兵庫県,神崎郡福崎町,大貫２２３２番地,6792201
1140001122076,株式会社ＴｈｉｎｋＳｍａｒｔ,兵庫県,神崎郡福崎町,高橋３６番地,6792216
