法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010001077218,株式会社神明精米,兵庫県,神戸市中央区,栄町通６丁目１番２１号,6500023
1010001094361,株式会社エーエスコンサルト,兵庫県,神戸市中央区,江戸町１００番,6500033
1010001101092,ＫＥＹＴＥＣ株式会社,兵庫県,神戸市中央区,浜辺通５丁目１番１４号神戸商工貿易センタービル１１Ｆ１１１４号室,6510083
1010001104013,株式会社ＰｒｏｂｅＸ,兵庫県,神戸市中央区,港島南町１丁目５番５号,6500047
1010001109854,株式会社アンテナ,兵庫県,神戸市中央区,北野町４丁目１８番４号北野マンション３０３号室,6500002
1010001122774,Ｅｓｓｅｎ　ｃｏｒｐｏｒａｔｉｏｎ株式会社,兵庫県,神戸市中央区,元町通２丁目３番２号,6500022
1010001136295,エクサビット株式会社,兵庫県,神戸市中央区,磯辺通３丁目２番１７号ＫＯＷＡワールド三宮ビル６階,6510084
1010001143028,株式会社ＮＡＳＨ,兵庫県,神戸市中央区,磯辺通１丁目１番１８号カサベラ国際プラザビル７０７,6510084
1010401027086,ベスビウスジャパン株式会社,兵庫県,神戸市中央区,御幸通６丁目１番１０号,6510087
1010401080671,サンテプラス株式会社,兵庫県,神戸市中央区,御幸通４丁目１番１０号ＹＡＹＡビル,6510087
1010401093582,株式会社ポラリス,兵庫県,神戸市中央区,磯辺通１丁目１番２０号ＫＯＷＡ　ＢＬＤＧ．６０２,6510084
1010401155993,株式会社オイル,兵庫県,神戸市中央区,元町通３丁目１７番５号福井ビル２０１,6500022
1010501032052,株式会社ＭｕＦＦ,兵庫県,神戸市中央区,琴ノ緒町４丁目６番９号，３号,6510094
1010501040971,ａｍｉｍａｒｕ株式会社,兵庫県,神戸市中央区,磯辺通１丁目１番１８号カサベラ国際プラザビル７０７号室,6510084
1010701039459,株式会社ＩＴグローバルブレイン,兵庫県,神戸市中央区,三宮町１丁目４番９号,6500021
1010701039475,株式会社レイロ,兵庫県,神戸市中央区,八幡通１丁目１番１２号,6510085
1010801018750,株式会社トレチーメ,兵庫県,神戸市中央区,中山手通３丁目２番１−３００６号,6500004
1010901048648,ＣＢＤ　ＪＡＰＡＮ株式会社,兵庫県,神戸市中央区,栄町通３丁目３番５号栄町マリンビル４０１,6500023
1011001035330,株式会社ジャパン・トランスポート・エンジニアリング,兵庫県,神戸市中央区,元町通５丁目２番３甲南サンシティ元町８１３号室,6500022
1011001068421,株式会社都市環境,兵庫県,神戸市中央区,二宮町３丁目１０番６号,6510093
1011001072596,株式会社アクアジャパン,兵庫県,神戸市中央区,中町通４丁目１番６号,6500027
1011001106544,株式会社ＭＡＸマネジメント・インターナショナル,兵庫県,神戸市中央区,北長狭通２丁目５−９グランドプラザトーアビル２Ｆ,6500012
1011001137416,株式会社つらなり,兵庫県,神戸市中央区,新港町７番１号,6500041
1011101093591,株式会社ＧｏｔｈａｍＦＣ,兵庫県,神戸市中央区,生田町２丁目６番１０号押本ビル２階,6510092
1011101093831,Ａｓｈｉｂａ株式会社,兵庫県,神戸市中央区,磯辺通１丁目１−１８,6510084
1011201009984,株式会社ミリディア,兵庫県,神戸市中央区,神若通１丁目２番９号,6510067
1011401015469,メディカルサイト株式会社,兵庫県,神戸市中央区,二宮町３丁目１番５−４０２号,6510093
1013201000832,株式会社ミックウェアオートモーティブ,兵庫県,神戸市中央区,浪花町５９番地,6500035
1013201015772,株式会社バンディット,兵庫県,神戸市中央区,御幸通４丁目１番１５−６０５号,6510087
1040001034505,ＣＲＹＰＷＯＲＬＤ　ＪＡＰＡＮ株式会社,兵庫県,神戸市中央区,加納町２丁目８番１０−３０６号,6500001
1040001073230,ビジュアルメーカー株式会社,兵庫県,神戸市中央区,江戸町１０４番江戸町１０４ビル,6500033
1040001116518,日進株式会社,兵庫県,神戸市中央区,浜辺通６丁目１番１ワコーレシティ神戸三宮３２０,6510083
1080102008206,株式会社キムラタンプロパティ,兵庫県,神戸市中央区,京町８３番地三宮センチュリービル,6500034
1080401010242,ＡＣリアルエステイト株式会社,兵庫県,神戸市中央区,磯辺通２丁目２番２５号,6510084
1100001024276,神栄キャパシタ株式会社,兵庫県,神戸市中央区,京町７７番地の１,6500034
1120001006223,株式会社淳久堂書店,兵庫県,神戸市中央区,三宮町１丁目６番１８号,6500021
1120001036146,株式会社パラダイス・ピクチャーズ,兵庫県,神戸市中央区,栄町通２丁目３番３,6500023
1120001046673,阪神サービス株式会社,兵庫県,神戸市中央区,海岸通１丁目１番１号,6500024
1120001059626,カツヤマキカイ株式会社,兵庫県,神戸市中央区,神戸空港３番地１２,6500048
1120001063859,株式会社コスモ経営,兵庫県,神戸市中央区,港島１丁目１番地の９イトーピア神戸ポートアイランド１０１３号,6500045
1120001067793,東洋理研株式会社,兵庫県,神戸市中央区,浜辺通２丁目１番３０号,6510083
1120001088179,株式会社風月樓,兵庫県,神戸市中央区,加納町４丁目９番２４号,6500001
1120001093609,株式会社ウイスター,兵庫県,神戸市中央区,東町１２２番２港都ビル五階,6500031
1120001120263,ＬＲＭ株式会社,兵庫県,神戸市中央区,栄町通１丁目２番１０号読売神戸ビル５Ｆ,6500023
1120001120412,株式会社エヌ・シー,兵庫県,神戸市中央区,加納町６丁目３番１−２２０５号,6500001
1120001127028,株式会社ＧＯＰ警備保障,兵庫県,神戸市中央区,磯辺通４丁目１番８号,6510084
1120001127523,株式会社フーマ,兵庫県,神戸市中央区,下山手通２丁目１３番３号,6500011
1120001129503,株式会社エイデック,兵庫県,神戸市中央区,東川崎町１丁目５番８−１００８号,6500044
1120001129940,ＣＣＩ株式会社,兵庫県,神戸市中央区,加納町２丁目１０番１６号,6500001
1120001131244,株式会社コーチングファームジャパン,兵庫県,神戸市中央区,相生町４丁目３番４号,6500025
1120001133793,株式会社Ｕメディカルコーポレーション,兵庫県,神戸市中央区,海岸通４番地新明海ビル３階,6500024
1120001136243,株式会社アクティ,兵庫県,神戸市中央区,二宮町４丁目７番５号,6510093
