法人番号,法人名,都道府県,市区町村,番地,郵便番号
1020001123598,株式会社ＯＸ,兵庫県,神戸市兵庫区,大開通２丁目３番２１号,6520803
1070001036597,株式会社壱丈青,兵庫県,神戸市兵庫区,湊町３丁目３番７号,6520812
1120001056292,株式会社セーフティ,兵庫県,神戸市兵庫区,大開通８丁目１番１６号,6520803
1120001228065,株式会社ＤｉＬｕｃａ,兵庫県,神戸市兵庫区,松本通５丁目２番１４号,6520045
1120901027467,株式会社Ｅｓｓｅｎｃｅ,兵庫県,神戸市兵庫区,中道通１丁目１番８号,6520801
1130001042556,株式会社嘉覧,兵庫県,神戸市兵庫区,西出町１番地の３１,6520822
1130001048173,株式会社Ｂ‐ＤＡＳＨ,兵庫県,神戸市兵庫区,大開通２丁目１番６−６０１号,6520803
1140001003177,ＤＭ神戸株式会社,兵庫県,神戸市兵庫区,水木通１０丁目２番１５号,6520802
1140001004101,株式会社味希,兵庫県,神戸市兵庫区,築地町２４番,6520845
1140001004126,株式会社三宅製針商会,兵庫県,神戸市兵庫区,築地町３２番地,6520845
1140001005363,株式会社マツムラ,兵庫県,神戸市兵庫区,上沢通１丁目１番２５号,6520046
1140001005933,株式会社アドゲイン,兵庫県,神戸市兵庫区,芦原通２丁目１番２７号,6520882
1140001006114,イザック株式会社,兵庫県,神戸市兵庫区,下沢通３丁目３番８号,6520047
1140001006378,株式会社エイト設計,兵庫県,神戸市兵庫区,新開地５丁目１番７号,6520811
1140001006733,株式会社オゾネ企画,兵庫県,神戸市兵庫区,三川口町１丁目１番２４ー３０１号甲南ドエル兵庫３０１号,6520815
1140001007178,協和開発株式会社,兵庫県,神戸市兵庫区,羽坂通２丁目１番２３号,6520805
1140001007541,甲南防災株式会社,兵庫県,神戸市兵庫区,小河通１丁目１番１７号,6520895
1140001008416,株式会社シンミハウジング,兵庫県,神戸市兵庫区,山王町２丁目２番８号,6520011
1140001008507,株式会社青井,兵庫県,神戸市兵庫区,和田宮通３丁目２番３３号,6520863
1140001008606,白水設計株式会社,兵庫県,神戸市兵庫区,松原通４丁目４番２１号,6520881
1140001008688,株式会社住電,兵庫県,神戸市兵庫区,下沢通３丁目４番２７号,6520047
1140001009067,株式会社大超住建,兵庫県,神戸市兵庫区,西出町１丁目４番６号,6520822
1140001009876,株式会社ユーリックス,兵庫県,神戸市兵庫区,里山町６４６番地の１０,6520051
1140001012376,相田運輸株式会社,兵庫県,神戸市兵庫区,築地町１番２６号,6520845
1140001012392,株式会社明石屋,兵庫県,神戸市兵庫区,荒田町２丁目１８番２０−１０７号,6520032
1140001012401,飛鳥貿易株式会社,兵庫県,神戸市兵庫区,千鳥町２丁目２−２５番地,6520022
1140001012418,アサヒ畜産株式会社,兵庫県,神戸市兵庫区,駅前通２丁目１番１５−９１２号,6520898
1140001012426,株式会社吾妻,兵庫県,神戸市兵庫区,島上町２丁目１番２８号,6520833
1140001012434,株式会社アダチ,兵庫県,神戸市兵庫区,駅南通３丁目５番１６号,6520897
1140001012450,株式会社アローテックス,兵庫県,神戸市兵庫区,上沢通６丁目９番１２号,6520046
1140001012467,株式会社家馬工務店,兵庫県,神戸市兵庫区,大開通５丁目２番１号,6520803
1140001012475,池本電機工業株式会社,兵庫県,神戸市兵庫区,須佐野通２丁目１番２号,6520896
1140001012491,株式会社石原鶏卵,兵庫県,神戸市兵庫区,塚本通５丁目１番９号,6520804
1140001012500,株式会社石本商店,兵庫県,神戸市兵庫区,大開通１丁目１番３号,6520803
1140001012509,株式会社板倉商店,兵庫県,神戸市兵庫区,中之島２丁目１番２号,6520844
1140001012525,井上輪業株式会社,兵庫県,神戸市兵庫区,船大工町２番１６号,6520843
1140001012533,株式会社今井興業,兵庫県,神戸市兵庫区,松本通７丁目１番３５号,6520045
1140001012541,株式会社岩崎工務店,兵庫県,神戸市兵庫区,本町２丁目３番２９号,6520834
