法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010401086504,株式会社ＭＯＭＯ　Ｓｔｙｌｅ,兵庫県,神戸市北区,星和台２丁目８４番１号,6511121
1010401091751,ウィンテックス株式会社,兵庫県,神戸市北区,桂木３丁目３２番地の２エスポアシティ神戸北町２０２号,6511223
1010401116789,株式会社クォータースキーム,兵庫県,神戸市北区,谷上東町７番６,6511245
1020001093585,川サキ総合研究所株式会社,兵庫県,神戸市北区,星和台１丁目１３番８,6511121
1021001060559,株式会社ＬＡＮＡＩ　ＭＡＫＡＩ,兵庫県,神戸市北区,北五葉４丁目１４−１,6511131
1120001080565,エピアンダイニング株式会社,兵庫県,神戸市北区,有馬町１２２９番地の２−６１８号,6511401
1120001092271,株式会社ルナ神戸,兵庫県,神戸市北区,鈴蘭台北町４丁目１番３２−５０４号,6511111
1120001100793,ベンチャーブレインインターナショナル株式会社,兵庫県,神戸市北区,緑町８丁目１番１１−８０４号,6511221
1120001132192,株式会社ＡＩ都市開発,兵庫県,神戸市北区,有馬町１８８番地の３２,6511401
1120001142935,株式会社ＯＳＣエンジニアリング,兵庫県,神戸市北区,長尾町宅原１８９６−１,6511511
1120001186338,大阪アパレル輸入商事株式会社,兵庫県,神戸市北区,有野町唐櫃２９３１−３３,6511331
1120001208554,盛通株式会社,兵庫県,神戸市北区,有野町唐櫃４０２９−６,6511331
1120001254359,辰光文創株式会社,兵庫県,神戸市北区,甲栄台１丁目１０番１２号,6511142
1120101059336,株式会社ＧＥＮＥＡＳ,兵庫県,神戸市北区,有野町有野１１０８番地２０３号,6511312
1130001062918,永田工業株式会社,兵庫県,神戸市北区,幸陽町３丁目１５番地の１３,6511203
1140001003821,日産映画興業株式会社,兵庫県,神戸市北区,泉台３丁目３７番地の２,6511141
1140001003854,のじぎく観光株式会社,兵庫県,神戸市北区,淡河町北僧尾１６０番地,6511601
1140001006923,カドヤ産業株式会社,兵庫県,神戸市北区,杉尾台１丁目１番地の５,6511146
1140001007525,株式会社輝地興産,兵庫県,神戸市北区,日の峰４丁目１３番地の２１,6511233
1140001008060,株式会社サンヨーメタル,兵庫県,神戸市北区,柏尾台１４番地の６,6511255
1140001009331,株式会社中央タイル,兵庫県,神戸市北区,君影町３丁目１番２６−１０６号,6511122
1140001012293,日本リバテック株式会社,兵庫県,神戸市北区,桂木２丁目２６番地の１７,6511223
1140001012599,株式会社江川商店,兵庫県,神戸市北区,星和台４丁目７番地の４,6511121
1140001013226,株式会社シスコム,兵庫県,神戸市北区,星和台２丁目８１番地の５,6511121
1140001014538,株式会社リード,兵庫県,神戸市北区,筑紫が丘３丁目１４番地の２０,6511212
1140001014744,株式会社グローバルマネジメント,兵庫県,神戸市北区,泉台５丁目１０番地の１４,6511141
1140001014760,株式会社アクト,兵庫県,神戸市北区,京地２丁目１０番地の８,6511304
1140001014785,有馬観光開発株式会社,兵庫県,神戸市北区,有馬町１２０５番地,6511401
1140001014802,株式会社イケ・マリーン,兵庫県,神戸市北区,唐櫃台２丁目１５番２６号,6511332
1140001014819,戌亥産業株式会社,兵庫県,神戸市北区,山田町下谷上字中段３２番地,6511243
1140001014827,株式会社う越利,兵庫県,神戸市北区,有馬町８３８番地,6511401
1140001014851,株式会社エネックス,兵庫県,神戸市北区,有野台１丁目４番の８,6511321
1140001014876,株式会社奥村幸治商店,兵庫県,神戸市北区,鈴蘭台東町６丁目３番７号,6511112
1140001014884,カーリペアサンセブン株式会社,兵庫県,神戸市北区,有野町有野３７３０番地の２,6511312
1140001014892,株式会社梶米穀店,兵庫県,神戸市北区,有馬町２６２番地,6511401
1140001014926,株式会社木戸酒店,兵庫県,神戸市北区,鈴蘭台東町１丁目１２番１６号,6511112
1140001014959,株式会社ゲスト・ハート,兵庫県,神戸市北区,大原３丁目４番地の１３,6511222
1140001014975,株式会社浩陽,兵庫県,神戸市北区,鈴蘭台南町４丁目３番２０号,6511113
1140001014991,株式会社コスモエアーシステム,兵庫県,神戸市北区,筑紫が丘７丁目６番地の１３,6511212
1140001015024,サンセブンレッカー株式会社,兵庫県,神戸市北区,有野町有野３７３０番地の２,6511312
1140001015065,株式会社伸光,兵庫県,神戸市北区,山田町小部字大東１２−１９,6511101
1140001015098,神有デンソー株式会社,兵庫県,神戸市北区,道場町平田字落合迎１１０４番地の１,6511504
1140001015107,信和興産株式会社,兵庫県,神戸市北区,桂木２丁目１７番地の５,6511223
1140001015123,株式会社ストリート,兵庫県,神戸市北区,鈴蘭台西町４丁目８番８号,6511114
1140001015131,セイコー産業株式会社,兵庫県,神戸市北区,南五葉６丁目２番９号,6511132
1140001015148,株式会社エヌシーシー,兵庫県,神戸市北区,鈴蘭台北町１丁目２２番１４号,6511111
1140001015156,株式会社大幸,兵庫県,神戸市北区,山田町小部字妙賀１０番地の８,6511101
1140001015164,大成土地株式会社,兵庫県,神戸市北区,山田町西下字押部道１６番地の１,6511263
1140001015172,第二六甲ゴルフ株式会社,兵庫県,神戸市北区,山田町西下字押部道１６番地の１,6511263
1140001015180,太陽ヘルスフーズ株式会社,兵庫県,神戸市北区,鈴蘭台北町５丁目１１番１号,6511111
1140001015189,竹中産業株式会社,兵庫県,神戸市北区,有馬町１４５番地の１,6511401
1140001015214,中央クリエイション株式会社,兵庫県,神戸市北区,鈴蘭台南町３丁目７番２４号,6511113
1140001015222,天建興産株式会社,兵庫県,神戸市北区,山田町小部字妙賀１０番地の８,6511101
1140001015230,株式会社土井,兵庫県,神戸市北区,藤原台北町６丁目１１番１１号,6511301
1140001015255,株式会社中野工務店,兵庫県,神戸市北区,淡河町野瀬３５０番地,6511623
1140001015263,株式会社中村フーズ,兵庫県,神戸市北区,星和台２丁目８６番地の１４,6511121
1140001015271,ナリックス株式会社,兵庫県,神戸市北区,泉台２丁目２番１（２−５０４号）,6511141
1140001015288,株式会社祢木商店,兵庫県,神戸市北区,八多町上小名田３３番地,6511354
1140001015305,柏泉グリーン開発株式会社,兵庫県,神戸市北区,八多町深谷字梁ケ谷１０２５番の１,6511341
1140001015338,兵備株式会社,兵庫県,神戸市北区,藤原台南町３丁目６番１８号,6511303
1140001015354,ファミリー株式会社,兵庫県,神戸市北区,甲栄台１丁目２番３−１０４号,6511142
1140001015362,株式会社フクヤ,兵庫県,神戸市北区,桂木３丁目２２番地の１,6511223
1140001015379,株式会社二村組,兵庫県,神戸市北区,山田町下谷上字中一里山６番地１２３,6511102
1140001015395,株式会社ホーム,兵庫県,神戸市北区,惣山町５丁目９番地の６,6511145
1140001015404,北神開発株式会社,兵庫県,神戸市北区,山田町小部字一ツ鍬山１０番地の１,6511101
1140001015420,北鈴設備株式会社,兵庫県,神戸市北区,甲栄台１丁目７番８号,6511142
1140001015429,前芝商事株式会社,兵庫県,神戸市北区,鈴蘭台北町３丁目２番１号,6511111
1140001015437,株式会社満月堂,兵庫県,神戸市北区,淡河町淡河７５４番地の１,6511603
1140001015461,ミキ通設株式会社,兵庫県,神戸市北区,東大池３丁目４番１９号,6511333
1140001015478,株式会社ミナミエステート,兵庫県,神戸市北区,山田町上谷上字畑開地１１番地の１,6511242
1140001015486,株式会社ミヤザキ宝飾,兵庫県,神戸市北区,星和台５丁目７番地の１５５,6511121
1140001015511,安場建設株式会社,兵庫県,神戸市北区,八多町附物７５５番地の１,6511343
1140001015528,株式会社ユタカ設備工業,兵庫県,神戸市北区,緑町７丁目１番２９号,6511221
1140001015544,株式会社ワークス,兵庫県,神戸市北区,泉台４丁目１６番地の２,6511141
1140001015560,ワタナベ塗装株式会社,兵庫県,神戸市北区,八多町中１１３０番地,6511351
1140001015569,株式会社陵楓閣,兵庫県,神戸市北区,有馬町１５３７番地の２,6511401
1140001015577,株式会社レンギン中央,兵庫県,神戸市北区,有野町唐櫃字中ケ谷４０３８番７,6511331
1140001015602,神戸産業株式会社,兵庫県,神戸市北区,有野町有野７８０番地の１,6511312
1140001015627,兵庫ジャスコ株式会社,兵庫県,神戸市北区,南五葉２丁目１番３３−１０１号,6511132
1140001018992,株式会社兵庫電電サービス,兵庫県,神戸市北区,鈴蘭台南町３丁目９番２４号,6511113
1140001019181,日之出管財株式会社,兵庫県,神戸市北区,日の峰１丁目２２番地の１,6511233
1140001019215,株式会社アルアール,兵庫県,神戸市北区,鈴蘭台北町１丁目９番１号ベルスト鈴蘭台１Ｆ,6511111
1140001019768,株式会社北神戸生コン,兵庫県,神戸市北区,山田町小部字妙賀１１番地の３,6511101
1140001020098,株式会社セミナープランニングセンター,兵庫県,神戸市北区,花山中尾台１丁目２５番地の２,6511202
1140001020676,サンラックス株式会社,兵庫県,神戸市北区,大原２丁目８番地の８,6511222
1140001020809,株式会社アスク,兵庫県,神戸市北区,山田町下谷上字梅木谷２０番,6511243
1140001021055,株式会社創喜テック,兵庫県,神戸市北区,道場町塩田１９３０番地の９,6511502
1140001021385,株式会社明日香,兵庫県,神戸市北区,西大池１丁目３４番３１号,6511201
1140001021575,神戸空港タクシー株式会社,兵庫県,神戸市北区,山田町下谷上字下の勝７,6511243
1140001022557,株式会社ワールドビジネス,兵庫県,神戸市北区,鈴蘭台北町２丁目４番４号,6511111
1140001022788,株式会社ファミリー葬,兵庫県,神戸市北区,北五葉６丁目１４番３０号,6511131
1140001023076,株式会社自然塾,兵庫県,神戸市北区,道場町塩田２０２８番地の３,6511502
1140001023274,株式会社さくら建装,兵庫県,神戸市北区,有野台７丁目５番地の１,6511321
1140001023506,ラピス工業株式会社,兵庫県,神戸市北区,藤原台中町６丁目１９番６号,6511302
1140001023530,株式会社社会システム総合研究所,兵庫県,神戸市北区,花山中尾台１丁目７番地の１,6511202
1140001023539,株式会社常晴,兵庫県,神戸市北区,有野町有野１６６２ー１,6511312
1140001023547,株式会社アイブリッジ,兵庫県,神戸市北区,桂木２丁目１７番１,6511223
1140001023679,株式会社ヒョウ工務店,兵庫県,神戸市北区,有野町有野８１３−２,6511312
1140001023885,株式会社アスク,兵庫県,神戸市北区,有馬町１７０番地の４,6511401
1140001024280,株式会社健友会ホールディングス,兵庫県,神戸市北区,山田町下谷上字門口９番地の４,6511243
1140001024454,株式会社アリスト,兵庫県,神戸市北区,鹿の子台北町６丁目１９番６号,6511513
1140001025023,株式会社清浄野菜普及研究所,兵庫県,神戸市北区,赤松台２丁目２番８号,6511516
1140001025097,株式会社サニープレイス神戸,兵庫県,神戸市北区,鈴蘭台南町９丁目３番４号,6511113
1140001025361,ＣｏｐｙＣａｔ株式会社,兵庫県,神戸市北区,山田町西下字押部通２６−１,6511263
1140001025378,株式会社ゾンネ企画,兵庫県,神戸市北区,東有野台３丁目８番地の５,6511322
1140001025394,株式会社田上商店,兵庫県,神戸市北区,北五葉３丁目８番４１号,6511131
1140001025403,株式会社ナガエ企画,兵庫県,神戸市北区,京地２丁目１４番地の１６,6511304
1140001025584,真面目食品株式会社,兵庫県,神戸市北区,青葉台３６番３号,6511231
1140001025626,株式会社オーシャンビューティー,兵庫県,神戸市北区,藤原台南町２丁目７番７号,6511303
1140001025766,株式会社山まる園,兵庫県,神戸市北区,有野台６丁目１２番地の２,6511321
1140001025840,株式会社アステック・クリエイト,兵庫県,神戸市北区,鈴蘭台西町５丁目１６番１号,6511114
1140001025849,株式会社オーシャンネットワーク,兵庫県,神戸市北区,星和台６丁目７番地の３,6511121
1140001026161,株式会社パーソナルコネクト,兵庫県,神戸市北区,菖蒲が丘１丁目５３４−５９,6511306
1140001026351,株式会社イーエスビー,兵庫県,神戸市北区,鈴蘭台南町４丁目５番１５号,6511113
1140001026483,株式会社川上商店,兵庫県,神戸市北区,有馬町１１９３番地,6511401
1140001026582,株式会社マルエイ,兵庫県,神戸市北区,山田町西下字才谷１５番地の２,6511263
1140001026855,株式会社宏建,兵庫県,神戸市北区,大沢町簾３７３−１２,6511526
1140001026962,株式会社フェリチタ,兵庫県,神戸市北区,山田町下谷上字門口４番地の１,6511243
1140001027127,株式会社エコ．アース,兵庫県,神戸市北区,泉台７丁目２番地１−４−５０５,6511141
1140001027184,株式会社マツナミアートオフィス,兵庫県,神戸市北区,鹿の子台南町４丁目１２番１号,6511514
1140001027291,株式会社古都,兵庫県,神戸市北区,星和台４丁目１７番地の４,6511121
1140001027523,山下商事株式会社,兵庫県,神戸市北区,藤原台南町３丁目１１番１−Ａ２０１号,6511303
1140001027779,株式会社マテリアルソルーション,兵庫県,神戸市北区,広陵町２丁目７９番地,6511213
1140001027853,株式会社Ｋ・Ｍ企画,兵庫県,神戸市北区,西山２丁目２５番地の１８,6511305
1140001028868,株式会社大優,兵庫県,神戸市北区,八多町深谷３６５番地の１,6511341
1140001029750,東栄交通株式会社,兵庫県,神戸市北区,山田町下谷上字下の勝１０−１,6511243
1140001030007,株式会社松本酒店,兵庫県,神戸市北区,泉台２丁目２１番地２,6511141
1140001030048,株式会社ＧＰＳ,兵庫県,神戸市北区,鳴子２丁目２０番地の１２,6511133
1140001030163,万養ホロン株式会社,兵庫県,神戸市北区,東大池１丁目１番２４−２０１号,6511333
1140001030394,株式会社ジョイユ,兵庫県,神戸市北区,若葉台４丁目１番１０号ハイム北鈴１０３,6511143
1140001030411,株式会社ＩＴＶｉｓｉｏｎ,兵庫県,神戸市北区,南五葉２丁目１番１１号,6511132
1140001030502,株式会社サイバーアウェイク,兵庫県,神戸市北区,道場町生野１１７２番地の６４２,6511503
1140001030535,株式会社リバーサイド,兵庫県,神戸市北区,谷上東町２０番６号,6511245
1140001030709,株式会社ワイズアソシエイツ,兵庫県,神戸市北区,星和台６丁目５番地の９,6511121
1140001030956,株式会社エンディング・プロデュース,兵庫県,神戸市北区,有野町唐櫃３３２４番地７,6511331
1140001031120,関西キャディサポート株式会社,兵庫県,神戸市北区,藤原台北町４丁目９番６号,6511301
1140001031137,株式会社オフィス・ケイ,兵庫県,神戸市北区,藤原台中町２丁目９番１２号,6511302
1140001031260,株式会社祥南,兵庫県,神戸市北区,鹿の子台北町７丁目２１番１号,6511513
1140001031302,株式会社北町総合センター,兵庫県,神戸市北区,日の峰２丁目３番地の１,6511233
1140001031335,株式会社運輸ビジネスリサーチ,兵庫県,神戸市北区,鹿の子台北町６丁目３０番３号,6511513
1140001031392,株式会社Ｋ−スタイル,兵庫県,神戸市北区,山田町小部字ヲモ谷８番地の１,6511101
1140001031467,株式会社フロッサム＆ジェッサム,兵庫県,神戸市北区,藤原台中町２丁目８番６号,6511302
