法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010901030309,株式会社ウエントライフコーポレーション,兵庫県,神戸市垂水区,多聞台１丁目６番９号,6550007
1020001097330,株式会社Ｓｕｎｎｙ　ｏｎ　Ｗｉｎｇｓ,兵庫県,神戸市垂水区,東舞子町１８−２０−Ｂ１Ｆ,6550047
1100001013782,株式会社ＵＴＬ,兵庫県,神戸市垂水区,塩屋町１丁目３番１１号ＥＲＣｉｔｙ’ｓ塩屋みなと２Ｆ,6550872
1120001019241,株式会社リョーワ,兵庫県,神戸市垂水区,つつじが丘７丁目１４番地の１,6550853
1120001082272,株式会社スミダ酸素商会,兵庫県,神戸市垂水区,福田４丁目３番１８号,6550013
1120001135105,浜口株式会社,兵庫県,神戸市垂水区,千代が丘２丁目５番１２−４０２号,6550018
1120001187889,株式会社ブランズホーム,兵庫県,神戸市垂水区,千鳥が丘１丁目３番２２号,6550011
1120101031807,近畿産業株式会社,兵庫県,神戸市垂水区,狩口台２丁目５番５号,6550049
1120101056597,スマートランド株式会社,兵庫県,神戸市垂水区,仲田１丁目１番３７号２Ｆ,6550034
1120901033085,株式会社インプローブ,兵庫県,神戸市垂水区,霞ケ丘４丁目４番３１−２０１号,6550039
1130001057100,株式会社サードアロー,兵庫県,神戸市垂水区,天ノ下町５番１号,6550029
1140001000645,バウ環境色彩計画株式会社,兵庫県,神戸市垂水区,塩屋町１丁目５番８−５０６号,6550872
1140001001395,ケイエス・システム株式会社,兵庫県,神戸市垂水区,山手１丁目６番２３号,6550891
1140001005149,株式会社ナカタニ・ランド＆エステート,兵庫県,神戸市垂水区,学が丘４丁目１４番１１号,6550004
1140001005768,株式会社パーソナルビューティー,兵庫県,神戸市垂水区,学が丘２丁目１番４２０−４０２号,6550004
1140001007450,株式会社倉本商店,兵庫県,神戸市垂水区,塩屋北町３丁目１番９号,6550863
1140001007905,株式会社三宗都市建築研究所,兵庫県,神戸市垂水区,西舞子９丁目１３番６号,6550048
1140001008250,株式会社新神戸システム,兵庫県,神戸市垂水区,舞子坂１丁目９番８３号,6550044
1140001009059,大同電子工業株式会社,兵庫県,神戸市垂水区,高丸１丁目６番１４号,6550016
1140001009083,太平船舶工業株式会社,兵庫県,神戸市垂水区,桃山台３丁目２２番地の１３,6550854
1140001009711,株式会社トミモリ塗装,兵庫県,神戸市垂水区,本多聞２丁目１２番４号,6550006
1140001009843,株式会社ナンバーアイ,兵庫県,神戸市垂水区,塩屋町６丁目３４番２１号,6550872
1140001010272,株式会社ピーエスシー,兵庫県,神戸市垂水区,つつじが丘７丁目１７３４番地の２２３,6550853
1140001011691,株式会社若松物産,兵庫県,神戸市垂水区,千代が丘１丁目４番１９号,6550018
1140001013242,株式会社神文館,兵庫県,神戸市垂水区,多聞台１丁目１３番１０号,6550007
1140001013614,株式会社中京遊技,兵庫県,神戸市垂水区,山手５丁目３番３号,6550891
1140001017986,株式会社メゾンドセイゲツ,兵庫県,神戸市垂水区,日向２丁目６番１６号,6550893
1140001018134,アーク株式会社,兵庫県,神戸市垂水区,狩口台６丁目９番地,6550049
1140001018142,株式会社あおの,兵庫県,神戸市垂水区,城が山４丁目３番７号,6550884
1140001018159,株式会社アスカ商会,兵庫県,神戸市垂水区,南多聞台４丁目９番１７号,6550043
1140001018175,有元温調株式会社,兵庫県,神戸市垂水区,舞子坂１丁目１０番３６号,6550044
1140001018191,株式会社石田建設,兵庫県,神戸市垂水区,霞ケ丘３丁目７番２２号,6550039
1140001018200,猪熊建設株式会社,兵庫県,神戸市垂水区,名谷町字柄立原２０３３番の１,6550852
1140001018209,上野興産株式会社,兵庫県,神戸市垂水区,南多聞台４丁目４番２６号,6550043
1140001018233,株式会社エスティーシィー,兵庫県,神戸市垂水区,朝谷町４番地の８,6550862
1140001018241,株式会社エムアンドシー,兵庫県,神戸市垂水区,陸ノ町１番２８号,6550026
1140001018258,オカトク株式会社,兵庫県,神戸市垂水区,名谷町字向井畑３５６７番地,6550852
1140001018274,株式会社科学研究所,兵庫県,神戸市垂水区,舞子坂３丁目１２番７号,6550044
1140001018308,近畿プラントサービス株式会社,兵庫県,神戸市垂水区,学が丘４丁目８番２０号,6550004
1140001018316,株式会社キヌモト,兵庫県,神戸市垂水区,小束山４丁目５番地の１,6550002
1140001018332,株式会社キャリード,兵庫県,神戸市垂水区,松風台２丁目５番２−８１０号,6550871
1140001018340,株式会社クボタ,兵庫県,神戸市垂水区,青山台１丁目６番２７号,6550873
1140001018349,株式会社ケイイイピイ,兵庫県,神戸市垂水区,桃山台２丁目１６番地,6550854
1140001018357,株式会社ゴーイング,兵庫県,神戸市垂水区,東舞子町７−１７エステート舞子ビル３階３０１号,6550047
1140001018365,向洋建設株式会社,兵庫県,神戸市垂水区,上高丸３丁目１３番２−１０５号,6550017
1140001018373,株式会社コクピット名谷,兵庫県,神戸市垂水区,名谷町字梨原２３５５番地の１,6550852
1140001018381,株式会社五大五,兵庫県,神戸市垂水区,本多聞６丁目１５番２３号,6550006
1140001018398,三幸物産株式会社,兵庫県,神戸市垂水区,潮見が丘１丁目４番１８号,6550005
1140001018407,三協建設工業株式会社,兵庫県,神戸市垂水区,塩屋北町４丁目３番８号,6550863
1140001018423,株式会社サン・ビルダー,兵庫県,神戸市垂水区,霞ケ丘４丁目３番５号,6550039
1140001018431,三和産業株式会社,兵庫県,神戸市垂水区,学が丘４丁目２４番１４号,6550004
1140001018456,株式会社重清組,兵庫県,神戸市垂水区,下畑町字清玄作山５５０番地の２０,6550861
1140001018472,神明工務株式会社,兵庫県,神戸市垂水区,下畑町字龍ノ庭５３８番地の１７,6550861
1140001018480,シマモトケミカル株式会社,兵庫県,神戸市垂水区,星陵台４丁目３番１３号,6550038
1140001018489,株式会社上信工業,兵庫県,神戸市垂水区,多聞台２丁目４番２８号,6550007
1140001018497,昭和建設工業株式会社,兵庫県,神戸市垂水区,美山台１丁目１０番３６号,6550874
1140001018506,株式会社スクール,兵庫県,神戸市垂水区,塩屋町４丁目３番４０号,6550872
1140001018514,株式会社スミトモ,兵庫県,神戸市垂水区,桃山台２丁目５番地の１,6550854
1140001018522,株式会社セイビ建装,兵庫県,神戸市垂水区,下畑町字雲星４９８番地の２,6550861
1140001018539,大建工業株式会社,兵庫県,神戸市垂水区,下畑町字下代１２７番地,6550861
1140001018571,株式会社タチバナ,兵庫県,神戸市垂水区,西舞子７丁目１４番１４号,6550048
1140001018588,株式会社垂水医療機器,兵庫県,神戸市垂水区,陸ノ町２番２号Ｔ．Ｉ．Ｇａｒｄｅｎ２０１号,6550026
1140001018596,株式会社垂水重機,兵庫県,神戸市垂水区,舞多聞西７丁目１４番６号,6550051
1140001018605,中央興業株式会社,兵庫県,神戸市垂水区,歌敷山２丁目８番１５号,6550037
1140001018638,株式会社徳屋化粧品店,兵庫県,神戸市垂水区,日向１丁目４番１−１１０５号,6550893
1140001018646,株式会社鳥宇商店,兵庫県,神戸市垂水区,神田町７番４号,6550027
1140001018670,西灘運送株式会社,兵庫県,神戸市垂水区,上高丸３丁目９番１５号,6550017
1140001018679,日生工業株式会社,兵庫県,神戸市垂水区,下畑町字雲星５１７の１,6550861
1140001018695,株式会社バウシス,兵庫県,神戸市垂水区,東舞子町１０番１号ティオ舞子３０４号室,6550047
1140001018712,株式会社青雲,兵庫県,神戸市垂水区,星陵台１丁目９番２１号,6550038
1140001018720,ハリマ建設株式会社,兵庫県,神戸市垂水区,五色山８丁目１番５５−１０１号,6550035
1140001018745,株式会社ファミリー住販,兵庫県,神戸市垂水区,星が丘３丁目４番２１号,6550032
1140001018761,株式会社冨士徳,兵庫県,神戸市垂水区,西舞子１丁目８番３号,6550048
1140001018786,株式会社ベビーツーワン,兵庫県,神戸市垂水区,名谷町字押戸３０２番地の３,6550852
1140001018803,舞子神姫タクシー株式会社,兵庫県,神戸市垂水区,星陵台４丁目１７９番３５５,6550038
1140001018836,マルワ食産株式会社,兵庫県,神戸市垂水区,美山台１丁目２番４８号,6550874
1140001018852,株式会社ミドリヤ,兵庫県,神戸市垂水区,五色山３丁目１番４１−３０５号,6550035
1140001018869,村上工芸株式会社,兵庫県,神戸市垂水区,下畑町字鷲ケ尾３０３番地４８,6550861
1140001018910,株式会社ユウエキ,兵庫県,神戸市垂水区,西舞子７丁目１６番４−２０３号,6550048
1140001018919,吉栄建設株式会社,兵庫県,神戸市垂水区,五色山１丁目３番４号,6550035
1140001018927,ワイズ工業株式会社,兵庫県,神戸市垂水区,城が山５丁目６番５号,6550884
1140001018943,株式会社レスペランド神戸,兵庫県,神戸市垂水区,王居殿１丁目７番１０号,6550883
1140001019280,サンギ株式会社,兵庫県,神戸市垂水区,山手３丁目９番６号,6550891
1140001019586,株式会社双信,兵庫県,神戸市垂水区,神陵台３丁目２番４−１００５号,6550041
1140001020180,株式会社フロイデ,兵庫県,神戸市垂水区,朝谷町１６番地の９,6550862
1140001020593,株式会社天商,兵庫県,神戸市垂水区,王居殿３丁目４番１０号,6550883
1140001021212,八千代貿易株式会社,兵庫県,神戸市垂水区,本多聞６丁目１１番９号,6550006
1140001021237,株式会社新井運輸,兵庫県,神戸市垂水区,下畑町字雲星４９８番地の４８,6550861
1140001021914,株式会社エイ・シーアンドティ,兵庫県,神戸市垂水区,多聞台４丁目６番８号,6550007
1140001022375,双葉海運株式会社,兵庫県,神戸市垂水区,狩口台５丁目１０番１３号,6550049
1140001022581,神戸ユニバーシティ開発株式会社,兵庫県,神戸市垂水区,多聞町字小束山８６８番地,6550001
1140001022615,株式会社ＮＰＣ,兵庫県,神戸市垂水区,平磯４丁目４番７号,6550892
1140001023101,株式会社セイエイ,兵庫県,神戸市垂水区,学が丘３丁目４番３−１３１４号,6550004
1140001023737,株式会社わらべ,兵庫県,神戸市垂水区,平磯４丁目４番１２号,6550892
1140001023786,日中産業株式会社,兵庫県,神戸市垂水区,舞子坂３丁目１８番２６号,6550044
1140001023943,株式会社ジー・エス・エス大阪,兵庫県,神戸市垂水区,舞子台６丁目１番１２号,6550046
1140001024223,株式会社イング・コーポレーション,兵庫県,神戸市垂水区,福田１丁目７番４３号,6550013
1140001024231,株式会社光塗装工業所,兵庫県,神戸市垂水区,舞多聞西５丁目１０番１号,6550051
