法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010001052526,ドルフィントレーディング株式会社,兵庫県,神戸市東灘区,向洋町中６丁目９番地,6580032
1010401101064,株式会社ベルウイフペット,兵庫県,神戸市東灘区,住吉山手８丁目１２番９号,6580063
1010401163749,株式会社ｅ４３１,兵庫県,神戸市東灘区,向洋町東３丁目１２番地,6580031
1010701030401,株式会社７ｔｈ　ｈｅａｖｅｎ＆Ｃｏ．,兵庫県,神戸市東灘区,魚崎南町１丁目６番３号,6580025
1011001071425,株式会社プロテクト,兵庫県,神戸市東灘区,御影３丁目２番１１号,6580047
1011501028957,楽星株式会社,兵庫県,神戸市東灘区,向洋町中９丁目１番地の１２−２１８号,6580032
1012401019600,株式会社レマジャパン,兵庫県,神戸市東灘区,田中町３丁目５番１４号,6580081
1013201016473,株式会社富士テクノトランス,兵庫県,神戸市東灘区,向洋町東３丁目１６番地１,6580031
1021001006215,株式会社カルペディエム,兵庫県,神戸市東灘区,西岡本７丁目１５番９号,6580073
1040001112863,株式会社アリカ,兵庫県,神戸市東灘区,御影１丁目１９番４号,6580047
1120001014135,株式会社Ｒｉｎｇ,兵庫県,神戸市東灘区,向洋町中５丁目４番２７号,6580032
1120001023598,株式会社サワイ商店,兵庫県,神戸市東灘区,岡本４丁目５番９号,6580072
1120001026650,株式会社浪速珍味食品,兵庫県,神戸市東灘区,深江浜町１１１番地の１,6580023
1120001035437,ダイコープロセス株式会社,兵庫県,神戸市東灘区,御影山手５丁目１９番４６号,6580065
1120001044297,株式会社シーピーオフィス,兵庫県,神戸市東灘区,御影石町２丁目２４番７号,6580045
1120001060542,家近産業株式会社,兵庫県,神戸市東灘区,住吉本町３丁目１０番２６−４０５号,6580051
1120001075508,株式会社エス・シー・エー,兵庫県,神戸市東灘区,鴨子ケ原２丁目３番１１−１０５号,6580064
1120001079013,株式会社コアティ建築設計,兵庫県,神戸市東灘区,住吉本町２丁目１０番２９−１０４号,6580051
1120001098938,株式会社エーエヌジー,兵庫県,神戸市東灘区,魚崎南町５丁目９−４８−４０４,6580025
1120001114257,ソフトビジョン株式会社,兵庫県,神戸市東灘区,森南町１丁目１２番２号,6580011
1120001125221,株式会社周防町筋リンケージ,兵庫県,神戸市東灘区,向洋町中１丁目１４番１４０４号,6580032
1120001137506,アールエナジー株式会社,兵庫県,神戸市東灘区,向洋町中６丁目９番地,6580032
1120001137885,株式会社ｆｒｏｕｆｒｏｕ,兵庫県,神戸市東灘区,御影２丁目２番１号,6580047
1120001139312,株式会社ヒロ,兵庫県,神戸市東灘区,深江浜町７６−１階１０３号,6580023
1120001160706,三星建工株式会社,兵庫県,神戸市東灘区,深江南町４丁目１０番地１２号１,6580022
1120001165655,東正工業株式会社,兵庫県,神戸市東灘区,住吉本町１丁目１０番５６号７１２,6580051
1120001180968,株式会社Ｓｐｉｃｅ　Ｊａｐａｎ,兵庫県,神戸市東灘区,深江浜町１−１Ｃ−１,6580023
1120001189101,ＴＫＳ株式会社,兵庫県,神戸市東灘区,青木２丁目１４番２１−６０１号,6580027
1120001194101,株式会社美尚,兵庫県,神戸市東灘区,住吉山手７丁目６−８,6580063
1120001207291,株式会社八月木槿,兵庫県,神戸市東灘区,御影山手４丁目１３番１２号,6580065
1120001209668,本一堂株式会社,兵庫県,神戸市東灘区,向洋町中６丁目９番地８Ｃ−１４,6580032
1120001214197,株式会社トップライン,兵庫県,神戸市東灘区,向洋町中７丁目２番地の１、３番館１１０１号,6580032
1120001257659,ａｌｐｅｎｇｌｏｗ株式会社,兵庫県,神戸市東灘区,住吉山手７丁目２番２号,6580063
1120001271081,株式会社Ｓ＆Ｆ,兵庫県,神戸市東灘区,向洋町中１丁目１７,6580032
1120002065524,Ｉ・ストラトジックインベストメント株式会社,兵庫県,神戸市東灘区,森北町４丁目４番７号,6580001
1120101029405,Ａ・Ｎ・Ｐ株式会社,兵庫県,神戸市東灘区,北青木３丁目１１番２１号,6580014
1120901013310,株式会社東洋総合技術研究センター,兵庫県,神戸市東灘区,深江南町４丁目１２番１７号,6580022
1120901018739,株式会社環境社,兵庫県,神戸市東灘区,住吉宮町３丁目１４番１０−４０１号,6580053
1120901038084,株式会社エヌエスワイフィールド,兵庫県,神戸市東灘区,御影山手１丁目１番１−４１４号,6580065
1120901042706,株式会社ＬｉｆｅＡＣＴ,兵庫県,神戸市東灘区,田中町１丁目９番１０号,6580081
1130001046549,株式会社アクロス,兵庫県,神戸市東灘区,御影塚町２丁目３番１２号パークホームズ御影塚町４０２号,6580044
1130001069632,株式会社ＴＡ　ＥＮＥＲＧＹ,兵庫県,神戸市東灘区,向洋町中６丁目９,6580032
1140001000216,株式会社エルムフルール,兵庫県,神戸市東灘区,向洋町中６丁目９番地５Ｎ−０６,6580032
1140001000232,株式会社オールドオーチャード,兵庫県,神戸市東灘区,本庄町３丁目９番６号,6580012
1140001000439,株式会社修元,兵庫県,神戸市東灘区,御影山手６丁目４番３５号,6580065
1140001000934,アートライフ株式会社,兵庫県,神戸市東灘区,森南町１丁目１２番１２号,6580011
1140001000967,浅野金網工業株式会社,兵庫県,神戸市東灘区,本山中町２丁目８番１５号,6580016
1140001000975,アサヒ産業株式会社,兵庫県,神戸市東灘区,向洋町西１丁目４番地３,6580033
1140001000991,株式会社英陽産業,兵庫県,神戸市東灘区,御影２丁目１５番２７号,6580047
1140001001016,株式会社アルプラン,兵庫県,神戸市東灘区,本山中町４丁目６番８号,6580016
1140001001057,株式会社いづよね,兵庫県,神戸市東灘区,御影塚町２丁目９番１７号,6580044
1140001001081,植田石油株式会社,兵庫県,神戸市東灘区,住吉本町１丁目１７番地１５号,6580051
1140001001148,株式会社エビラフアーマシー,兵庫県,神戸市東灘区,田中町３丁目１０番１７号,6580081
1140001001180,大阪住宅営繕株式会社,兵庫県,神戸市東灘区,御影石町２丁目１７番２０号,6580045
1140001001189,大塚印刷工業株式会社,兵庫県,神戸市東灘区,御影石町２丁目９番５号,6580045
1140001001206,株式会社大原商事,兵庫県,神戸市東灘区,岡本２丁目１１番２５号,6580072
1140001001230,尾花運送株式会社,兵庫県,神戸市東灘区,魚崎北町２丁目８番１４号,6580082
1140001001255,株式会社オフィス・エフ・エージェンシー,兵庫県,神戸市東灘区,御影中町８丁目１番１５号,6580054
1140001001296,神正青果株式会社,兵庫県,神戸市東灘区,深江浜町１番１神戸市東部中央卸売市場内,6580023
1140001001338,北野食品株式会社,兵庫県,神戸市東灘区,深江浜町６９番地,6580023
1140001001346,共栄梱包株式会社,兵庫県,神戸市東灘区,向洋町西１丁目１六甲アイランド７号上屋,6580033
1140001001362,協和紙器工業株式会社,兵庫県,神戸市東灘区,住吉宮町１丁目１０番９号,6580053
1140001001387,株式会社グランド楽器,兵庫県,神戸市東灘区,魚崎中町１丁目７番１号,6580083
1140001001412,株式会社ケミカル工事,兵庫県,神戸市東灘区,魚崎浜町５番５,6580024
1140001001420,株式会社コーケン,兵庫県,神戸市東灘区,御影山手４丁目１７番８号,6580065
1140001001429,甲南工業株式会社,兵庫県,神戸市東灘区,御影石町４丁目７番９号,6580045
1140001001461,甲南油脂株式会社,兵庫県,神戸市東灘区,魚崎浜町１７番地,6580024
1140001001478,株式会社コープムービング,兵庫県,神戸市東灘区,住吉本町１丁目３番１９号,6580051
1140001001494,幸和自動車株式会社,兵庫県,神戸市東灘区,魚崎浜町１４番４号,6580024
1140001001511,株式会社コンドル,兵庫県,神戸市東灘区,御影中町１丁目６番６号,6580054
1140001001528,株式会社こまや,兵庫県,神戸市東灘区,魚崎南町６丁目１０番４号,6580025
1140001001544,三愛食品株式会社,兵庫県,神戸市東灘区,渦森台４丁目４番２号,6580066
1140001001552,株式会社サイトウ電器,兵庫県,神戸市東灘区,本庄町３丁目６番２１号,6580012
1140001001560,酒井建設株式会社,兵庫県,神戸市東灘区,住吉山手５丁目１７番７号,6580063
1140001001569,三建工業株式会社,兵庫県,神戸市東灘区,向洋町東４丁目４番地４番,6580031
1140001001577,株式会社阪田商会,兵庫県,神戸市東灘区,御影中町１丁目５番１５号,6580054
1140001001593,サンクロン兵庫株式会社,兵庫県,神戸市東灘区,御影石町２丁目１６番１４号,6580045
