法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010001232598,株式会社弘毅,兵庫県,神戸市灘区,篠原台１１番９号,6570016
1011201010364,株式会社グリーンランド,兵庫県,神戸市灘区,岩屋南町３番２５号,6570856
1011401016129,上園通商株式会社,兵庫県,神戸市灘区,友田町１丁目４番１９号,6570035
1020001094880,株式会社ＯＳＥ,兵庫県,神戸市灘区,大石東町５丁目８番１号,6570043
1120001108952,株式会社グランブルー,兵庫県,神戸市灘区,弓木町５丁目３番１２号,6570026
1120001129230,ワイズトラスト株式会社,兵庫県,神戸市灘区,大石東町５丁目４番８−６０７号,6570043
1120001169169,株式会社マルチプロデータ,兵庫県,神戸市灘区,六甲山町西谷山１８７８番地の４８,6570101
1120001189349,株式会社淑花,兵庫県,神戸市灘区,桜ケ丘町１１番１−５０８号,6570021
1120001211145,株式会社ＬＵＣＩＦＥＲ,兵庫県,神戸市灘区,備後町３丁目２番３−１００４号,6570037
1120001249400,ＫＫ＆ＡＭＹ日中貿易株式会社,兵庫県,神戸市灘区,友田町３丁目５番１３号,6570035
1120001268409,株式会社こころや,兵庫県,神戸市灘区,水道筋５丁目３番６号,6570831
1120101068782,株式会社エムアンドエム,兵庫県,神戸市灘区,岩屋北町５丁目１番７号,6570846
1130001077247,株式会社モレラ,兵庫県,神戸市灘区,灘北通１０丁目２番２３−２０２号,6570835
1140001001164,株式会社オウギ,兵庫県,神戸市灘区,桜口町３丁目１番１号パニエ３０１号室,6570036
1140001001486,甲陽酒販株式会社,兵庫県,神戸市灘区,新在家南町５丁目１番２号,6570864
1140001002229,株式会社パンオーシャン,兵庫県,神戸市灘区,摩耶埠頭２番２,6570854
1140001002699,ヤマト興業株式会社,兵庫県,神戸市灘区,篠原伯母野山町１丁目１番１−２１９号,6570015
1140001002947,株式会社アート装備,兵庫県,神戸市灘区,城内通４丁目５番１０号,6570836
1140001002971,芦田工業株式会社,兵庫県,神戸市灘区,水道筋５丁目２番５号,6570831
1140001002988,株式会社アパレル富士,兵庫県,神戸市灘区,水道筋６丁目７番１５号,6570831
1140001002996,有賀服装株式会社,兵庫県,神戸市灘区,天城通３丁目３番地の６,6570823
1140001003020,井住建設株式会社,兵庫県,神戸市灘区,篠原北町３丁目１６番１９号,6570068
1140001003037,株式会社インテリアまゆみ,兵庫県,神戸市灘区,徳井町１丁目２−３０−１０１,6570033
1140001003045,入船観光株式会社,兵庫県,神戸市灘区,岩屋中町５丁目１番６号,6570845
1140001003078,レボック株式会社,兵庫県,神戸市灘区,岩屋北町２丁目５番２７号,6570846
1140001003086,株式会社エスアイラボ,兵庫県,神戸市灘区,篠原中町５丁目５番３７−５０９号,6570066
1140001003094,株式会社エッジ,兵庫県,神戸市灘区,深田町４丁目１番１−２４０５号,6570038
1140001003103,エヌ、テイ、エル産業株式会社,兵庫県,神戸市灘区,篠原北町１丁目５番１３号,6570068
1140001003144,岡橋商事株式会社,兵庫県,神戸市灘区,岩屋中町５丁目１番１号,6570845
1140001003202,川井自動車株式会社,兵庫県,神戸市灘区,琵琶町２丁目１番９号,6570041
1140001003210,川本測量設計株式会社,兵庫県,神戸市灘区,泉通５丁目３番１７号,6570834
1140001003219,近畿マグネライン株式会社,兵庫県,神戸市灘区,宮山町３丁目１−１８トーカン六甲キャステール２０６号,6570065
1140001003235,金盃酒造株式会社,兵庫県,神戸市灘区,大石東町６丁目３番１号,6570043
1140001003268,株式会社グロービィ,兵庫県,神戸市灘区,水道筋６丁目１番１１号,6570831
1140001003276,株式会社クリムウエスト,兵庫県,神戸市灘区,灘南通５丁目３番２２号,6570841
1140001003284,株式会社京王メガネ,兵庫県,神戸市灘区,永手町５丁目７番８号,6570027
1140001003292,株式会社神戸河西運輸,兵庫県,神戸市灘区,味泥町３番２９号,6570851
1140001003301,株式会社ケイテム,兵庫県,神戸市灘区,岩屋北町１丁目４番１６号,6570846
1140001003342,甲南タクシー株式会社,兵庫県,神戸市灘区,原田通２丁目１番１２号,6570837
1140001003350,ケイピーリペア株式会社,兵庫県,神戸市灘区,灘南通３丁目３番１４号,6570841
1140001003359,甲陽糧穀株式会社,兵庫県,神戸市灘区,新在家南町３丁目３番１９号,6570864
1140001003367,コガセ工業株式会社,兵庫県,神戸市灘区,新在家南町２丁目３番１５号,6570864
1140001003375,株式会社壽住宅,兵庫県,神戸市灘区,高徳町３丁目２番２６号,6570025
1140001003383,日本ホールディングス株式会社,兵庫県,神戸市灘区,楠丘町６丁目９番１０号,6570024
1140001003391,三景株式会社,兵庫県,神戸市灘区,篠原南町７丁目５番１９号,6570059
1140001003409,三正画材株式会社,兵庫県,神戸市灘区,鶴甲２丁目１１番２−１０６号,6570011
1140001003417,株式会社サンテックス,兵庫県,神戸市灘区,船寺通１丁目５番１７号,6570842
1140001003425,サンフィールド株式会社,兵庫県,神戸市灘区,八幡町２丁目７番２０号,6570051
1140001003433,山陽建材工事株式会社,兵庫県,神戸市灘区,篠原本町４丁目５番２２号,6570067
1140001003458,株式会社ＡＸＩＳ,兵庫県,神戸市灘区,水道筋６丁目４番１号,6570831
1140001003490,神東建設株式会社,兵庫県,神戸市灘区,灘南通３丁目１番１３号,6570841
1140001003499,株式会社シビル,兵庫県,神戸市灘区,灘北通９丁目３番９号アメディオ灘３０１号,6570835
1140001003508,株式会社シマブンコーポレーション,兵庫県,神戸市灘区,岩屋中町４丁目２番７号,6570845
1140001003524,株式会社シュール,兵庫県,神戸市灘区,原田通２丁目１番９号,6570837
1140001003532,株式会社ジャプコ,兵庫県,神戸市灘区,岩屋北町５丁目１番２１号イトーピア灘１０３号室,6570846
1140001003540,新和工業株式会社,兵庫県,神戸市灘区,城の下通３丁目８番３７号,6570804
1140001003557,杉本工業株式会社,兵庫県,神戸市灘区,高羽町５丁目４番４号,6570023
1140001003581,扇港興産株式会社,兵庫県,神戸市灘区,都通１丁目１番６号,6570844
1140001003598,第一住建株式会社,兵庫県,神戸市灘区,稗原町２丁目３番１号,6570054
1140001003607,大建機工産業株式会社,兵庫県,神戸市灘区,岩屋北町１丁目３番１７号,6570846
1140001003615,株式会社大盛堂書房,兵庫県,神戸市灘区,青谷町４丁目４番１３号,6570805
1140001003623,株式会社タウンショップ,兵庫県,神戸市灘区,大石東町３丁目５番２２号,6570043
1140001003648,株式会社竹田装飾,兵庫県,神戸市灘区,篠原中町６丁目２番１９号,6570066
1140001003664,多谷株式会社,兵庫県,神戸市灘区,備後町３丁目１番１号,6570037
1140001003672,棚田建材株式会社,兵庫県,神戸市灘区,友田町３丁目２番１号,6570035
1140001003680,株式会社ちどり屋商店,兵庫県,神戸市灘区,船寺通１丁目１番１号,6570842
1140001003689,株式会社月森工務店,兵庫県,神戸市灘区,王子町１丁目２番１号,6570838
1140001003697,ティ・オー産業株式会社,兵庫県,神戸市灘区,曾和町１丁目４番２−１０１号,6570063
1140001003714,東神工業株式会社,兵庫県,神戸市灘区,上野通１丁目２番３５−２０８号,6570817
1140001003730,東洋産業株式会社,兵庫県,神戸市灘区,一王山町１４番１−３０６号,6570012
1140001003747,株式会社巴工務店,兵庫県,神戸市灘区,下河原通３丁目３番９号,6570045
1140001003771,中村印刷株式会社,兵庫県,神戸市灘区,友田町３丁目２番３号,6570035
1140001003788,灘タクシー株式会社,兵庫県,神戸市灘区,船寺通５丁目１番８号,6570842
1140001003796,南部運送株式会社,兵庫県,神戸市灘区,浜田町１丁目１番１号,6570862
1140001003813,日栄不動産株式会社,兵庫県,神戸市灘区,岩屋北町７丁目１番３０号,6570846
1140001003838,新田マリンサービス株式会社,兵庫県,神戸市灘区,赤坂通８丁目７番２９号,6570821
1140001003904,株式会社ハヤシ,兵庫県,神戸市灘区,高尾通３丁目１番２５号,6570813
1140001003945,株式会社平田工務店,兵庫県,神戸市灘区,篠原伯母野山町３丁目９番４０号,6570015
1140001003961,藤岡金属株式会社,兵庫県,神戸市灘区,倉石通２丁目２番１６号,6570826
1140001003978,株式会社冨士田商店,兵庫県,神戸市灘区,浜田町３丁目１番の１８号,6570862
1140001004027,株式会社細井商会,兵庫県,神戸市灘区,篠原中町４丁目２番５号,6570066
1140001004043,株式会社マエストロ,兵庫県,神戸市灘区,高羽町３丁目１３番５号,6570023
1140001004051,株式会社正井商事,兵庫県,神戸市灘区,原田通２丁目４番２号,6570837
1140001004076,摩耶ターミナル株式会社,兵庫県,神戸市灘区,摩耶埠頭,6570854
1140001004084,株式会社萬力商店,兵庫県,神戸市灘区,新在家北町２丁目４番１１号,6570861
1140001004118,株式会社みどりやマーク工芸,兵庫県,神戸市灘区,王子町１丁目１番４号,6570838
1140001004134,株式会社ムカデ屋,兵庫県,神戸市灘区,福住通４丁目１番１号,6570824
1140001004142,明光商事株式会社,兵庫県,神戸市灘区,中郷町４丁目２番１号,6570032
1140001004150,株式会社明文館,兵庫県,神戸市灘区,稗原町２丁目２番２２号,6570054
1140001004167,森電気工業株式会社,兵庫県,神戸市灘区,都通３丁目３番２６号,6570844
1140001004191,ヤマデン商事株式会社,兵庫県,神戸市灘区,水道筋５丁目２番４号,6570831
1140001004200,株式会社ユー企画,兵庫県,神戸市灘区,下河原通３丁目４番９号,6570045
1140001004209,ＮＡＢ株式会社,兵庫県,神戸市灘区,鶴甲２丁目１１番４−１０６号,6570011
1140001004217,株式会社ヨシダ興業,兵庫県,神戸市灘区,船寺通３丁目２番１号,6570842
1140001004258,株式会社菱和,兵庫県,神戸市灘区,高尾通４丁目１番１７号,6570813
1140001004274,六甲駅前ビル株式会社,兵庫県,神戸市灘区,宮山町３丁目３番１号,6570065
1140001004290,株式会社六甲測建,兵庫県,神戸市灘区,灘南通５丁目２番７号,6570841
1140001004299,株式会社六甲双葉,兵庫県,神戸市灘区,永手町４丁目２番１−１２１１号,6570027
1140001004316,株式会社レイメイ,兵庫県,神戸市灘区,篠原北町１丁目７番１８号,6570068
1140001004332,株式会社神戸導管設備工業,兵庫県,神戸市灘区,城内通５丁目３番２１号,6570836
1140001004340,株式会社神戸日建,兵庫県,神戸市灘区,赤松町２丁目１番１０号,6570061
1140001006196,井上塗料株式会社,兵庫県,神戸市灘区,篠原中町１丁目３番３−１０３号,6570066
1140001006452,ネスコサービス株式会社,兵庫県,神戸市灘区,六甲町４丁目７番５号,6570053
1140001007211,株式会社ギヤル,兵庫県,神戸市灘区,中郷町２丁目３番１１号,6570032
1140001007822,三幸建設株式会社,兵庫県,神戸市灘区,船寺通５丁目２番２号,6570842
1140001008143,株式会社神栄電設,兵庫県,神戸市灘区,大石東町４丁目７番２号,6570043
1140001008176,株式会社シー・ディー・シー・インターナショナル,兵庫県,神戸市灘区,浜田町３丁目５番８アーバンヴィレッジ六甲南２０２号,6570862
1140001008795,株式会社瀬川運送店,兵庫県,神戸市灘区,大石南町３丁目２番７号,6570852
1140001009430,株式会社ティアンドティ,兵庫県,神戸市灘区,篠原本町５丁目６番４号,6570067
1140001009496,テンダーハウス株式会社,兵庫県,神戸市灘区,上野通４丁目３番１４号,6570817
1140001010512,株式会社フェニックスジャパン,兵庫県,神戸市灘区,高尾通２丁目４番１号,6570813
1140001012913,株式会社キャロット商事,兵庫県,神戸市灘区,都通５丁目３番１−１２０３号,6570844
1140001015610,神戸ツール株式会社,兵庫県,神戸市灘区,新在家南町３丁目３番３号,6570864
1140001016501,株式会社トータルフイツトネス,兵庫県,神戸市灘区,六甲町２丁目１番２０号,6570053
1140001019751,株式会社エム・アンド・エム,兵庫県,神戸市灘区,日尾町１丁目２番１４号,6570029
1140001019883,株式会社コウベエムズカンパニー,兵庫県,神戸市灘区,新在家北町１丁目１８番地,6570861
1140001019990,フジグレース株式会社,兵庫県,神戸市灘区,大和町４丁目２番１２号（フジグレース１階）,6570031
1140001020404,アイランドフューチャーコーポレーション株式会社,兵庫県,神戸市灘区,岩屋中町４丁目２番７号,6570845
1140001020783,株式会社アクティブ装工,兵庫県,神戸市灘区,大石東町２丁目４番２１号,6570043
1140001020908,株式会社ピースアップ,兵庫県,神戸市灘区,記田町５丁目６番１６−５０１号,6570034
1140001020998,高地建設工業株式会社,兵庫県,神戸市灘区,泉通４丁目１−４,6570834
1140001021096,株式会社コア・コーヒー,兵庫県,神戸市灘区,都通５丁目４番１４号,6570844
1140001021311,株式会社ヒロハウス,兵庫県,神戸市灘区,水道筋６丁目５番１号,6570831
1140001022210,株式会社ピュア商会,兵庫県,神戸市灘区,楠丘町５丁目６番１号,6570024
1140001022292,株式会社アートン,兵庫県,神戸市灘区,篠原北町２丁目１番２９号,6570068
1140001022350,株式会社イーアールシティーズ,兵庫県,神戸市灘区,深田町３丁目３番１号,6570038
1140001023092,株式会社クリエイティブ勇気,兵庫県,神戸市灘区,岩屋中町４丁目３番１３号,6570845
1140001023299,株式会社大一総業,兵庫県,神戸市灘区,琵琶町２丁目７番１２−１０１号,6570041
1140001023464,株式会社トータル・ネット・サービス,兵庫県,神戸市灘区,高羽字滝ノ奥５番地の１六甲高羽アーバンライフ,6570001
1140001023951,ブルージー・プロ株式会社,兵庫県,神戸市灘区,六甲町３丁目３番３号,6570053
1140001023984,株式会社エヌエスケーケー,兵庫県,神戸市灘区,深田町４丁目１番１号,6570038
1140001024017,株式会社メタックス,兵庫県,神戸市灘区,岩屋北町４丁目４番１号,6570846
1140001024149,株式会社京吉,兵庫県,神戸市灘区,備後町５丁目３番１号ウエルブ六甲１番街Ａ１１８,6570037
1140001024553,日清オフィスサービス株式会社,兵庫県,神戸市灘区,岩屋北町４丁目４番１号,6570846
1140001024636,株式会社エンリッチ,兵庫県,神戸市灘区,畑原通２丁目２番２１号,6570822
1140001025031,株式会社Ｒ．Ｅ．Ｉ．Ｃｏｎｓｕｌｔｉｎｇ,兵庫県,神戸市灘区,大石東町５丁目４番８号コスモ灘公園通りＡ棟３０４号,6570043
1140001025106,株式会社グロース・インターナショナル,兵庫県,神戸市灘区,篠原台６番２０号,6570016
1140001025205,近畿産業車輌サービス株式会社,兵庫県,神戸市灘区,天城通１丁目３番７号ロイヤルハイツ３０４号,6570823
1140001025337,神戸グリーンパワー株式会社,兵庫県,神戸市灘区,鶴甲５丁目１−５０ライブタウン翠光３０５号,6570011
1140001025353,マーブルホーム株式会社,兵庫県,神戸市灘区,城内通５丁目１番４号,6570836
1140001025436,株式会社楷商会,兵庫県,神戸市灘区,篠原南町６丁目１番６号,6570059
1140001025502,株式会社ユーアイ,兵庫県,神戸市灘区,八幡町２丁目８番７号,6570051
1140001025808,株式会社サイキ商会,兵庫県,神戸市灘区,徳井町４丁目３番９号,6570033
1140001025923,株式会社サンムーンコーポレーション,兵庫県,神戸市灘区,篠原北町３丁目３番７号,6570068
1140001025989,株式会社ミッシュライズフィールド,兵庫県,神戸市灘区,六甲台町１０−６−１０１号,6570013
1140001026087,株式会社クオリティー,兵庫県,神戸市灘区,八幡町１丁目９番１６−６０２号,6570051
1140001026129,株式会社Ｏ．Ｎ．Ｏホールディングス,兵庫県,神戸市灘区,篠原北町４丁目６番１号,6570068
