法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010901041082,株式会社ＶＥＲＴＥＸ,兵庫県,神戸市西区,長畑町２２６番地,6512148
1011001047499,株式会社ＩＲＩＳ・ＰＡＲＵＲＥ,兵庫県,神戸市西区,玉津町出合２００番地２−４０８号,6512137
1011301008903,ハイホー株式会社,兵庫県,神戸市西区,井吹台西町３丁目８−１１,6512243
1040001078865,株式会社ＩＳＯ,兵庫県,神戸市西区,水谷１丁目１３番７号,6512121
1120001003492,三和商事株式会社,兵庫県,神戸市西区,岩岡町岩岡３１６１番地,6512401
1120001101222,株式会社ジャパンエネクス,兵庫県,神戸市西区,高雄台３２番６−８号,6512201
1120001108820,ハウセン・テキスタイル株式会社,兵庫県,神戸市西区,井吹台北町１丁目１７番地の１,6512244
1120001108886,アクセルトレーディング株式会社,兵庫県,神戸市西区,池上４丁目９−１０ピアハイツＢ棟３−Ｃ号室,6512111
1120001141136,向陽株式会社,兵庫県,神戸市西区,樫野台６丁目７番７号,6512275
1120001169937,共栄観光株式会社,兵庫県,神戸市西区,玉津町今津１７８番地の１,6512128
1120001244574,株式会社ＯＮＥ　ＯＮＥ,兵庫県,神戸市西区,玉津町高津橋９７番地の１０,6512122
1120101065929,Ｎａｇａｒａ　ｎｉｐｐｏｎ株式会社,兵庫県,神戸市西区,神出町小束野５７番地の９０,6512304
1122001018553,株式会社阪井美術印刷,兵庫県,神戸市西区,竹の台６丁目３番地６１９号,6512274
1122001037470,今成商事株式会社,兵庫県,神戸市西区,神出町南６２１番５５,6512312
1140001001610,三田電気工業株式会社,兵庫県,神戸市西区,見津が丘５丁目５番地の８,6512228
1140001002146,永田醸造機械株式会社,兵庫県,神戸市西区,見津が丘２丁目１番１,6512228
1140001002393,株式会社福原精機製作所,兵庫県,神戸市西区,井吹台東町７丁目３番５号,6512242
1140001003739,株式会社ミキ,兵庫県,神戸市西区,南別府１丁目１４−８,6512116
1140001004398,株式会社あかつき,兵庫県,神戸市西区,伊川谷町有瀬２７番地,6512113
1140001004407,株式会社旭測電気,兵庫県,神戸市西区,北別府３丁目６−１,6512117
1140001004415,株式会社アダージョ・プランニング,兵庫県,神戸市西区,上新地３丁目８番地３,6512411
1140001004431,株式会社イー・エス,兵庫県,神戸市西区,岩岡町岩岡１０８７番地の５,6512401
1140001004448,一耕起株式会社,兵庫県,神戸市西区,王塚台５丁目１１１番地の１,6512135
1140001004489,エーコー株式会社,兵庫県,神戸市西区,平野町慶明４５番地,6512255
1140001004497,株式会社ＡＶインテリアオフィス,兵庫県,神戸市西区,王塚台１丁目７５−２,6512135
1140001004522,株式会社エンバロメンタル・インプルーブメント,兵庫県,神戸市西区,伊川谷町布施畑字大阪谷１０８８番地,6512101
1140001004547,株式会社オカダ,兵庫県,神戸市西区,池上１丁目１１番地の５,6512111
1140001004555,押部建興株式会社,兵庫県,神戸市西区,神出町宝勢１４１７番地の２,6512321
1140001004563,株式会社カイセイ,兵庫県,神戸市西区,玉津町居住１５１番地の１,6512145
1140001004596,梶友土地株式会社,兵庫県,神戸市西区,神出町田井２２１番地の５,6512313
1140001004613,株式会社金森電気工業所,兵庫県,神戸市西区,玉津町新方４８０番地の１,6512125
1140001004621,川崎石油株式会社,兵庫県,神戸市西区,平野町下村字山下３０１番地の１,6512251
1140001004638,株式会社喜久屋,兵庫県,神戸市西区,大津和２丁目４番５８号,6512112
1140001004662,基陽産業株式会社,兵庫県,神戸市西区,神出町宝勢字辻堂８６５番地の１,6512321
1140001004670,クサカ商運株式会社,兵庫県,神戸市西区,玉津町出合９番地,6512137
1140001004679,グリーンガーデン株式会社,兵庫県,神戸市西区,持子３丁目５９番地の２,6512131
1140001004695,ケンズ株式会社,兵庫県,神戸市西区,樫野台６丁目２１番２号,6512275
1140001004704,幸神建設株式会社,兵庫県,神戸市西区,春日台２丁目５−１２,6512276
1140001004720,株式会社小塩電気工業,兵庫県,神戸市西区,今寺５番地の５,6512114
1140001004745,株式会社コルト,兵庫県,神戸市西区,北別府４丁目２０９６番地の４１,6512117
1140001004753,株式会社サンエルフ,兵庫県,神戸市西区,上新地１丁目３番地の１３,6512411
1140001004761,三光化学工業株式会社,兵庫県,神戸市西区,櫨谷町池谷３１番地,6512234
1140001004786,三伸工業株式会社,兵庫県,神戸市西区,竜が岡５丁目２８番地の８,6512412
1140001004803,サンベビー株式会社,兵庫県,神戸市西区,上新地３丁目２番地９,6512411
1140001004811,山陽コールド運輸株式会社,兵庫県,神戸市西区,伊川谷町潤和字堂後９０２の１,6512124
1140001004828,株式会社ジェイテック,兵庫県,神戸市西区,伊川谷町潤和字西ノ口７５０番地１０,6512124
1140001004844,四国工業株式会社,兵庫県,神戸市西区,櫨谷町谷口２６２番地,6512237
1140001004852,神扇工業株式会社,兵庫県,神戸市西区,岩岡町野中９６９番地の３,6512405
1140001004860,新日本建鐵株式会社,兵庫県,神戸市西区,宮下１丁目６番３,6512146
1140001004910,株式会社シュテルン神戸西,兵庫県,神戸市西区,森友４丁目８１番地の２,6512132
1140001004919,株式会社末松石油店,兵庫県,神戸市西区,神出町田井１１２１番地の１,6512313
1140001004927,株式会社スピナ,兵庫県,神戸市西区,上新地３丁目８番地１,6512411
1140001004935,セイコー化成株式会社,兵庫県,神戸市西区,伊川谷町潤和字有久１１０９,6512124
1140001004976,世良田ガス産業株式会社,兵庫県,神戸市西区,北山台１丁目１番１号,6512215
1140001004992,第一電子株式会社,兵庫県,神戸市西区,伊川谷町有瀬３０１番地,6512113
1140001005025,ダイワ運輸株式会社,兵庫県,神戸市西区,玉津町水谷４１０,6512121
1140001005041,株式会社高原工業,兵庫県,神戸市西区,南別府１丁目１番地の１０,6512116
1140001005058,田中建設工業株式会社,兵庫県,神戸市西区,神出町紫合６０９番地,6512334
1140001005082,株式会社ツボサカ,兵庫県,神戸市西区,福吉台２丁目２５番地の１７,6512413
1140001005099,株式会社寺嶋組,兵庫県,神戸市西区,玉津町上池１１番地の１,6512126
1140001005116,トーヨージヤバラ工業株式会社,兵庫県,神戸市西区,神出町北３４２番地の１,6512332
1140001005132,神戸開発株式会社,兵庫県,神戸市西区,室谷１丁目６番１,6512241
1140001005140,中嶋石油株式会社,兵庫県,神戸市西区,福吉台２丁目１０番６号,6512413
1140001005157,株式会社猶井土木,兵庫県,神戸市西区,玉津町上池１０番地の１,6512126
1140001005165,株式会社西神戸自動車,兵庫県,神戸市西区,伊川谷町有瀬７８７番地の１,6512113
1140001005173,株式会社西田製作所,兵庫県,神戸市西区,森友２丁目３７番地１号,6512132
1140001005181,日宏株式会社,兵庫県,神戸市西区,伊川谷町有瀬５６４番地の２,6512113
1140001005198,則武精機株式会社,兵庫県,神戸市西区,玉津町高津橋８９３番地の５,6512122
1140001005207,株式会社パール,兵庫県,神戸市西区,池上１丁目１３番７号,6512111
1140001005256,ヒューマンライフサービス株式会社,兵庫県,神戸市西区,枝吉１丁目１７番地,6512133
1140001005264,広瀬産業株式会社,兵庫県,神戸市西区,枝吉２丁目６５番地,6512133
1140001005272,平山土木工業株式会社,兵庫県,神戸市西区,櫨谷町栃木８７番地,6512236
1140001005289,フジイ産業株式会社,兵庫県,神戸市西区,神出町東９１９番地の１,6512311
1140001005297,株式会社富士川商事,兵庫県,神戸市西区,持子１丁目１３番地,6512131
1140001005314,株式会社フジメタル,兵庫県,神戸市西区,玉津町今津５９６番地,6512128
1140001005347,マイスター株式会社,兵庫県,神戸市西区,桜が丘中町４丁目２番地の７,6512226
1140001005371,株式会社くすのき,兵庫県,神戸市西区,岩岡町西脇９０９番地の２,6512403
1140001005396,株式会社南襖製作所,兵庫県,神戸市西区,桜が丘西町１丁目７番地の１３,6512227
1140001005405,株式会社ＭＤＴ,兵庫県,神戸市西区,王塚台５丁目７番地の１,6512135
1140001005413,株式会社明松工業,兵庫県,神戸市西区,岩岡町古郷字福吉西１５３２の１,6512404
1140001005421,株式会社明舞,兵庫県,神戸市西区,伊川谷町有瀬６２０番地,6512113
1140001005438,株式会社森本塗装工業,兵庫県,神戸市西区,神出町五百蔵１１２番地の１,6512303
1140001005446,株式会社安福冷暖,兵庫県,神戸市西区,上新地１丁目１番地の６,6512411
1140001005454,山岡産業株式会社,兵庫県,神戸市西区,竹の台６丁目７番地４１３号,6512274
1140001005462,株式会社ヤマサキガス,兵庫県,神戸市西区,持子１丁目１７番地２,6512131
1140001005470,株式会社山本工務店,兵庫県,神戸市西区,伊川谷町潤和７３０番地の１１,6512124
1140001005479,株式会社ユーセイプラント,兵庫県,神戸市西区,神出町池田３８９番地の３,6512333
1140001005487,株式会社ユニテン,兵庫県,神戸市西区,高塚台３丁目１番地の１２,6512271
1140001005495,吉井農機株式会社,兵庫県,神戸市西区,枝吉３丁目８番地の１,6512133
1140001005504,株式会社四ッ橋組,兵庫県,神戸市西区,森友５丁目５３番地の１,6512132
1140001005512,株式会社ワイドハーバー,兵庫県,神戸市西区,美賀多台７丁目１４番地の３,6512277
1140001005545,株式会社神戸エーブイ・サービス,兵庫県,神戸市西区,福吉台１丁目４番地の２,6512413
1140001005553,神戸建機株式会社,兵庫県,神戸市西区,岩岡町岩岡８５１−１,6512401
1140001005561,株式会社神戸総合配車センター,兵庫県,神戸市西区,大沢２丁目３番地の２５,6512414
1140001005578,株式会社神戸富島組,兵庫県,神戸市西区,秋葉台２丁目１番地の２５０,6512224
1140001005628,兵庫資材株式会社,兵庫県,神戸市西区,伊川谷町布施畑字李７５１番地の１,6512101
1140001008696,株式会社住吉霊園コンサルタント,兵庫県,神戸市西区,押部谷町木見字下山畑の五１１０４番地の１,6512223
1140001010157,みなとビジネスサービス株式会社,兵庫県,神戸市西区,竹の台６丁目２番地,6512274
1140001011428,神戸インターナショナル株式会社,兵庫県,神戸市西区,見津が丘２丁目２番１号,6512228
