法人番号,法人名,都道府県,市区町村,番地,郵便番号
1011001130528,株式会社コアエレメンツ,兵庫県,神戸市長田区,大橋町４丁目４番１７号,6530037
1011101055682,株式会社アルティメット,兵庫県,神戸市長田区,雲雀ケ丘３丁目６番４−３０８号,6530879
1120001195074,株式会社ＨＩＫＡＲＩＥ,兵庫県,神戸市長田区,細田町３丁目７−５（１階）,6530835
1120901026345,株式会社エネール,兵庫県,神戸市長田区,大橋町１丁目３番１２号,6530037
1130001050848,Ａ．ｉ管理株式会社,兵庫県,神戸市長田区,片山町５丁目１１番１９号−２Ｆ,6530805
1140001003185,鹿島ハウス工業株式会社,兵庫県,神戸市長田区,五位ノ池町３丁目１３番８号,6530851
1140001005066,株式会社タナベ,兵庫県,神戸市長田区,滝谷町２丁目７番１６号,6530881
1140001006080,株式会社いくせい,兵庫県,神戸市長田区,御蔵通４丁目２０５番地の２,6530014
1140001006543,株式会社エムテイシー,兵庫県,神戸市長田区,庄田町２丁目１番１１号,6530035
1140001007913,三伸工業株式会社,兵庫県,神戸市長田区,二番町２丁目２番地の１,6530012
1140001009967,日生ハウジング株式会社,兵庫県,神戸市長田区,名倉町５丁目５番５号,6530883
1140001010339,株式会社Ｂ・Ｋ・Ｋ・情報,兵庫県,神戸市長田区,大丸町１丁目１９番１６号マンザンビル１０１号,6530806
1140001012302,兵庫コーポレーション株式会社,兵庫県,神戸市長田区,若松町５丁目５番１号,6530038
1140001012517,株式会社イノウエ,兵庫県,神戸市長田区,東尻池町９丁目１番２０号,6530022
1140001012558,株式会社ウエスト,兵庫県,神戸市長田区,梅ケ香町２丁目６番８号,6530021
1140001012995,株式会社合同建設,兵庫県,神戸市長田区,菅原通７丁目２−３０２,6530015
1140001013829,株式会社日新,兵庫県,神戸市長田区,苅藻島町２丁目２番３０号,6530033
1140001013886,舶用精工株式会社,兵庫県,神戸市長田区,御蔵通６丁目６番地,6530014
1140001014042,株式会社藤井商店,兵庫県,神戸市長田区,御船通４丁目８番１号ルネタウン御船１Ｆ４号,6530832
1140001015643,株式会社アーバネット,兵庫県,神戸市長田区,若松町２丁目１番３号,6530038
1140001015668,株式会社旭商事,兵庫県,神戸市長田区,長楽町６丁目３番８号,6530054
1140001015692,阿波興産株式会社,兵庫県,神戸市長田区,池田上町４８番地の１９,6530824
1140001015701,株式会社イオク,兵庫県,神戸市長田区,五番町２丁目６番３０号,6530003
1140001015726,株式会社一直,兵庫県,神戸市長田区,四番町８丁目１１番地,6530004
1140001015734,乾商事株式会社,兵庫県,神戸市長田区,大谷町３丁目１番４７号,6530838
1140001015750,株式会社ウエダヤ,兵庫県,神戸市長田区,水笠通４丁目１番１２号,6530842
1140001015759,内田商事株式会社,兵庫県,神戸市長田区,御蔵通５丁目２０９番地の４,6530014
1140001015783,株式会社エスペランサ,兵庫県,神戸市長田区,西尻池町２丁目５番１２号,6530031
1140001015809,株式会社大神鉄工所,兵庫県,神戸市長田区,苅藻島町２丁目３番１３号,6530033
1140001015825,大西石油株式会社,兵庫県,神戸市長田区,神楽町２丁目２番１１号,6530836
1140001015833,株式会社ヨシケン,兵庫県,神戸市長田区,若松町１１丁目５−１７−２０５,6530038
1140001015841,株式会社奥田工務店,兵庫県,神戸市長田区,菅原通４丁目７５番地,6530015
1140001015858,株式会社小川製作所,兵庫県,神戸市長田区,菅原通１丁目６番地の１,6530015
1140001015866,株式会社オペックスジャパンコーポレーション,兵庫県,神戸市長田区,細田町５丁目２番２５号,6530835
