法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010801034211,エムブライトソリューションズ株式会社,兵庫県,神戸市須磨区,友が丘９丁目２６０３番地１８,6540142
1040001060815,株式会社めぐみのさとファーム,兵庫県,神戸市須磨区,弥栄台３丁目１番地の６,6540161
1120001110149,九同株式会社,兵庫県,神戸市須磨区,高尾台２丁目６−１８−２Ｆ,6540061
1120001218173,株式会社エイチダブリュー,兵庫県,神戸市須磨区,飛松町３丁目５番５号,6540012
1140001005223,株式会社ハシモト建設,兵庫県,神戸市須磨区,若草町３丁目１５番地の２,6540112
1140001005339,本田興産株式会社,兵庫県,神戸市須磨区,須磨本町１丁目１番３７号,6540054
1140001008556,ジャパンメディカル株式会社,兵庫県,神戸市須磨区,白川台３丁目３８番地の１,6540103
1140001011700,和商株式会社,兵庫県,神戸市須磨区,高倉台１丁目６番４６号,6540081
1140001013176,株式会社心栄建築設計事務所,兵庫県,神戸市須磨区,緑が丘２丁目２２−８,6540113
1140001013465,株式会社大昭精機工作所,兵庫県,神戸市須磨区,外浜町２丁目１番７号,6540043
1140001013556,株式会社たから工芸社,兵庫県,神戸市須磨区,妙法寺字谷田１１６９番地の４,6540121
1140001013663,株式会社東光水道工業所,兵庫県,神戸市須磨区,北落合５丁目７番２３号,6540151
1140001013705,株式会社とくしま,兵庫県,神戸市須磨区,板宿町３丁目７番２４号,6540009
1140001014059,株式会社富士商店,兵庫県,神戸市須磨区,東白川台４丁目２０番地の３,6540102
1140001014422,株式会社ヤマイチ商会,兵庫県,神戸市須磨区,須磨本町２丁目１番３０号,6540054
1140001014918,株式会社岸本企画,兵庫県,神戸市須磨区,友が丘９丁目２６０３番地の３７,6540142
1140001015767,株式会社エイト電子製作所,兵庫県,神戸市須磨区,平田町１丁目１番１６号,6540021
1140001016055,五幸産業株式会社,兵庫県,神戸市須磨区,弥栄台１丁目１３番地１７,6540161
1140001017227,アイム商事株式会社,兵庫県,神戸市須磨区,東落合３丁目８番２４号,6540152
1140001017268,逸見興業株式会社,兵庫県,神戸市須磨区,車字霜ノ下１２６５番地,6540111
1140001017276,井上建築株式会社,兵庫県,神戸市須磨区,松風町６丁目１番２７号,6540045
1140001017284,株式会社井本建設,兵庫県,神戸市須磨区,若草町１丁目２番地の５−４１３号,6540112
1140001017301,内山酒類販売株式会社,兵庫県,神戸市須磨区,村雨町６丁目１番８号,6540046
1140001017326,株式会社エフ・アイ・エス,兵庫県,神戸市須磨区,高倉台１丁目３番６−１０３号,6540081
