法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001056539,山陰道路株式会社,兵庫県,美方郡新温泉町,三谷１３２番地,6696747
1140001056547,株式会社但馬寿,兵庫県,美方郡新温泉町,井土４０番地１,6696801
1140001056563,乙野運送株式会社,兵庫県,美方郡新温泉町,浜坂４５２番地の１,6696702
1140001056679,上島工業株式会社,兵庫県,美方郡新温泉町,浜坂１６７３番地の１,6696702
1140001056687,株式会社ジオデザインワークス,兵庫県,美方郡新温泉町,浜坂４０７番地１,6696702
1140001056695,山陰プロパン株式会社,兵庫県,美方郡新温泉町,浜坂２３３７番地の６,6696702
1140001056704,株式会社但馬綜建,兵庫県,美方郡新温泉町,湯１０４８番地の１,6696821
1140001056729,株式会社米安商会,兵庫県,美方郡新温泉町,湯３３８番地の１,6696821
1140001056737,浜坂小野田レミコン株式会社,兵庫県,美方郡新温泉町,三谷１５７番地の１,6696747
1140001056811,開発興業株式会社,兵庫県,美方郡新温泉町,千原２６２番地の１,6696941
1140001056968,株式会社魚寄,兵庫県,美方郡新温泉町,諸寄３２６８番地１,6696753
1140001092294,株式会社ピースフル,兵庫県,美方郡新温泉町,七釜５２１番地２,6696741
1140001098589,株式会社伊藤工務店,兵庫県,美方郡新温泉町,諸寄９５６番地,6696753
1140001102235,アートプレスクリエイト株式会社,兵庫県,美方郡新温泉町,七釜１２番地１,6696741
1140001106888,株式会社開成舎,兵庫県,美方郡新温泉町,浜坂１６６番地１,6696702
1140001125104,株式会社長谷坂縫製,兵庫県,美方郡新温泉町,桐岡２３４番地,6696815
1140001128437,株式会社湯村温泉緑屋,兵庫県,美方郡新温泉町,湯１３２６,6696821
1140001131507,株式会社てらぎ家畜医院,兵庫県,美方郡新温泉町,丹土５９６番地２,6696813
1140001132637,株式会社８ｒｉｓｉｎｇ,兵庫県,美方郡新温泉町,湯１２６０番地２階,6696821
2140001056521,済木土建株式会社,兵庫県,美方郡新温泉町,竹田４２１番地の１,6696831
2140001056570,井上自動車整備株式会社,兵庫県,美方郡新温泉町,竹田３４番地の２,6696831
2140001056579,日本精機宝石工業株式会社,兵庫県,美方郡新温泉町,芦屋１００番地,6696701
2140001056595,浜美屋産業株式会社,兵庫県,美方郡新温泉町,芦屋４５１番地,6696701
2140001056612,藤田建設株式会社,兵庫県,美方郡新温泉町,熊谷１６１番地,6696804
2140001056678,株式会社泉綜合印刷,兵庫県,美方郡新温泉町,栃谷８１番地の１,6696745
