法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001056324,株式会社上治水産,兵庫県,美方郡香美町,香住区一日市３７４番地,6696542
1140001056332,カネサ水産株式会社,兵庫県,美方郡香美町,香住区上計８番地の１,6696432
1140001056340,カスミ化成株式会社,兵庫県,美方郡香美町,香住区丹生地２８８番地の１,6696416
1140001056349,株式会社ステップ,兵庫県,美方郡香美町,香住区香住１０５８番地の１,6696544
1140001056357,株式会社ナカイ自動車センター,兵庫県,美方郡香美町,香住区森３６６番地の１,6696545
1140001056365,平成生コン株式会社,兵庫県,美方郡香美町,香住区九斗字小野前３０３番地,6696411
1140001056373,株式会社三輪観光,兵庫県,美方郡香美町,香住区境８９０番地,6696541
1140001056381,株式会社山増水産,兵庫県,美方郡香美町,香住区境１１２２番地の２,6696541
1140001056646,大城建設株式会社,兵庫県,美方郡香美町,村岡区寺河内８番地,6671322
1140001056654,黒田産業株式会社,兵庫県,美方郡香美町,村岡区市原３７７番地の１,6671324
1140001056662,株式会社中村建材,兵庫県,美方郡香美町,村岡区長板２６番地の２,6671352
1140001056670,株式会社ムラオカシステム,兵庫県,美方郡香美町,村岡区高井４７７番地の１,6671325
1140001056745,株式会社ウイン,兵庫県,美方郡香美町,香住区丹生地６９５番地,6696416
1140001056927,きずなハウス株式会社,兵庫県,美方郡香美町,小代区水間２３番地の２,6671515
1140001099967,株式会社オクショウ,兵庫県,美方郡香美町,香住区香住２７番地,6696544
1140001103514,株式会社山本工務店,兵庫県,美方郡香美町,香住区香住１１５５番地の１９,6696544
1140001103753,株式会社旅のふぁくとりー,兵庫県,美方郡香美町,村岡区大笹５５１番２号,6671344
1140001109247,株式会社どんぐり,兵庫県,美方郡香美町,村岡区入江７３２番地,6671368
1140001111467,株式会社香陽,兵庫県,美方郡香美町,香住区七日市６７番地の１１,6696546
1140001114775,むらおか夢アグリ株式会社,兵庫県,美方郡香美町,村岡区味取３０７番地,6671363
1140001118999,株式会社カルバリ,兵庫県,美方郡香美町,小代区神水２４３番地,6671511
1140001121409,株式会社いざわ家畜診療所,兵庫県,美方郡香美町,村岡区鹿田５９番地２３,6671316
1140001121805,株式会社加登丸漁業,兵庫県,美方郡香美町,香住区香住１５０５番地の１,6696544
1140001127843,株式会社ＭＯＲＥ,兵庫県,美方郡香美町,香住区香住１２７７番地の１,6696544
1140001131878,株式会社ＷＥＬＬ,兵庫県,美方郡香美町,香住区七日市１７６番地の８,6696546
1140002046464,株式会社山本モータース,兵庫県,美方郡香美町,香住区下岡３９２番地,6696413
2140001056323,株式会社ウエケイ,兵庫県,美方郡香美町,香住区七日市３５５番地,6696546
2140001056348,株式会社システムライン,兵庫県,美方郡香美町,村岡区市原１番地の１,6671324
2140001056356,株式会社トキワ,兵庫県,美方郡香美町,香住区三谷７３５番地,6696553
2140001056372,マルカツ水産株式会社,兵庫県,美方郡香美町,香住区隼人４番地の２,6696424
2140001056380,株式会社ヤマヨシ,兵庫県,美方郡香美町,香住区上計１１５７番地,6696432
2140001056538,株式会社大一興業,兵庫県,美方郡香美町,小代区野間谷１５番地の３,6671521
2140001056637,株式会社朝倉建設,兵庫県,美方郡香美町,小代区秋岡１３０８番地,6671533
2140001056653,香住エレクトロ株式会社,兵庫県,美方郡香美町,村岡区村岡１８４番地,6671311
2140001056810,株式会社Ｉｎｔｒａｓｓｉｓｔ　ＭＺ,兵庫県,美方郡香美町,村岡区村岡３５０番地の４,6671311
2140001056819,株式会社柴崎家,兵庫県,美方郡香美町,香住区三谷７３５番地,6696553
2140001056876,株式会社いまご荘,兵庫県,美方郡香美町,香住区境６３４番地,6696541
2140001056926,株式会社テイクワン,兵庫県,美方郡香美町,香住区香住１１７８番地,6696544
2140001056934,株式会社香美建設,兵庫県,美方郡香美町,村岡区長瀬６０７−１,6671361
2140001056942,株式会社五鉄開発,兵庫県,美方郡香美町,村岡区村岡４１５−１,6671311
2140001056950,トーセン株式会社,兵庫県,美方郡香美町,香住区下岡１６番地の１,6696413
2140001096328,株式会社松井マリン,兵庫県,美方郡香美町,香住区沖浦９１１番地の３１,6696433
2140001105880,株式会社きたむら,兵庫県,美方郡香美町,村岡区長瀬２１０番地,6671361
2140001108900,株式会社宙の森,兵庫県,美方郡香美町,小代区神水５４５番地１,6671511
2140001130227,Ｓｉｎｄｕｓｔｒｙ株式会社,兵庫県,美方郡香美町,香住区七日市３６４番,6696546
3120001058964,株式会社ユースランド,兵庫県,美方郡香美町,村岡区中大谷７０１番地,6671343
3140001056322,株式会社今子浦臨海センター,兵庫県,美方郡香美町,香住区境６６１番地の１,6696541
3140001056330,株式会社香住自動車教習所,兵庫県,美方郡香美町,香住区加鹿野１番地,6696552
3140001056339,香住食研株式会社,兵庫県,美方郡香美町,香住区下岡４７６番地の２,6696413
3140001056355,寺田ガス株式会社,兵庫県,美方郡香美町,香住区森３４３番地の１,6696545
3140001056363,藤本精機株式会社,兵庫県,美方郡香美町,香住区若松５２５番地,6696543
3140001056371,マルヨ食品株式会社,兵庫県,美方郡香美町,香住区香住１２３４番地,6696544
3140001056504,株式会社中村建設,兵庫県,美方郡香美町,香住区香住７７９番地の１,6696544
3140001056529,株式会社中川組,兵庫県,美方郡香美町,香住区香住１４０８番地の１,6696544
3140001056636,株式会社アイム,兵庫県,美方郡香美町,小代区城山６８番地,6671502
3140001056644,エイワ電器株式会社,兵庫県,美方郡香美町,村岡区村岡１８４番地,6671311
3140001056669,美方パレス株式会社,兵庫県,美方郡香美町,小代区城山１１番地,6671502
3140001056941,株式会社カマダグループ,兵庫県,美方郡香美町,香住区香住１２３７番地の８,6696544
3140001056982,ナベヤ住設株式会社,兵庫県,美方郡香美町,香住区山手２４番地,6696547
3140001091179,株式会社てまり,兵庫県,美方郡香美町,香住区若松５２１番地,6696543
3140001098942,光春丸株式会社,兵庫県,美方郡香美町,香住区上計１３７番地,6696432
3140001100385,村岡アグリファーム株式会社,兵庫県,美方郡香美町,村岡区味取３０７番地,6671363
3140001103099,松進丸株式会社,兵庫県,美方郡香美町,香住区沖浦３０３番地,6696433
3140001113734,香すみ堂株式会社,兵庫県,美方郡香美町,香住区香住１７５０番地４,6696544
3140001114278,株式会社森脇畜産,兵庫県,美方郡香美町,村岡区丸味６４５番地の１,6671351
3140001141355,株式会社はしやすめ,兵庫県,美方郡香美町,村岡区村岡２２８７番地,6671311
3140001141470,株式会社梅乃家,兵庫県,美方郡香美町,香住区下浜３０８番地の１,6696564
3140002046891,株式会社タスク,兵庫県,美方郡香美町,村岡区村岡２７７７番地１,6671311
4140001056321,株式会社伊藤松商店,兵庫県,美方郡香美町,香住区若松６１４番地,6696543
4140001056338,株式会社片岡会計,兵庫県,美方郡香美町,香住区香住１１３番地の１,6696544
4140001056346,株式会社サンハク,兵庫県,美方郡香美町,香住区若松７３１番地の１,6696543
4140001056354,長福石油株式会社,兵庫県,美方郡香美町,香住区沖浦９１１番地の２,6696433
4140001056370,マルヤ水産株式会社,兵庫県,美方郡香美町,香住区香住１８０９番地,6696544
4140001056379,山崎石材株式会社,兵庫県,美方郡香美町,香住区若松５４７番地の１,6696543
4140001056478,株式会社中弥技建工業,兵庫県,美方郡香美町,香住区香住１３３番地の２,6696544
4140001056486,香住鶴株式会社,兵庫県,美方郡香美町,香住区小原６００番地の２,6696559
4140001056635,株式会社アイテック西岡,兵庫県,美方郡香美町,村岡区福岡１０７３番地６,6671334
4140001056643,株式会社梅津商店,兵庫県,美方郡香美町,村岡区村岡１６０番地,6671311
4140001056800,スギハラ企画株式会社,兵庫県,美方郡香美町,香住区下岡５１８番地,6696413
4140001056899,株式会社ふれあい,兵庫県,美方郡香美町,小代区大谷５１０番地の１,6671503
4140001056924,株式会社石井,兵庫県,美方郡香美町,村岡区村岡２９２６番地の１,6671311
4140001098710,株式会社村水,兵庫県,美方郡香美町,香住区沖浦１０２４番地の４,6696433
4140001099667,株式会社えがおの里,兵庫県,美方郡香美町,香住区余部１９６９番地の１,6696671
4140001108007,山本工業株式会社,兵庫県,美方郡香美町,村岡区長瀬６１３番地の１,6671361
4140001110730,久保鉄工株式会社,兵庫県,美方郡香美町,香住区香住８２５番地の１,6696544
4140001112603,株式会社ＬＩＶＥ　ＷＥＬＬ,兵庫県,美方郡香美町,香住区山手１１３番地,6696547
