法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010401147594,ジャパンアーカイブズ株式会社,兵庫県,芦屋市,緑町５番１９号,6590042
1010501007269,株式会社大和,兵庫県,芦屋市,浜町４番７号,6590025
1011001051781,株式会社ウッドアイ,兵庫県,芦屋市,翠ケ丘町６番１６−１０４号,6590014
1011101057588,株式会社ｆｉｎｏ,兵庫県,芦屋市,業平町６番１１号,6590068
1011701016258,株式会社美塾,兵庫県,芦屋市,松ノ内町４番６−１０７号,6590094
1020001099847,Ｍｏｋｏｓｏｆｔ株式会社,兵庫県,芦屋市,涼風町１７番１０号,6590036
1021001044264,株式会社Ｔｈｅ　Ｍｕｓｉｃ　Ｃｅｎｔｅｒ　Ｊａｐａｎ,兵庫県,芦屋市,東芦屋町３番９号,6590095
1021001069187,アネンティ・セラピューティクス・ジャパン株式会社,兵庫県,芦屋市,山芦屋町４番３号,6590082
1040001033399,株式会社高陵商會,兵庫県,芦屋市,涼風町３０番３４号,6590036
1040001120255,株式会社Ｐｈａｒｍａｐ,兵庫県,芦屋市,若宮町４番地８−１１２号室,6590027
1100001035975,ＣＲＡバイオ株式会社,兵庫県,芦屋市,東芦屋町１３−１３−１０１,6590095
1120001002858,株式会社アタカ商店,兵庫県,芦屋市,打出町６番１６号,6590022
1120001042219,株式会社歌月,兵庫県,芦屋市,岩園町２５番１３号,6590013
1120001063173,レンテンローズ株式会社,兵庫県,芦屋市,船戸町３番６−２０２号,6590093
1120001067083,中実株式会社,兵庫県,芦屋市,大東町８番７号,6590023
1120001109042,ヨリフジ株式会社,兵庫県,芦屋市,呉川町１３番３−２０８号,6590051
1120001130155,株式会社シックス,兵庫県,芦屋市,茶屋之町３番１９号,6590067
1120001140765,株式会社ｏｎｅ,兵庫県,芦屋市,松ノ内町７−１４,6590094
1120001154187,大阪アテンダント株式会社,兵庫県,芦屋市,岩園町１０番７号,6590013
1120001159426,株式会社バンキフ,兵庫県,芦屋市,涼風町３１番１２号,6590036
1120001171372,株式会社５５ＷＯＲＸＸ,兵庫県,芦屋市,浜町１３番３−１１３号,6590025
1120001179250,株式会社ＧＲＡＮＤ　ＳＴＡＧＥ,兵庫県,芦屋市,前田町１０番９号２Ｆ,6590071
1120001180794,株式会社フューチャーバリュウ,兵庫県,芦屋市,浜芦屋町１番８号,6590054
1120001196576,株式会社ＵＮＩＷＯＲＬＤ　ＥＸＰＲＥＳＳ　ＪＡＰＡＮ,兵庫県,芦屋市,翠ケ丘町６−２,6590014
1120001199067,Ｄ−ＭＩＸ株式会社,兵庫県,芦屋市,船戸町５番２６号,6590093
1120001206005,シンリョウライフ株式会社,兵庫県,芦屋市,大原町１３番１号,6590092
1120001207647,株式会社ＨＡＮＪＩＮ　ＴＯＵＲ,兵庫県,芦屋市,楠町１０−２ラジュール芦屋４０３,6590015
1120001208612,ａｍｅｎｉｔｙ　ｌｉｆｅ株式会社,兵庫県,芦屋市,南宮町１７番１４−７号,6590024
1120001236316,株式会社ＣＦＯ,兵庫県,芦屋市,翠ケ丘町１５番１−３０５号,6590014
1120001264861,ＬＡＬＡ株式会社,兵庫県,芦屋市,山手町１７番１４号,6590096
1120101039172,株式会社エム・トレード・プロモーション,兵庫県,芦屋市,大桝町１番２５号,6590066
1120101069797,豊捷株式会社,兵庫県,芦屋市,奥池南町５−６,6590004
1120901016370,株式会社ビジネスプロデュース,兵庫県,芦屋市,西山町４番４号,6590083
1120901020208,井原興産株式会社,兵庫県,芦屋市,大原町５番２４−７０２号,6590092
1120901030041,株式会社エムズ,兵庫県,芦屋市,春日町３番５号,6590021
1120901037937,株式会社ｇｒｏｕｍ　ｄｅｓｉｇｎ,兵庫県,芦屋市,船戸町５番２６号マリアキャリーヌビル,6590093
1120901045865,ジャパンクリプトメリアホールディングス株式会社,兵庫県,芦屋市,山手町３１番３０号,6590096
1122001031440,株式会社ＲＩＢＢＯＮ,兵庫県,芦屋市,浜町１番２６号,6590025
1130001015108,株式会社ディック,兵庫県,芦屋市,岩園町２番７号,6590013
1130001025651,株式会社サイシス,兵庫県,芦屋市,船戸町５番２６号,6590093
1130001069120,株式会社Ａｖａｎｔｉｖｅ,兵庫県,芦屋市,東芦屋町２０−１８Ａ棟,6590095
1140001000050,株式会社アイジーエム,兵庫県,芦屋市,南宮町１番３号,6590024
1140001000100,芦屋都市管理株式会社,兵庫県,芦屋市,船戸町４番１−５０２号,6590093
1140001000109,株式会社芦屋花二,兵庫県,芦屋市,清水町４番７号,6590076
1140001000125,株式会社ＡＢＲＤ商事,兵庫県,芦屋市,岩園町１番７号,6590013
1140001000141,株式会社イクシ,兵庫県,芦屋市,山手町三丁目１番地,6590096
1140001000158,株式会社インシュアランスサービス,兵庫県,芦屋市,松ノ内町１番１０号,6590094
1140001000166,一光開発株式会社,兵庫県,芦屋市,西山町２２番７号,6590083
1140001000174,株式会社今里天晴園,兵庫県,芦屋市,西山町１５番７号,6590083
1140001000182,株式会社ヴィジョン,兵庫県,芦屋市,精道町４番１２号,6590064
1140001000199,株式会社エアフォルク,兵庫県,芦屋市,翠ケ丘町１３番２号,6590014
1140001000208,エフ・エス・アイ・ジャパン株式会社,兵庫県,芦屋市,三条町６番１０号,6590087
1140001000224,株式会社大阪八木,兵庫県,芦屋市,浜芦屋町２番１２号,6590054
1140001000257,関西鍍金株式会社,兵庫県,芦屋市,川西町８番１１号,6590072
1140001000273,株式会社カラッティ,兵庫県,芦屋市,大原町９番１−１０７号,6590092
1140001000315,株式会社クロッシング,兵庫県,芦屋市,上宮川町５−１−２０１,6590061
1140001000356,株式会社近藤建設,兵庫県,芦屋市,若宮町６番５号,6590027
1140001000389,サン・テレホンハウス株式会社,兵庫県,芦屋市,岩園町２４番１８号,6590013
1140001000397,株式会社サンプラス,兵庫県,芦屋市,三条町３２番２号,6590087
1140001000406,猿丸地所株式会社,兵庫県,芦屋市,月若町７番１６号,6590084
1140001000414,株式会社シーカム,兵庫県,芦屋市,大桝町７番２−３０３号,6590066
1140001000430,株式会社自然美,兵庫県,芦屋市,岩園町９番３４号,6590013
1140001000447,株式会社ミュゼオ,兵庫県,芦屋市,業平町７番１４号,6590068
1140001000496,株式会社エーアンドエフアソシエーツ,兵庫県,芦屋市,東山町１２番８号,6590091
1140001000513,株式会社マルナ,兵庫県,芦屋市,津知町５番１５号,6590075
1140001000521,株式会社エネルギーステーション,兵庫県,芦屋市,打出町３番２６−２号,6590022
1140001000538,株式会社辰新,兵庫県,芦屋市,山手町７番４号,6590096
1140001000546,株式会社地球環境改善システム,兵庫県,芦屋市,大桝町１番２５号アクセシオ芦屋,6590066
1140001000554,株式会社壺坂クリーニング工場,兵庫県,芦屋市,茶屋之町１番１７号,6590067
1140001000562,株式会社ディス,兵庫県,芦屋市,浜芦屋町４番２１号,6590054
1140001000570,天忠建物株式会社,兵庫県,芦屋市,春日町１６番６号,6590021
1140001000595,株式会社なかすじ商店,兵庫県,芦屋市,若宮町５番１１号,6590027
1140001000604,株式会社中村泰商店,兵庫県,芦屋市,浜風町８番１９−２号,6590032
1140001000612,西川産業株式会社,兵庫県,芦屋市,松ノ内町３番３２号,6590094
1140001000661,阪神住宅販売株式会社,兵庫県,芦屋市,翠ケ丘町２０番９−５０４号,6590014
1140001000678,彦太株式会社,兵庫県,芦屋市,船戸町１０番５号,6590093
1140001000694,株式会社冨久屋商事,兵庫県,芦屋市,大桝町７番２−５０１号,6590066
1140001000703,株式会社藤野工務店,兵庫県,芦屋市,前田町４番１１号,6590071
1140001000711,株式会社フューチャーインヴェストメント,兵庫県,芦屋市,奥池南町７番１８号,6590004
1140001000736,株式会社ボンテンコーポレーション,兵庫県,芦屋市,西山町１１番８号,6590083
1140001000760,マダム株式会社,兵庫県,芦屋市,岩園町３０番１３号,6590013
1140001000769,株式会社マルユ,兵庫県,芦屋市,船戸町２番１−９０４号,6590093
1140001000777,三木商事株式会社,兵庫県,芦屋市,船戸町９番１７号,6590093
1140001000785,株式会社ミュー・ユウ,兵庫県,芦屋市,東芦屋町２４番２５号,6590095
1140001000802,株式会社メッセインターナショナル,兵庫県,芦屋市,高浜町３番１−１５１２号,6590033
1140001000810,株式会社森本工務店,兵庫県,芦屋市,船戸町１１番１７−１０１号,6590093
1140001000827,株式会社ヤマモト,兵庫県,芦屋市,山芦屋町１１番６−４０４号,6590082
1140001000835,株式会社結城屋樋口,兵庫県,芦屋市,船戸町４番１−４１１号,6590093
1140001000892,株式会社六甲メデイコ,兵庫県,芦屋市,六麓荘町９番１９号,6590011
1140001000901,株式会社神戸れんが亭,兵庫県,芦屋市,西芦屋町７番１１号,6590085
1140001001627,三洋運輸株式会社,兵庫県,芦屋市,岩園町４９番７号,6590013
1140001009174,株式会社高翔,兵庫県,芦屋市,業平町３番６号１階,6590068
1140001009620,東洋産商株式会社,兵庫県,芦屋市,奥池町２７番１号,6590003
1140001009959,日荘工務株式会社,兵庫県,芦屋市,宮塚町１２番２１号,6590062
1140001015494,株式会社メイクバース,兵庫県,芦屋市,三条町３４番７号１０３号,6590087
1140001016798,株式会社フルヤ,兵庫県,芦屋市,朝日ケ丘町３６番１２号,6590012
1140001019009,株式会社ＫＨＫ　ｅ−ＴＥＣＨ,兵庫県,芦屋市,西蔵町５番５号,6590026
1140001019504,株式会社ケイ・インターナショナル,兵庫県,芦屋市,大原町１５−１６,6590092
1140001019611,株式会社アーズ,兵庫県,芦屋市,業平町１番２０号,6590068
1140001020032,株式会社ウォーキングトレンズ・インターナショナル,兵庫県,芦屋市,平田町２番７−７０３号,6590074
1140001020354,株式会社ライフワールド,兵庫県,芦屋市,東山町１３番５号,6590091
1140001020429,株式会社福祉プロジェクト,兵庫県,芦屋市,若葉町４番１−１９１１号,6590041
1140001021121,ミウラ不動産株式会社,兵庫県,芦屋市,三条町７番５号,6590087
1140001021253,株式会社ユニツク,兵庫県,芦屋市,大原町２１−１５−４０１,6590092
1140001022730,株式会社ダイナミクス,兵庫県,芦屋市,呉川町１８番２−２１１号,6590051
1140001022813,株式会社兼常コーポレーション,兵庫県,芦屋市,岩園町２２番３３号,6590013
1140001023068,マーブル株式会社,兵庫県,芦屋市,東山町５−１４リアライズ芦屋東山１Ｆ,6590091
1140001023084,株式会社ｓｙｎｃ　Ｊａｐａｎ,兵庫県,芦屋市,翠ケ丘町１９番８−４０２号,6590014
1140001023142,株式会社ローゲンマイヤー,兵庫県,芦屋市,船戸町２番１号,6590093
1140001023456,スティックス株式会社,兵庫県,芦屋市,大東町１４番３号,6590023
1140001023596,株式会社アンテリーベ,兵庫県,芦屋市,大原町５−２ポトラビル１Ｆ,6590092
1140001023778,芦屋ホームサービス株式会社,兵庫県,芦屋市,東芦屋町１番９−１０６号,6590095
1140001024157,株式会社Ｏｈ,兵庫県,芦屋市,川西町４番４号,6590072
1140001024586,マイクロコーテック株式会社,兵庫県,芦屋市,精道町２番１９号,6590064
1140001024768,株式会社パークダイアモンド,兵庫県,芦屋市,奥池南町１９番１０号,6590004
