法人番号,法人名,都道府県,市区町村,番地,郵便番号
1140001024306,株式会社ファーマシア,兵庫県,西脇市,小坂町６４番地の５,6770017
1140001075233,株式会社西脇電化通信機,兵庫県,西脇市,小坂町２３７番地の１,6770017
1140001075241,藤井鐵工株式会社,兵庫県,西脇市,寺内３８５番地の９,6770022
1140001075274,株式会社アサオ,兵庫県,西脇市,黒田庄町前坂１０７８番地,6790303
1140001075282,株式会社生田製パン所,兵庫県,西脇市,上比延町６４７番地,6770039
1140001075290,板野鈑金株式会社,兵庫県,西脇市,蒲江５７２番地の１,6770021
1140001075324,株式会社末廣製作,兵庫県,西脇市,西脇１１１４番地,6770015
1140001075332,ステップ株式会社,兵庫県,西脇市,西脇１２１５番地の１,6770015
1140001075349,エー・ワン土建株式会社,兵庫県,西脇市,野村町薬師ノ下８３０番地１,6770054
1140001075373,株式会社ｏｚａｗａ,兵庫県,西脇市,堀町４００番地の５,6770042
1140001075381,株式会社オーロラ,兵庫県,西脇市,黒田庄町田高３５９番地,6790321
1140001075398,株式会社オカダ,兵庫県,西脇市,和布町出島１６１番地２,6770053
1140001075407,株式会社片山商店,兵庫県,西脇市,西脇１１３０番地の６,6770015
1140001075431,株式会社フジイ工芸,兵庫県,西脇市,郷瀬町４８４番地の２,6770014
1140001075456,株式会社協和自動車工業所,兵庫県,西脇市,野村町４０６番地の２,6770054
1140001075464,株式会社エンタコンサルタント,兵庫県,西脇市,西脇２０５番地,6770015
1140001075480,クレンツ映像株式会社,兵庫県,西脇市,西脇１０７３番地,6770015
1140001075497,株式会社斎藤商店,兵庫県,西脇市,郷瀬町５５４番地,6770014
1140001075506,株式会社テキスタイル来住,兵庫県,西脇市,比延町３６１番地の１,6770037
1140001075514,株式会社厚生堂,兵庫県,西脇市,西脇２６７番地,6770015
1140001075530,株式会社小林恒助商店,兵庫県,西脇市,黒田庄町田高７８３番地の５,6790321
1140001075547,株式会社トラベルワールド,兵庫県,西脇市,鹿野町４７８番地,6770033
