法人番号,法人名,都道府県,市区町村,番地,郵便番号
1011001104127,株式会社じゃぱん商会,兵庫県,豊岡市,日高町土居８０−１,6695321
1011001106585,ユニカルフーヅ株式会社,兵庫県,豊岡市,出石町口小野字滝ノ谷３２番１０,6680202
1130001070598,株式会社プラチナサークル,兵庫県,豊岡市,日高町国分寺１０９番地の１,6695341
1140001055796,株式会社アールシステム,兵庫県,豊岡市,上佐野１番地の４,6680061
1140001055805,株式会社池口,兵庫県,豊岡市,元町５番３２号,6680026
1140001055821,株式会社ウエスギ,兵庫県,豊岡市,元町８番１１号,6680026
1140001055838,株式会社尾畑本店,兵庫県,豊岡市,千代田町８番２７号,6680032
1140001055846,株式会社オシマ,兵庫県,豊岡市,上佐野１４１０番地の３,6680061
1140001055854,太田商事株式会社,兵庫県,豊岡市,山王町２番２６号,6680044
1140001055862,株式会社ガンピー,兵庫県,豊岡市,日高町国分寺字薮の内２１３番地,6695341
1140001055870,株式会社門間商事,兵庫県,豊岡市,昭和町６番１５号,6680055
1140001055879,協和電気設備株式会社,兵庫県,豊岡市,中陰２９４番地の１,6680013
1140001055887,株式会社北兵庫アルミ,兵庫県,豊岡市,福田１４８２番地の３,6680084
1140001055895,北関西情報通信株式会社,兵庫県,豊岡市,高屋１０８９番地７,6680064
1140001055904,株式会社クレス,兵庫県,豊岡市,九日市上町２８番地５,6680051
1140001055912,コニー株式会社,兵庫県,豊岡市,佐野８１番地５,6680062
1140001055929,株式会社坂本工務店,兵庫県,豊岡市,森９２番地の３,6680806
1140001055937,株式会社清水工務店,兵庫県,豊岡市,瀬戸１６５番地の４,6696122
1140001055945,株式会社祥鳳,兵庫県,豊岡市,梶原３６８番地の１,6680871
1140001055953,株式会社スタミナフードサービス,兵庫県,豊岡市,日撫３９０−１０,6680815
1140001055978,株式会社谷下,兵庫県,豊岡市,高屋９０８番地の１,6680064
1140001055986,タイショー産業株式会社,兵庫県,豊岡市,庄１２８番地の１,6680082
1140001055994,株式会社田内工務店,兵庫県,豊岡市,栃江１０１４番地の１,6680083
1140001056002,寺田酸素株式会社,兵庫県,豊岡市,桜町１１番１３号,6680043
1140001056010,株式会社東豊精工,兵庫県,豊岡市,下陰４０４番地の１,6680012
1140001056019,株式会社豊岡水田,兵庫県,豊岡市,昭和町７番３６号,6680055
1140001056027,三丹ビジネスマシン株式会社,兵庫県,豊岡市,中陰３７６番地の５,6680013
1140001056035,並河株式会社,兵庫県,豊岡市,九日市上町８１７番地の３１,6680051
1140001056043,株式会社ナカシマ,兵庫県,豊岡市,小田井町２番２０号,6680022
1140001056051,日産但馬販売株式会社,兵庫県,豊岡市,九日市下町字下荒原１６９番地の５,6680052
1140001056068,株式会社橋本エアコン,兵庫県,豊岡市,上陰１６４番地４,6680011
1140001056076,株式会社日乃本錠前豊岡店,兵庫県,豊岡市,九日市上町８１７番地の６,6680051
1140001056084,株式会社ピージェイ,兵庫県,豊岡市,上陰１６４番地の２,6680011
1140001056092,株式会社フクダカンバン,兵庫県,豊岡市,九日市下町１３２番地の３,6680052
1140001056101,株式会社ホクタン,兵庫県,豊岡市,中陰３９９番地の７,6680013
1140001056118,株式会社丸信,兵庫県,豊岡市,千代田町７番１号,6680032
1140001056126,松下ラゲッジ株式会社,兵庫県,豊岡市,中陰３１８番地,6680013
1140001056134,株式会社元庄屋,兵庫県,豊岡市,幸町６番４号,6680025
1140001056142,株式会社やすだ,兵庫県,豊岡市,中央町１３番７号,6680033
1140001056150,株式会社ユラク,兵庫県,豊岡市,中陰６３９番地,6680013
1140001056159,株式会社ライフひょうご,兵庫県,豊岡市,幸町９番１３号,6680025
1140001056167,株式会社北前館,兵庫県,豊岡市,竹野町竹野５０番地の１２,6696201
1140001056175,北陽工業株式会社,兵庫県,豊岡市,竹野町竹野２８４１番地の１,6696201
1140001056183,株式会社油筒屋,兵庫県,豊岡市,城崎町湯島３７３番地,6696101
1140001056191,株式会社黒田けやき,兵庫県,豊岡市,城崎町湯島９０１番地,6696101
1140001056200,株式会社谷口屋工務店,兵庫県,豊岡市,城崎町桃島１２６１番地の２,6696102
1140001056209,株式会社西村屋,兵庫県,豊岡市,城崎町湯島４６９番地,6696101
1140001056217,株式会社富士見屋,兵庫県,豊岡市,城崎町湯島７３０番地,6696101
1140001056225,岩見印刷株式会社,兵庫県,豊岡市,日高町土居６７番地の１,6695321
1140001056258,株式会社システムリサーチ,兵庫県,豊岡市,日高町国分寺１５８番地１,6695341
1140001056266,但馬合繊株式会社,兵庫県,豊岡市,日高町野々庄８８４番地,6695327
1140001056274,但馬石材株式会社,兵庫県,豊岡市,日高町十戸１４１番地の２,6695365
1140001056282,株式会社中西組,兵庫県,豊岡市,日高町野４２６番地の１,6695363
1140001056290,日神工業株式会社,兵庫県,豊岡市,日高町栗山９０１番地の３,6695361
1140001056299,株式会社日高メリヤス,兵庫県,豊岡市,日高町上石３７番地,6695331
1140001056308,株式会社まつばら,兵庫県,豊岡市,日高町日置４３番地の１,6695311
1140001056398,株式会社川見建設,兵庫県,豊岡市,出石町町分２５２番地,6680221
1140001056407,大同開発工業株式会社,兵庫県,豊岡市,日高町東芝３９５番地,6695328
1140001056415,株式会社デベロップ出石,兵庫県,豊岡市,出石町弘原３２３番地,6680238
1140001056423,株式会社長谷川電機,兵庫県,豊岡市,出石町川原１９７番地,6680231
1140001056431,株式会社マルテン,兵庫県,豊岡市,出石町宮内１６８番地の１,6680204
1140001056448,但東自動車株式会社,兵庫県,豊岡市,但東町出合５１番地,6680311
1140001056456,マイクロ・ウェブ株式会社,兵庫県,豊岡市,出石町本町６８番地,6680224
1140001056464,株式会社井戸,兵庫県,豊岡市,幸町１番２５号,6680025
1140001056472,バッグワークス株式会社,兵庫県,豊岡市,九日市上町７６７番地の４,6680051
1140001056489,株式会社田口設備建設,兵庫県,豊岡市,九日市中町７０番地,6680053
1140001056506,豊岡エネルギー株式会社,兵庫県,豊岡市,三坂町６番５７号,6680047
1140001056514,株式会社小畑,兵庫県,豊岡市,大篠岡７１８番地,6680861
1140001056778,株式会社ＵＳ．ＧＡＲＡＧＥ,兵庫県,豊岡市,出石町宮内２３０番地の１,6680204
1140001056794,株式会社ケイアイエスコーポレーション,兵庫県,豊岡市,福田１８８７番地の１,6680084
1140001056803,株式会社オカモリ,兵庫県,豊岡市,但東町水石７０８番地,6680304
1140001056828,株式会社アレスト,兵庫県,豊岡市,戸牧２３６,6680065
1140001056836,株式会社アカイシ,兵庫県,豊岡市,三宅９５３番地１,6680823
1140001056844,モリ・プランズ株式会社,兵庫県,豊岡市,中央町１８番８号,6680033
1140001056852,株式会社リンクス,兵庫県,豊岡市,九日市上町２２９番地,6680051
