法人番号,法人名,都道府県,市区町村,番地,郵便番号
1011001098930,株式会社アクセレイト,兵庫県,赤穂市,中広１７９番地１アーバンシティ赤穂９０３,6780232
1140001013655,株式会社藤栄,兵庫県,赤穂市,中広１０２９番地,6780232
1140001039642,株式会社中道工務店,兵庫県,赤穂市,若草町７番地,6780243
1140001039667,しおや給食株式会社,兵庫県,赤穂市,加里屋１０９６番地の２８,6780239
1140001039741,株式会社ソイルテック,兵庫県,赤穂市,西有年２３５４番地,6781186
1140001039832,株式会社エクステリア竹内,兵庫県,赤穂市,中広１２４１番地２,6780232
1140001039907,株式会社ヤナギハラ,兵庫県,赤穂市,有年原２８２番地１,6781182
1140001039972,株式会社赤穂市場,兵庫県,赤穂市,加里屋４２番地の７,6780239
1140001039980,赤穂化成株式会社,兵庫県,赤穂市,坂越３２９番地,6780172
1140001039989,株式会社赤穂ブルドーザー,兵庫県,赤穂市,加里屋１６２６番地,6780239
1140001039997,株式会社明石塗装店,兵庫県,赤穂市,加里屋２１６３番地,6780239
1140001040006,株式会社アコオ機工,兵庫県,赤穂市,東有年９５２番地５,6781185
1140001040014,株式会社魚正,兵庫県,赤穂市,寿町７番地の５,6780204
1140001040030,株式会社オサキ商行,兵庫県,赤穂市,朝日町５番地の１,6780214
1140001040039,株式会社亀井産業,兵庫県,赤穂市,中広１７２２番地の４,6780232
1140001040047,黒金製菓株式会社,兵庫県,赤穂市,加里屋２０７２番地の５,6780239
1140001040055,西中工材株式会社,兵庫県,赤穂市,新田１０１５番地の１,6780255
1140001040063,株式会社コジマヤ,兵庫県,赤穂市,尾崎３１６１番地の１３,6780221
1140001040071,株式会社坂本組,兵庫県,赤穂市,折方８７４番地,6780254
1140001040088,株式会社関工務店,兵庫県,赤穂市,尾崎３１３９番地の１０１,6780221
1140001040096,株式会社創備,兵庫県,赤穂市,元町１番地の５,6780203
1140001040113,株式会社チャイルドショップハルタ,兵庫県,赤穂市,加里屋２１６４番地の４０,6780239
1140001040121,株式会社播州商会,兵庫県,赤穂市,上仮屋南４番地の２１,6780236
1140001040138,株式会社平成建設,兵庫県,赤穂市,海浜町４０番地,6780225
1140001040162,三島製菓株式会社,兵庫県,赤穂市,御崎３４１番地の１,6780215
1140001040170,株式会社山本木工,兵庫県,赤穂市,加里屋磯１１３９番地の３２,6780239
1140001040179,赤穂開発株式会社,兵庫県,赤穂市,鷏和字中河原９０９番地,6780256
1140001040360,株式会社安井電工,兵庫県,赤穂市,加里屋３番地,6780239
1140001040468,株式会社ノア,兵庫県,赤穂市,惣門町５５−１３番地,6780241
1140001040609,株式会社ジョイライフ,兵庫県,赤穂市,中広１０２９番地,6780232
1140001040674,株式会社ミチビキ建材,兵庫県,赤穂市,元沖町６３番地,6780224
1140001040732,株式会社アイレッツ,兵庫県,赤穂市,尾崎３１３４番地の２５,6780221
1140001040773,株式会社石田興産,兵庫県,赤穂市,清水町７番地の９,6780212
1140001040807,株式会社Ｆｒｅｉｈｅｉｔ,兵庫県,赤穂市,長池町２４番地,6780242
1140001086528,保険ランド株式会社,兵庫県,赤穂市,加里屋中洲５丁目１番地９−２０１号,6780233
1140001088342,易意集団・日本株式会社,兵庫県,赤穂市,加里屋磯１１３９番地の２３,6780239
1140001090257,株式会社赤穂民報社,兵庫県,赤穂市,加里屋５８番地１８,6780239
1140001091957,株式会社岡本建設,兵庫県,赤穂市,東浜町５２番地,6780222
1140001092047,高木コーポレーション株式会社,兵庫県,赤穂市,砂子２４５番地１,6780174
1140001092955,株式会社近藤鉄工,兵庫県,赤穂市,加里屋１４６７番地６,6780239
1140001095306,株式会社ヨコタ,兵庫県,赤穂市,折方８１４番地２,6780254
1140001096114,株式会社Ｓａｆｅｔｙ　Ｆｏｒ　Ｓｍｉｌｅ,兵庫県,赤穂市,尾崎３１５８番地４５,6780221
1140001103480,金礪建工株式会社,兵庫県,赤穂市,さつき町３６番地の９,6780226
1140001103729,ＲＥＮＯＸ株式会社,兵庫県,赤穂市,加里屋９５番地１６,6780239
1140001103844,株式会社ライズ,兵庫県,赤穂市,御崎２番地８,6780215
1140001105031,株式会社前田商会,兵庫県,赤穂市,坂越１０１５番地,6780172
1140001106500,株式会社アカセツ,兵庫県,赤穂市,大津２２８番地２,6780252
1140001108125,株式会社Ｓ＆Ｋ,兵庫県,赤穂市,山手町４番地１,6780202
1140001111070,株式会社ＳＯＯＲホールディングス,兵庫県,赤穂市,加里屋６９番地１３,6780239
1140001112969,タイトレック株式会社,兵庫県,赤穂市,御崎１５１番地８,6780215
1140001125120,株式会社フードライフマネジメント,兵庫県,赤穂市,尾崎３１６１番地１３,6780221
1140001129749,スマート株式会社,兵庫県,赤穂市,南野中２０９番地１−１０２号,6780176
1140001136605,株式会社苅田電工,兵庫県,赤穂市,中広９５４番地１１,6780232
1140002034213,株式会社フナビキホールディングス,兵庫県,赤穂市,中広１５７６番地１１,6780232
2140001039666,株式会社住所工務店,兵庫県,赤穂市,福浦２１０５番地,6780257
2140001039708,株式会社中央建設,兵庫県,赤穂市,中広１７９番地の１７,6780232
2140001039732,関西カツター工業株式会社,兵庫県,赤穂市,御崎１４１５番地,6780215
2140001039740,前田石油株式会社,兵庫県,赤穂市,中広１７９番地の６,6780232
2140001039807,株式会社関石油店,兵庫県,赤穂市,加里屋４９番地の３,6780239
2140001039815,ＫＶアーテック株式会社,兵庫県,赤穂市,加里屋字駅前町３３番地の１,6780239
2140001039889,株式会社中谷商店,兵庫県,赤穂市,福浦２６６７番地の１,6780257
2140001039906,片上運輸株式会社,兵庫県,赤穂市,加里屋９６８番地の５,6780239
2140001039971,播州製菓株式会社,兵庫県,赤穂市,加里屋中洲６丁目２４番地,6780233
2140001039996,株式会社赤穂フィッシングランド,兵庫県,赤穂市,坂越字大柴垣３０５４番地の１９,6780172
2140001040005,株式会社アコール,兵庫県,赤穂市,坂越３３３番地,6780172
2140001040013,株式会社岩崎組,兵庫県,赤穂市,西有年３０１６番地の６４,6781186
2140001040021,播州共販ガス株式会社,兵庫県,赤穂市,加里屋中洲５丁目３３番地（前川ビル）,6780233
2140001040038,オートリバー株式会社,兵庫県,赤穂市,元町６番の６,6780203
2140001040062,ゴーマルイチ株式会社,兵庫県,赤穂市,朝日町１１番地の２０,6780214
2140001040070,三友産業株式会社,兵庫県,赤穂市,大町１番地の７,6780205
2140001040079,株式会社新興開発,兵庫県,赤穂市,加里屋１１２０番地の１１２,6780239
2140001040087,株式会社杉原重機,兵庫県,赤穂市,尾崎５７７番地の１０,6780221
2140001040095,相互自動車センター株式会社,兵庫県,赤穂市,加里屋中洲１丁目５番地,6780233
2140001040112,千種建設株式会社,兵庫県,赤穂市,中広１２４５番地の７,6780232
2140001040120,兵庫丸門運輸株式会社,兵庫県,赤穂市,有年楢原１０９０番地の１,6781181
2140001040137,株式会社ベビー、チャイルドショップたけうちアイ,兵庫県,赤穂市,加里屋２１８８番地の８,6780239
2140001040145,株式会社丸中商会,兵庫県,赤穂市,加里屋２１６４番地の２７,6780239
2140001040153,株式会社曲戸工業,兵庫県,赤穂市,新田２０９番地,6780255
2140001040161,御崎タクシー株式会社,兵庫県,赤穂市,中広１４２番地の４６,6780232
2140001040269,株式会社クリエイション,兵庫県,赤穂市,御崎１３１番地,6780215
2140001040310,株式会社日産電工,兵庫県,赤穂市,中広１３３番地の３２,6780232
2140001040450,播磨西エナジック株式会社,兵庫県,赤穂市,加里屋１１２０番地の１２４,6780239
2140001040475,株式会社Ｄ・Ｓあさひ,兵庫県,赤穂市,加里屋中洲５丁目１−９,6780233
2140001040616,栄建築株式会社,兵庫県,赤穂市,城西町１５番地５,6780244
2140001040632,セシルラボ株式会社,兵庫県,赤穂市,坂越２１９０番地,6780172
2140001040715,株式会社セーフティ・サポート,兵庫県,赤穂市,加里屋２９０−１０,6780239
2140001040780,株式会社天塩,兵庫県,赤穂市,坂越３９０番地,6780172
2140001087442,フジタデンキ株式会社,兵庫県,赤穂市,朝日町５−２２,6780214
2140001090256,谷崎電器株式会社,兵庫県,赤穂市,有年横尾５７０−３,6781184
2140001097581,平林建築工房株式会社,兵庫県,赤穂市,加里屋２６番地４,6780239
2140001099487,株式会社京田辺開発,兵庫県,赤穂市,加里屋中洲２丁目１番地１,6780233
2140001101434,株式会社優樹,兵庫県,赤穂市,加里屋１７４１番地,6780239
2140001104940,Ｘ−ｍｏｖ　Ｊａｐａｎ株式会社,兵庫県,赤穂市,中広５００番地６,6780232
2140001107943,株式会社クリーン赤穂,兵庫県,赤穂市,加里屋１５１０番地,6780239
2140001109139,株式会社神功,兵庫県,赤穂市,高野６８０番地４,6780171
2140001121028,株式会社ＭＯＲＩＤＥＮ　ＧＲＯＵＰ,兵庫県,赤穂市,山手町８番地２１,6780202
2140001121283,株式会社霜野ホールディングス,兵庫県,赤穂市,中広１７６番地の１,6780232
2140001127859,株式会社海良水産,兵庫県,赤穂市,坂越８６３番地,6780172
2140001129252,株式会社ＢＡＲＩ　ＭＩＳＳＩＯＮ,兵庫県,赤穂市,尾崎２４７０番地１５０,6780221
2140001132124,株式会社カーギャラリーナカタ,兵庫県,赤穂市,さつき町１１番地１０,6780226
2140001134698,佳音株式会社,兵庫県,赤穂市,高野１１８６番地１４６,6780171
2140001135093,エム・ワイ・ケイ株式会社,兵庫県,赤穂市,東浜町８３番地,6780222
2140001135457,株式会社ＴＯＲＯ,兵庫県,赤穂市,坂越１５４０,6780172
2140001141331,株式会社酒井鉄工所,兵庫県,赤穂市,大津１６１２番地,6780252
2140001142040,株式会社Ｒｏｏｔｓ,兵庫県,赤穂市,西有年宮原３４４６番地,6781186
2140002033585,株式会社坪田興業,兵庫県,赤穂市,加里屋１５１０番地,6780239
2140002033825,株式会社結城建設,兵庫県,赤穂市,山手町８番地２７,6780202
3140001039649,株式会社木下造園土木,兵庫県,赤穂市,元塩町６番地の３７,6780213
3140001039715,株式会社北國測量設計,兵庫県,赤穂市,上仮屋北２番地の１６,6780237
3140001039748,株式会社備生本店,兵庫県,赤穂市,加里屋中洲５丁目３２番地,6780233
3140001039772,株式会社東陽環境センター,兵庫県,赤穂市,南野中４４１番地１,6780176
3140001039814,入潮産業株式会社,兵庫県,赤穂市,木津字稲荷山１３２５番地,6780165
3140001039822,株式会社中田鉄工所,兵庫県,赤穂市,中広１３３２番地の１,6780232
3140001039888,株式会社中西,兵庫県,赤穂市,加里屋５３番地の２,6780239
3140001039896,玉石重機株式会社,兵庫県,赤穂市,御崎１５１番地の８,6780215
3140001039905,ワイ，ケイ，エンタープライズ株式会社,兵庫県,赤穂市,加里屋字磯１１２０番１１７,6780239
3140001039979,赤穂食糧株式会社,兵庫県,赤穂市,中広１３６５番地１,6780232
3140001039987,赤穂ヤンマー株式会社,兵庫県,赤穂市,正保橋町３番地の１１４,6780216
3140001040004,株式会社アーリス,兵庫県,赤穂市,中広島田１６５番地１,6780232
3140001040012,株式会社五実興産,兵庫県,赤穂市,折方１５１３番地,6780254
3140001040029,大島農機株式会社,兵庫県,赤穂市,加里屋７４番地の６,6780239
3140001040037,小川機工株式会社,兵庫県,赤穂市,折方字黒崎１４９５番地の１６,6780254
3140001040045,共和産業株式会社,兵庫県,赤穂市,加里屋７５番地の６,6780239
3140001040061,康幹舖道株式会社,兵庫県,赤穂市,加里屋１２５５番地の１,6780239
3140001040078,株式会社ジヨイハシモト,兵庫県,赤穂市,中広２番地,6780232
3140001040086,吹田鉄工株式会社,兵庫県,赤穂市,中広東沖１２５１番地,6780232
3140001040103,タテホ化学工業株式会社,兵庫県,赤穂市,加里屋字加藤９７４番地,6780239
3140001040111,千種工業株式会社,兵庫県,赤穂市,西有年３０１６番地,6781186
3140001040128,株式会社東浜,兵庫県,赤穂市,東浜町８８番地,6780222
3140001040152,株式会社目坂自動車,兵庫県,赤穂市,古浜町３９番地,6780258
3140001040160,光化成株式会社,兵庫県,赤穂市,中広１５７６番地の５,6780232
3140001040169,株式会社望月光洋電設,兵庫県,赤穂市,有年横尾３９５番地の１５,6781184
3140001040268,株式会社コスモ,兵庫県,赤穂市,坂越１０１５番地,6780172
3140001040318,美咲工業株式会社,兵庫県,赤穂市,北野中３９７番地の９２,6780175
3140001040334,株式会社ケイ・アンド・エム,兵庫県,赤穂市,加里屋３２１５番地の１３,6780239
3140001040342,株式会社アジュール,兵庫県,赤穂市,加里屋２９０番地の１０,6780239
3140001040441,株式会社ＡＬＦＸインベストメント,兵庫県,赤穂市,有年楢原８５０番地,6781181
3140001040763,Ｒ三木警備株式会社,兵庫県,赤穂市,北野中３９７番地の１９,6780175
3140001040813,株式会社スカイトレーディング,兵庫県,赤穂市,高野１０４７番地の７１,6780171
3140001057080,イオンセラミック株式会社,兵庫県,赤穂市,農神町６番地２０,6780238
3140001092391,アイヴィエ・システム・コーポレーション株式会社,兵庫県,赤穂市,中広１３０４番地３,6780232
3140001092615,日本福永合株式会社,兵庫県,赤穂市,木津１３２５−１０３,6780165
3140001095741,くいどうらく株式会社,兵庫県,赤穂市,坂越２９０−７,6780172
3140001096467,技研工業株式会社,兵庫県,赤穂市,有年原６７４番地,6781182
3140001098356,桜丸株式会社,兵庫県,赤穂市,福浦５２番地１,6780257
3140001100567,株式会社杉山サッシ硝子,兵庫県,赤穂市,北野中１４９番地５,6780175
3140001101219,株式会社マエダマーキン,兵庫県,赤穂市,天和１２０１番地１,6780200
3140001101697,株式会社坂本電工,兵庫県,赤穂市,板屋町３８５番地１,6780248
3140001105401,株式会社３６５,兵庫県,赤穂市,中広１４８番地１１,6780232
3140001106424,Ａｋｏ．ｆａｃｔｌｅｄｇｅ．ｌａｂｏ株式会社,兵庫県,赤穂市,東有年９５２番地５,6781185
3140001109170,株式会社グロンターブル,兵庫県,赤穂市,木津１３２５番地１０２,6780165
3140001111399,株式会社柴田工業,兵庫県,赤穂市,有年楢原４４２番地,6781181
3140001114419,株式会社アウル,兵庫県,赤穂市,大津１８９９番地１,6780252
3140001116134,株式会社松本整備,兵庫県,赤穂市,鷏和１１１１番地１,6780256
3140001118304,株式会社翔星建設工業,兵庫県,赤穂市,新田４００番地１,6780255
3140001124748,アトラス興業株式会社,兵庫県,赤穂市,高野１１８６番地５３,6780171
3140001129094,株式会社モン・リシェス,兵庫県,赤穂市,坂越２８５１番地１６、１４−１,6780172
3140001139151,株式会社赤穂ロイヤルホテル,兵庫県,赤穂市,加里屋中洲３２５０番地,6780200
3140001140803,ＹＯＳＵＧＡ企画株式会社,兵庫県,赤穂市,砂子２４５番地１,6780174
3140002034095,株式会社船曳商店,兵庫県,赤穂市,中広１５７６番地１１,6780232
3140002034153,株式会社徳信住宅,兵庫県,赤穂市,中広１４４番地の２,6780232
3160001022792,株式会社Ｉ’ｓ　Ｓｅｌｅｃｔ,兵庫県,赤穂市,福浦２３５２番地,6780257
3200001030691,翔輝株式会社,兵庫県,赤穂市,高野１１８６番地５３,6780171
3260001009268,株式会社Ｋ・Ｎサービス,兵庫県,赤穂市,加里屋４８番地５,6780239
4021001018050,株式会社ＳＯＹ　Ｓｔｙｌｅ,兵庫県,赤穂市,北野中３０４番地９,6780175
4140001030128,株式会社ＧＯ　ＢＥＹＯＮＤ,兵庫県,赤穂市,浜市３４５番地の８,6780173
4140001039648,株式会社タクミ建設,兵庫県,赤穂市,真殿５３番地の４２,6780166
4140001039697,株式会社デイリーエッグ,兵庫県,赤穂市,東有年１６５０番地,6781185
4140001039706,株式会社栄華商会,兵庫県,赤穂市,西有年３０７番地１,6781186
4140001039714,寺田産業株式会社,兵庫県,赤穂市,新田９１５番地の１,6780255
4140001039722,株式会社とみはら,兵庫県,赤穂市,尾崎３１４３番地の３２,6780221
4140001039747,赤穂ロープ株式会社,兵庫県,赤穂市,坂越２９１番地,6780172
4140001039755,太志建設株式会社,兵庫県,赤穂市,尾崎３１２６番地の８０,6780221
4140001039763,株式会社濱田工務店,兵庫県,赤穂市,加里屋１７１４番地の６,6780239
4140001039821,株式会社中村建設,兵庫県,赤穂市,加里屋６３番地の１０,6780239
4140001039854,株式会社パルシーズン,兵庫県,赤穂市,高野１番地１７,6780171
4140001039895,播磨化学工業株式会社,兵庫県,赤穂市,坂越字大黒２９１番地,6780172
4140001039904,株式会社笠原設備工業,兵庫県,赤穂市,平成町７３番地,6780247
4140001039978,株式会社赤穂合同魚市場,兵庫県,赤穂市,中広１５７６番地の３５,6780232
4140001039986,株式会社赤穂コーポ,兵庫県,赤穂市,農神町４番地の２４,6780238
4140001039994,株式会社赤穂国際カントリークラブ,兵庫県,赤穂市,西有年字馬路谷３００７番地の１,6781186
4140001040036,大木産業株式会社,兵庫県,赤穂市,北野中１１番地,6780175
4140001040044,株式会社関西プランニング,兵庫県,赤穂市,木津１３２２番地１４６,6780165
4140001040052,株式会社ユニテック・アドバンス,兵庫県,赤穂市,尾崎７９９番地,6780221
4140001040069,三協防災株式会社,兵庫県,赤穂市,加里屋磯１１３９番地の２３,6780239
4140001040085,株式会社スエマサ,兵庫県,赤穂市,塩屋３２２番地６,6780201
4140001040093,大進建設株式会社,兵庫県,赤穂市,大津字帆坂２０３０番地の１３２１,6780252
4140001040110,株式会社大盛工務店,兵庫県,赤穂市,山手町１３番地の２０,6780202
4140001040127,株式会社ビーオーエヌ,兵庫県,赤穂市,加里屋１０９６番地の８,6780239
4140001040135,株式会社ＦＩＡＣ,兵庫県,赤穂市,黒崎町６８番地,6780259
4140001040143,室井工業株式会社,兵庫県,赤穂市,目坂５６１番地,6780164
4140001040151,株式会社松本電業,兵庫県,赤穂市,加里屋中洲４丁目３番地,6780233
4140001040267,塩江建設株式会社,兵庫県,赤穂市,加里屋２５番地の６,6780239
4140001040481,株式会社ＰＧＯ,兵庫県,赤穂市,尾崎３１１７番地の４２,6780221
4140001040556,アーバンハウス株式会社,兵庫県,赤穂市,加里屋４１番地７,6780239
4140001040580,株式会社アレック,兵庫県,赤穂市,東有年９５２番地５,6781185
4140001040614,株式会社いつみ,兵庫県,赤穂市,加里屋６８番地の１１,6780239
4140001040762,株式会社ケー・インフィニティー,兵庫県,赤穂市,加里屋２９０−１０,6780239
4140001040804,株式会社なごみロイヤル倶楽部,兵庫県,赤穂市,南野中６番地の１３,6780176
4140001089668,株式会社関西自動車フィルム,兵庫県,赤穂市,南野中１９８番地１,6780176
4140001089718,株式会社フタバ工業,兵庫県,赤穂市,若草町１１０番地,6780243
4140001095402,株式会社ネクサス,兵庫県,赤穂市,東有年１１９４番地１,6781185
4140001107925,マルイチ水産株式会社,兵庫県,赤穂市,砂子１２０番地６,6780174
4140001109558,株式会社中川工業,兵庫県,赤穂市,磯浜町７８番地,6780250
4140001109814,株式会社四葉ライフ,兵庫県,赤穂市,中広１３５３番地３,6780232
4140001113097,株式会社エコシン商事,兵庫県,赤穂市,新田５８５番地,6780255
4140001114293,カナビス株式会社,兵庫県,赤穂市,加里屋中洲４丁目１番地,6780233
4140001116637,株式会社水難総合研究所,兵庫県,赤穂市,板屋町２２３番地,6780248
4140001119268,晟源株式会社,兵庫県,赤穂市,尾崎２９６番地５,6780221
4140001120580,エフ・アール・ケイ株式会社,兵庫県,赤穂市,東浜町８３番地,6780222
4140001123278,株式会社出口鉄筋工業,兵庫県,赤穂市,黒崎町６４番地３,6780259
4140001129226,ＲＥｃｌｅａＲ株式会社,兵庫県,赤穂市,片浜町９４番地,6780249
4140001132196,豊通ソーテック株式会社,兵庫県,赤穂市,加里屋１１２０番地６,6780239
4140001132213,ＬｉｎＫ株式会社,兵庫県,赤穂市,磯浜町１２３番地,6780250
4140001134473,石原工業株式会社,兵庫県,赤穂市,高野１２２３番地,6780171
4140001134754,株式会社三協メンテナンス,兵庫県,赤穂市,加里屋磯１１３９番地１６,6780239
4140001137939,株式会社御崎圧送,兵庫県,赤穂市,朝日町５番地１８,6780214
4140002034144,土谷商事株式会社,兵庫県,赤穂市,中広９５４番地の３,6780232
4140002034219,株式会社宮本工業,兵庫県,赤穂市,御崎１４０８番地２,6780215
4140003006043,株式会社中村鉄工所,兵庫県,赤穂市,加里屋字磯１１２０番９３,6780239
5120001189510,株式会社スマイルギア,兵庫県,赤穂市,朝日町５番１号,6780214
5120001200210,株式会社快空間,兵庫県,赤穂市,中広１３０４番地３,6780232
5140001023460,日本新素材株式会社,兵庫県,赤穂市,大町４−５,6780205
5140001039655,赤穂生コン株式会社,兵庫県,赤穂市,加里屋９６８番地の５,6780239
5140001039812,株式会社木本ガス設備,兵庫県,赤穂市,加里屋駅前町３１番地の１２,6780239
5140001039820,株式会社トリニティーインターナショナル,兵庫県,赤穂市,新田５４５番地,6780255
5140001039829,株式会社ハトヤ,兵庫県,赤穂市,加里屋中洲６丁目１番地１,6780233
5140001039853,株式会社霜野組,兵庫県,赤穂市,中広島田１７６番地の１,6780232
5140001039894,株式会社原鉄工所,兵庫県,赤穂市,坂越２８１６番地,6780172
5140001039969,株式会社春田屋,兵庫県,赤穂市,加里屋５１番地の８,6780239
5140001039977,株式会社赤穂青果市場,兵庫県,赤穂市,塩屋６５９番地,6780201
5140001039985,赤穂あらなみ塩株式会社,兵庫県,赤穂市,加里屋８２２番地の５,6780239
5140001039993,赤穂海陸株式会社,兵庫県,赤穂市,折方中水尾１５１３番地,6780254
5140001040002,アサヒ電設株式会社,兵庫県,赤穂市,加里屋上町７８番地の９,6780239
5140001040010,出光工業株式会社,兵庫県,赤穂市,鷆和字藤原新田１２８８番４,6780200
5140001040019,株式会社ハリマモータース,兵庫県,赤穂市,黒崎町２１７番地,6780259
5140001040027,株式会社岡友恵堂,兵庫県,赤穂市,折方１４９５番地の２３,6780254
5140001040035,大崎瓦工業株式会社,兵庫県,赤穂市,高野１１５９番地,6780171
5140001040043,株式会社カゴタニ,兵庫県,赤穂市,尾崎３１５４番地の５６,6780221
5140001040051,田中機械設計株式会社,兵庫県,赤穂市,西有年２１３１番地,6781186
5140001040068,山陽漁具株式会社,兵庫県,赤穂市,正保橋町４番地の１０,6780216
5140001040076,株式会社信栄産業,兵庫県,赤穂市,加里屋２０５０番地の３,6780239
5140001040084,株式会社すみや,兵庫県,赤穂市,加里屋４７番地の４,6780239
5140001040101,株式会社玉石,兵庫県,赤穂市,御崎１５１番地の８,6780215
5140001040126,ハヤシアグロサイエンス株式会社,兵庫県,赤穂市,加里屋１１２５番地,6780239
5140001040134,株式会社不動金属工業所,兵庫県,赤穂市,加里屋１１２０番地１１５,6780239
5140001040142,株式会社宮崎土木,兵庫県,赤穂市,福浦３３００番地,6780257
5140001040159,株式会社三木組,兵庫県,赤穂市,中浜町３１番地１２,6780227
5140001040175,株式会社横山サポートテック,兵庫県,赤穂市,中広１３７０番地の１,6780232
5140001040209,株式会社ロング工業,兵庫県,赤穂市,加里屋１０９番地の５,6780239
5140001040316,株式会社サン・エイ,兵庫県,赤穂市,磯浜町１４０番地,6780250
5140001040340,株式会社元祖かもめ屋,兵庫県,赤穂市,尾崎３１８９番地の４７,6780221
5140001040489,株式会社イーリス,兵庫県,赤穂市,加里屋２６番地４,6780239
5140001040497,株式会社フジファーマシー,兵庫県,赤穂市,尾崎３１５８番地８１,6780221
5140001040679,株式会社カンペ赤穂,兵庫県,赤穂市,西浜町９８０番地の１,6780208
5140001040720,株式会社大福,兵庫県,赤穂市,加里屋２１５６番地６,6780239
5140001040786,株式会社オイスターギャラリー,兵庫県,赤穂市,坂越１７８番地,6780172
5140001040860,株式会社ＡＫＯ,兵庫県,赤穂市,坂越３３７番地,6780172
5140001047047,株式会社夢リハ,兵庫県,赤穂市,細野町７８０,6780231
5140001087893,株式会社ダイヤ土地,兵庫県,赤穂市,尾崎２４７０番地の１５１,6780221
5140001092266,株式会社新栄,兵庫県,赤穂市,北野中１１６番地７,6780175
5140001092976,株式会社宮本鉄建工業,兵庫県,赤穂市,鷆和１２８４番地,6780200
5140001097967,弘工株式会社,兵庫県,赤穂市,平成町１６８番地,6780247
5140001101167,クオーリ株式会社,兵庫県,赤穂市,加里屋２１９４番地１,6780239
5140001104310,株式会社友伸,兵庫県,赤穂市,片浜町１２１番地,6780249
5140001104822,ケイズテクノ株式会社,兵庫県,赤穂市,塩屋２６４１番地,6780201
5140001105936,株式会社ステイホールディングス,兵庫県,赤穂市,御崎２番地８,6780215
5140001108377,株式会社ジュニャーナ,兵庫県,赤穂市,東浜町９１番地,6780222
5140001120101,宮本商店株式会社,兵庫県,赤穂市,折方８１２番地１,6780254
5140001123509,株式会社ＭＵＴＳＵＫＩ　ＷＯＲＫＳ,兵庫県,赤穂市,御崎１０７,6780215
5140001130513,株式会社菓澄想,兵庫県,赤穂市,加里屋４０番地６赤穂プラザハイツ１０４,6780239
5140001131164,株式会社メタルプロテック,兵庫県,赤穂市,新田１５４３番地２,6780255
5140001138861,１３５７ＧＴ株式会社,兵庫県,赤穂市,北野中３２４番地１,6780175
5140001138993,株式会社地球再生プロジェクト,兵庫県,赤穂市,加里屋７９番地４,6780239
5140001140157,ＴＴガレージ株式会社,兵庫県,赤穂市,中広１８８９番地,6780232
5140002034110,フジ建設株式会社,兵庫県,赤穂市,鷏和９１番地,6780256
5140002034201,株式会社沖商事,兵庫県,赤穂市,加里屋２０７２番地,6780239
5140003006050,前田同族株式会社,兵庫県,赤穂市,中広１７９番地の６,6780232
6010401108105,ＡＳグローバルマネジメント株式会社,兵庫県,赤穂市,加里屋中洲６丁目１２−２−２０２号,6780233
6130001027783,株式会社地域不動産鑑定所,兵庫県,赤穂市,加里屋字新町９７番地の１サンライズコート１０２,6780239
6140001039654,株式会社丸武,兵庫県,赤穂市,西有年３０１１番地の２１の５６,6781186
6140001039704,株式会社森崎組,兵庫県,赤穂市,東浜町６１番地,6780222
6140001039753,株式会社播州工業,兵庫県,赤穂市,浜市３６８番地の１,6780173
