法人番号,法人名,都道府県,市区町村,番地,郵便番号
1120001197178,株式会社グローバルラン,兵庫県,赤穂郡上郡町,竹万３８１番５,6781232
1140001039650,株式会社竹内建材店,兵庫県,赤穂郡上郡町,上郡１１２番地の３,6781231
1140001039766,大歓株式会社,兵庫県,赤穂郡上郡町,與井６１７番地,6781225
1140001039790,株式会社大賀,兵庫県,赤穂郡上郡町,山野里２３４９番地,6781241
1140001039898,株式会社白晃社,兵庫県,赤穂郡上郡町,山野里２３２１番地の６,6781241
1140001040146,株式会社西播開発興業,兵庫県,赤穂郡上郡町,岩木甲４３番地,6781262
1140001040195,光菱電機株式会社,兵庫県,赤穂郡上郡町,船坂６４０番地,6781252
1140001040204,Ｇ・エンタープライズ株式会社,兵庫県,赤穂郡上郡町,尾長谷４５８番地の１,6781203
1140001040237,株式会社原田呉服店,兵庫県,赤穂郡上郡町,上郡１３９番地３,6781231
1140001040245,兵庫アグリシステム株式会社,兵庫県,赤穂郡上郡町,上郡１４４９番地の１,6781231
1140001040261,淮田石油株式会社,兵庫県,赤穂郡上郡町,上郡１１３番地,6781231
1140001040559,株式会社ヒサテック,兵庫県,赤穂郡上郡町,上郡１３４７番地１,6781231
1140001040591,株式会社コタニ,兵庫県,赤穂郡上郡町,上郡１１０−３,6781231
1140001040658,中洋株式会社,兵庫県,赤穂郡上郡町,梨ケ原字甲奥山１１７１番地１０３９,6781244
1140001040724,株式会社健人,兵庫県,赤穂郡上郡町,奥甲６２７番地１,6781219
1140001091016,株式会社山崎商店,兵庫県,赤穂郡上郡町,上郡８１９番地,6781231
1140001100585,株式会社征帆,兵庫県,赤穂郡上郡町,尾長谷８７８番地３,6781203
1140001102103,本林建設株式会社,兵庫県,赤穂郡上郡町,船坂９０番地２,6781252
1140001102185,株式会社サイバーエンタープライズ,兵庫県,赤穂郡上郡町,高田台７丁目３番１,6781226
1140001105824,株式会社Ｃｈｅｓｓ,兵庫県,赤穂郡上郡町,井上１５３番地７,6781251
1140001115889,Ｃｈａｂｉ　ｌａｎｄ株式会社,兵庫県,赤穂郡上郡町,苔縄１９２番地,6781277
1140001124444,株式会社サンメック,兵庫県,赤穂郡上郡町,上郡４１３番地,6781231
2140001039699,主田工業株式会社,兵庫県,赤穂郡上郡町,落地７０８番地,6781243
2140001039749,株式会社松久組,兵庫県,赤穂郡上郡町,梨ケ原５７１番地の３,6781244
2140001039897,株式会社サクセス,兵庫県,赤穂郡上郡町,山野里字外神田２３２１番地の６,6781241
2140001040178,株式会社アンザイオーエーサービス,兵庫県,赤穂郡上郡町,山野里２１２７番地４,6781241
2140001040186,株式会社Ｎ．Ｇ．Ｃ．,兵庫県,赤穂郡上郡町,井上１９２番地１,6781251
2140001040194,株式会社鎌田組,兵庫県,赤穂郡上郡町,山野里２１６２番地６,6781241
2140001040203,株式会社セイバン,兵庫県,赤穂郡上郡町,與井１６３番地３,6781225
2140001040228,株式会社中村製材所,兵庫県,赤穂郡上郡町,中野９６９番地,6781216
2140001040236,野村電工株式会社,兵庫県,赤穂郡上郡町,山野里２０９０番地,6781241
2140001040244,播備高原開発株式会社,兵庫県,赤穂郡上郡町,八保字小家ノ谷丙５４８番地１,6781200
2140001040252,マイクロフィル株式会社,兵庫県,赤穂郡上郡町,山野里字新田３３３番地２,6781241
2140001040351,川添造園株式会社,兵庫県,赤穂郡上郡町,山野里７４９−１４,6781241
2140001040434,株式会社勝建設,兵庫県,赤穂郡上郡町,金出地８０６番地１,6781201
2140001040640,長友産業株式会社,兵庫県,赤穂郡上郡町,高田台１丁目１番２,6781226
