法人番号,法人名,都道府県,市区町村,番地,郵便番号
1122001037198,ＢＥ　ＳＰＡＣＩＥＳ株式会社,兵庫県,養父市,養父市場字町並２５４番,6670112
1140001046481,石田鉄工株式会社,兵庫県,養父市,大屋町夏梅４５０番地,6670305
1140001046498,株式会社川口工務店,兵庫県,養父市,梨ケ原２２０番地,6671123
1140001046507,北近畿運輸株式会社,兵庫県,養父市,八鹿町伊佐字道東３８番地,6670012
1140001046515,こがね味噌株式会社,兵庫県,養父市,八鹿町八鹿３４３番地の１,6670021
1140001046523,株式会社サン動薬,兵庫県,養父市,八鹿町朝倉字下台１３２番地の２,6670024
1140001046531,正垣木材株式会社,兵庫県,養父市,大屋町大杉５０４番地,6670314
1140001046548,田中テント株式会社,兵庫県,養父市,八鹿町八鹿５５８番地の２１,6670021
1140001046556,株式会社タジマ農林,兵庫県,養父市,八鹿町八木５３２番地,6670041
1140001046564,株式会社津崎鋼材,兵庫県,養父市,八鹿町浅間２８番地１,6670011
1140001046572,南但自動車整備株式会社,兵庫県,養父市,上野３１７番地の１,6670131
1140001046580,株式会社八万屋,兵庫県,養父市,薮崎１５０番地,6670113
1140001046589,兵庫県農林畜産興業株式会社,兵庫県,養父市,大谷字和土１０５３番地,6671102
1140001046597,株式会社フレンド,兵庫県,養父市,八鹿町宿南２５４２番地の１,6670003
1140001046606,マルゴ緑化園株式会社,兵庫県,養父市,上野１０５２番地の４,6670131
1140001046614,水田鉄工株式会社,兵庫県,養父市,薮崎８６２番地,6670113
1140001046630,山本運輸株式会社,兵庫県,養父市,養父市場１０４１番地２,6670112
1140001046647,株式会社柏尾建設,兵庫県,養父市,大薮１００３番地,6670111
1140001046655,とがやま温泉株式会社,兵庫県,養父市,八鹿町高柳４８８番地の１,6670043
1140001046688,株式会社道の駅ようか,兵庫県,養父市,八鹿町高柳２４１番地１,6670043
1140001047001,ハチ高原株式会社,兵庫県,養父市,大久保字横角１５８４番地,6671127
1140001047034,株式会社須田通信,兵庫県,養父市,大屋町大屋市場８５番地１,6670311
1140001094670,株式会社Ｓ・Ｔ,兵庫県,養父市,八鹿町八鹿９６１番地８Ｃビル,6670021
1140001097021,株式会社ＺＥＲＯＴＡＳ,兵庫県,養父市,大屋町大屋市場６９６番地,6670311
1140001099208,株式会社養父新鮮組,兵庫県,養父市,小城５６７番地,6670114
1140001111946,株式会社アイデアＡ,兵庫県,養父市,尾崎１１６１番地１,6671104
1140001112374,トリオファーム株式会社,兵庫県,養父市,八鹿町高柳１８６０番地,6670043
1140001116078,岩本工業株式会社,兵庫県,養父市,八鹿町八鹿８３５番地１,6670021
1140001117183,ＧＴテック株式会社,兵庫県,養父市,八鹿町八鹿６５番地１,6670021
1140001124782,株式会社エステック,兵庫県,養父市,八鹿町坂本５０１番地４,6670013
1140001130582,株式会社リープ,兵庫県,養父市,八鹿町九鹿４４３−２,6670031
1140001137339,株式会社Ｔｈｒｅｅ・Ｒ,兵庫県,養父市,八鹿町八鹿１０７番地５,6670021
1140001140037,西山電気株式会社,兵庫県,養父市,薮崎１０７５番地４,6670113
2012301010113,水原産業株式会社,兵庫県,養父市,十二所９０３番地１,6670102
2140001046480,株式会社イナツギ,兵庫県,養父市,八鹿町八鹿１２１９番地の５,6670021
2140001046489,株式会社エス・エス・アイ,兵庫県,養父市,八鹿町八鹿１７７３番地の４,6670021
2140001046497,カタシマ株式会社,兵庫県,養父市,小城５６８番地,6670114
2140001046506,北垣建設株式会社,兵庫県,養父市,十二所１４７０番地の２,6670102
2140001046514,株式会社児島屋商店,兵庫県,養父市,八鹿町八鹿９３３番地,6670021
2140001046522,サンソーアルミ株式会社,兵庫県,養父市,八鹿町朝倉４０１番地,6670024
2140001046530,篠木寝具株式会社,兵庫県,養父市,八鹿町八鹿字沖田１２１９番地,6670021
2140001046539,全但印刷工芸株式会社,兵庫県,養父市,八鹿町八鹿字沖田１３０８番地,6670021
2140001046547,高柴商事株式会社,兵庫県,養父市,薮崎１０５１番地,6670113
2140001046555,株式会社谷常,兵庫県,養父市,丹戸１９０番地の２,6671124
2140001046563,但馬農産株式会社,兵庫県,養父市,八鹿町坂本６４１番地,6670013
2140001046588,兵庫十條林産株式会社,兵庫県,養父市,八鹿町朝倉５２番地,6670024
2140001046596,福井運送株式会社,兵庫県,養父市,薮崎１６６番地,6670113
2140001046613,ミカタ工業株式会社,兵庫県,養父市,大屋町由良２３４番地１,6670304
2140001046621,株式会社安井工務店,兵庫県,養父市,八鹿町下網場５４番地の２,6670022
2140001046638,八鹿アルミ株式会社,兵庫県,養父市,八鹿町浅間２１５番地１,6670011
2140001046646,株式会社国木建設,兵庫県,養父市,八鹿町国木１９８番地１,6670044
2140001046729,株式会社グリーンセキュリティ,兵庫県,養父市,堀畑５６２番地の１,6670126
2140001046976,飛丸ジャパン株式会社,兵庫県,養父市,八鹿町九鹿１６２番地,6670031
2140001046992,株式会社ＣＬＥＡＲ　ＳＴＹＬＥ,兵庫県,養父市,八鹿町下網場字竹ケ端４７１番地,6670022
2140001047000,レノンズコーポレーション株式会社,兵庫県,養父市,八鹿町八鹿１８９３番地１,6670021
2140001047009,株式会社西村交益社,兵庫県,養父市,八鹿町国木１３３−１,6670044
2140001056463,株式会社スカイウェイ,兵庫県,養父市,上箇１８２番地,6670115
2140001056991,美方ファーム株式会社,兵庫県,養父市,八鹿町八鹿１１３番地１,6670021
2140001087161,株式会社ｃｏｍｆｏｒｔ,兵庫県,養父市,大屋町樽見５０６番地１,6670302
2140001095131,株式会社天翔,兵庫県,養父市,八鹿町浅間５７３番地,6670011
2140001095800,建設技術株式会社,兵庫県,養父市,船谷６９３番地,6670135
2140001098266,弥勒院株式会社,兵庫県,養父市,八鹿町八鹿４３５番地１,6670021
2140001103950,農商振興株式会社,兵庫県,養父市,轟８５８番地,6671117
2140001119286,株式会社ＳＴＡＲｔ’ｓ,兵庫県,養父市,八鹿町下網場４７１番地２,6670022
2140001121705,株式会社フーフー・フー,兵庫県,養父市,大屋町門野７６,6670433
2140001122488,株式会社ルフルーヴ,兵庫県,養父市,大屋町蔵垣９４７番地,6670321
2140001123008,株式会社Ａｃｒｏｘｅｅｄ,兵庫県,養父市,八鹿町八鹿１８３４番地１,6670021
2140001133460,株式会社総合企画Ｒ,兵庫県,養父市,大屋町蔵垣１０２４番地,6670321
2140001133551,株式会社Ｔ３,兵庫県,養父市,薮崎２２８番地,6670113
3110001033282,鴻福株式会社,兵庫県,養父市,尾崎１３８０番地１,6671104
3140001033940,株式会社樽正本店,兵庫県,養父市,建屋５８３番地の２,6670142
3140001046505,株式会社キタモトテック,兵庫県,養父市,上野９５９番地,6670131
3140001046513,コーセー建材株式会社,兵庫県,養父市,八鹿町朝倉４０１番地の３,6670024
3140001046538,関宮観光株式会社,兵庫県,養父市,関宮１６５１番地,6671105
3140001046546,株式会社谷常製菓,兵庫県,養父市,八鹿町八鹿１５００番地,6670021
3140001046554,但馬オート株式会社,兵庫県,養父市,八鹿町八木２４５４番地の１,6670041
3140001046579,パルス工業株式会社,兵庫県,養父市,八鹿町朝倉８番地,6670024
3140001046587,ビック株式会社,兵庫県,養父市,八鹿町八鹿４８番地の２,6670021
3140001046595,福井建設株式会社,兵庫県,養父市,薮崎１６６番地,6670113
3140001046604,丸栄通商株式会社,兵庫県,養父市,八鹿町下網場３９６番地の３,6670022
3140001046612,株式会社ＭＩＫ,兵庫県,養父市,上箇５５番地の５,6670115
3140001046620,株式会社モリモト,兵庫県,養父市,八鹿町朝倉４０１番地の７,6670024
3140001046629,養父市場開発株式会社,兵庫県,養父市,養父市場１２９４番地７７,6670112
3140001046637,全但タクシー株式会社,兵庫県,養父市,八鹿町八鹿１１３番地の１,6670021
3140001046645,インゴット株式会社,兵庫県,養父市,上箇６４１番地,6670115
3140001046975,株式会社たわらや,兵庫県,養父市,八鹿町八木７５番地,6670041
3140001047016,株式会社松田アルミ,兵庫県,養父市,八鹿町八木６０５番地２,6670041
3140001047024,株式会社やぶらいふ,兵庫県,養父市,浅野２７６番地２,6670103
3140001067484,株式会社サン・ウォーター,兵庫県,養父市,上箇５５番地２,6670115
3140001086402,株式会社ＺＥＲＯ,兵庫県,養父市,八鹿町八鹿１０７番地５,6670021
3140001095353,株式会社Ｇｒｅｅｎｅｒｙ　Ｗｏｒｌｄ,兵庫県,養父市,養父市場１０５８番地２,6670112
3140001100476,株式会社トーヨー養父バイオエネルギー,兵庫県,養父市,大薮１１５３番地３,6670111
3140001100600,株式会社クボタｅファームやぶ,兵庫県,養父市,大谷１９０番地３,6671102
3140001106291,片岡工業株式会社,兵庫県,養父市,上箇５番地１,6670115
