法人番号,法人名,都道府県,市区町村,番地,郵便番号
1010401103151,株式会社グローバル・ジャパン,兵庫県,高砂市,米田町米田４１０番地の１,6760805
1140001043818,安藤興業株式会社,兵庫県,高砂市,荒井町日之出町５番２８号,6760014
1140001043826,株式会社池内商店,兵庫県,高砂市,荒井町千鳥２丁目１４番２３号,6760004
1140001043834,株式会社石忠染色,兵庫県,高砂市,百合丘１番６３号,6760803
1140001043850,栄幸工業株式会社,兵庫県,高砂市,梅井３丁目２２番３号,6760074
1140001043875,株式会社クリエイティヴ・ヨコヤマ,兵庫県,高砂市,高砂町田町４７１番地の１,6760049
1140001043883,慶南興産株式会社,兵庫県,高砂市,高砂町木曽町４番３３号,6760024
1140001043891,株式会社香坂建設,兵庫県,高砂市,伊保崎５丁目２番３１号,6760076
1140001043909,五洋株式会社,兵庫県,高砂市,米田町米田１０１９番地の３０,6760805
1140001043917,株式会社三機製作所,兵庫県,高砂市,中筋１丁目１０番４５号,6760812
1140001043925,サンライズ工業株式会社,兵庫県,高砂市,曽根町２７４３番地の１７,6760082
1140001043933,株式会社シーコン,兵庫県,高砂市,荒井町小松原１丁目２番２４号,6760011
1140001043958,株式会社加古川バツテリー,兵庫県,高砂市,米田町米田１０１０番地の２,6760805
1140001043966,株式会社糟谷建設,兵庫県,高砂市,梅井４丁目１番２９号,6760074
1140001043990,株式会社技建前田,兵庫県,高砂市,神爪１丁目１３番１３号,6760808
1140001043999,株式会社たにや物産,兵庫県,高砂市,荒井町千鳥２丁目６番２３号,6760004
1140001044007,株式会社協和電気商会,兵庫県,高砂市,荒井町御旅２丁目２番６号,6760005
1140001044015,株式会社下村商店,兵庫県,高砂市,高砂町北本町１１７２番地,6760064
1140001044023,菅原システム株式会社,兵庫県,高砂市,中筋１丁目６番５−３号,6760812
1140001044031,千都実業株式会社,兵庫県,高砂市,米田町米田字下フケ１４９番地の２,6760805
1140001044048,株式会社大日製作所,兵庫県,高砂市,阿弥陀１丁目１３番１２号,6760815
1140001044056,株式会社タカイ,兵庫県,高砂市,神爪４丁目２番１８号,6760808
1140001044064,高砂メンテナンス株式会社,兵庫県,高砂市,高砂町南本町９１０番地,6760047
1140001044072,高砂食品株式会社,兵庫県,高砂市,高砂町鍵町１９１３番地,6760066
1140001044080,株式会社竹下電気工業所,兵庫県,高砂市,米田町島３９７番地の３,6760807
