法人番号,会社名,都道府県,市区町村,番地,郵便番号,URL,カートシステム
1140001069788,日本アスコ株式会社,兵庫県,西宮市,高畑町１番２０号,6638202,https://www.ascojp.co.jp/,WooCommerce
2140001070646,山本環境整備株式会社,兵庫県,西宮市,鳴尾浜１丁目６番,6638142,http://yksg.co.jp/,WooCommerce
3140001068342,株式会社桂茶屋,兵庫県,西宮市,学文殿町１丁目２番１２号,6638182,http://kyusuikei.com/katsura-chaya/,WooCommerce
3140001069927,株式会社阪急橋本組,兵庫県,西宮市,松籟荘４番２２号,6620822,https://recruit.hashimotogumi.co.jp/,WooCommerce
3140001070455,丸二森本青果株式会社,兵庫県,西宮市,池田町６番１１号,6620911,https://www.sanwa-net.com/sanwa/super.html,WooCommerce
5140001072078,株式会社多聞漬本舗,兵庫県,西宮市,鳴尾浜３丁目７番地９,6638142,https://www.doishibazuke.co.jp/,WooCommerce
6120001123294,スポーツインテリジェンス株式会社,兵庫県,西宮市,甲子園六番町２番３０号,6638176,https://www.sports-i.com/,WooCommerce
6140001100291,株式会社坂本,兵庫県,西宮市,上甲子園１丁目２番５号,6638114,https://sakamoto-fg.jp/,WooCommerce
6140001130256,株式会社藤本商事,兵庫県,西宮市,羽衣町５番３６号,6620051,https://fujimoto-corp.com/,WooCommerce
7120001086219,株式会社ナチュラルネットワーク,兵庫県,西宮市,若松町２−４,6620035,https://naturalnetwork.co.jp/,WooCommerce
6140001071178,日本セラガラス販売株式会社,兵庫県,西宮市,甲子園口２丁目３番７号,6638113,https://shop.hariocorp.co.jp/,Shopify
7140001132929,株式会社大垣花店,兵庫県,西宮市,馬場町５番７号,6620915,https://ogaki-flower-onlineshop.net/,Shopify
8140001068016,株式会社ウェアリブ,兵庫県,西宮市,菊谷町１番１号,6620078,https://www.reliveshirts.com/,Shopify
9140001123513,本家嘉顯株式会社,兵庫県,西宮市,久出ケ谷町１番２３号,6620077,https://www.ippodo-tea.co.jp/,Shopify
2140001072155,株式会社オードレマン販売,兵庫県,西宮市,泉町１番１０８−１０１３号,6620932,https://www.eaudelemanshop.com/,カラーミーショップ
4140001135843,サザエセールス東日本株式会社,兵庫県,西宮市,上大市４丁目１７番１８号,6638003,https://www.sazae-shokuhin.com/company.html,カラーミーショップ
6140001068876,サザエセールス西日本株式会社,兵庫県,西宮市,上大市４丁目１７番１８号,6638003,https://www.sazae-shokuhin.com/company.html,カラーミーショップ
7140001072761,株式会社浪花物産,兵庫県,西宮市,高座町７番１号,6620872,https://naniwayaseika.co.jp/?mode=f1,カラーミーショップ
8140001070327,株式会社本庄商店,兵庫県,西宮市,田中町４番１５号,6620973,https://umeyoshi.com/,カラーミーショップ
4140001070578,株式会社モリ酒販,兵庫県,西宮市,西宮浜３丁目２６番,6620934,https://mori-onlineshop.com/,MakeShop
6140001071269,ヒノキ肌粧品神戸販売株式会社,兵庫県,西宮市,寿町４番２２号,6620047,https://www.hinokishinyaku.jp/,MakeShop
7140001069114,白石工芸株式会社,兵庫県,西宮市,大社町１２番１５−１０５号,6620867,https://siraisi.net/,MakeShop
3140001069984,早瀬食品株式会社,兵庫県,西宮市,戸田町６番１６号,6620916,https://www.hayase-tofu.com/profile.html,STORES
1080401021272,日本プランテック株式会社,兵庫県,西宮市,南郷町８番４−１０２号,6620038,https://plantec.co.jp/,EC不明
1120001094061,株式会社在宅健康管理センター,兵庫県,西宮市,甲子園三保町２番２７号,6638163,https://data-link-plus.com/jp/corporation/1120001094061,EC不明
1140001029783,株式会社Ｇネット,兵庫県,西宮市,今津二葉町３番１０号,6638228,https://g-net.co.jp/company,EC不明
1140001052273,株式会社シティーネット,兵庫県,西宮市,角石町２番１６号,6620096,https://www.citinet.jp/,EC不明
1140001068204,大澤本家酒造株式会社,兵庫県,西宮市,東町１丁目１３番２８号,6620922,http://ohsawasyuzo.com/index.html,EC不明
1140001068245,株式会社岡本木型製作所,兵庫県,西宮市,鳴尾浜１丁目６番３０号,6638142,https://www.okamotokigata.net/,EC不明
1140001068377,亀田武道具販売株式会社,兵庫県,西宮市,甲子園口３丁目２８番２２号,6638113,http://www.kameda-budogu.jp/,EC不明
1140001068492,株式会社協同食品センター,兵庫県,西宮市,鳴尾浜３丁目１７番地,6638142,https://kyoshoku-c.co.jp/,EC不明
1140001068674,株式会社甲東園マーケット,兵庫県,西宮市,甲東園１丁目１番６−３１２号,6620812,https://www.daiei.co.jp/stores/8513/,EC不明
1140001069086,夙川食品株式会社,兵庫県,西宮市,羽衣町１０番４１号,6620051,https://komantarebu.com/restaurant/index2.php?id=28a7l7EJ3L,EC不明
1140001069185,西部スポーツ工業株式会社,兵庫県,西宮市,瓦林町１２番８号,6638107,https://www.kensetumap.com/company/383730/profile.php,EC不明
1140001069474,株式会社塚本電気工業所,兵庫県,西宮市,笠屋町２３番８号,6638136,https://tsukaden.co.jp/,EC不明
1140001069656,株式会社ナカノファッションオフィス,兵庫県,西宮市,上ケ原山田町１−８−１００５,6620886,https://www.nakano-inter.co.jp/,EC不明
1140001069722,西田酒類販賣株式会社,兵庫県,西宮市,北口町１番１号ＡＣＴＡ西宮西館１０６,6638035,https://tabelog.com/hyogo/A2803/A280301/28033992/,EC不明
1140001069937,橋本長株式会社,兵庫県,西宮市,甲陽園本庄町６番５０−４８１号,6620015,https://www.hat.co.jp/,EC不明
1140001070003,阪神園芸株式会社,兵庫県,西宮市,甲子園浦風町１６番２４号,6638165,https://www.hanshinengei.co.jp/,EC不明
