法人番号,会社名,都道府県,市区町村,番地,郵便番号
3140001105112,株式会社アーステック,兵庫県,西宮市,甲子園口３丁目２５番９−３号,6638113
3140001105269,株式会社阪神精肉店,兵庫県,西宮市,荒木町１３番５号,6638025
3140001105285,プラスデザイン株式会社,兵庫県,西宮市,松下町８番２８−５０３号,6620962
3140001105343,株式会社Ｇ,兵庫県,西宮市,馬場町４番２号,6620915
3140001105517,えびす建築工房株式会社,兵庫県,西宮市,津門稲荷町２番２１号,6638247
3140001105806,ジェイカスサービス株式会社,兵庫県,西宮市,今津曙町１１−１１,6638214
3140001106234,西宮建設株式会社,兵庫県,西宮市,戸田町４番１３号２階,6620916
3140001106432,株式会社石啓,兵庫県,西宮市,西田町５番８号,6620034
3140001106928,株式会社アヴァロン,兵庫県,西宮市,津門大塚町２番３０−１００１号,6638241
3140001107018,株式会社ウエストフィールド,兵庫県,西宮市,石刎町１５番１９−２０１号,6620074
3140001107397,株式会社ＰｒｏｊｅｃｔＩＤ,兵庫県,西宮市,薬師町２−５０,6638024
3140001107620,ＧＭＧ株式会社,兵庫県,西宮市,小松南町１丁目６番１号,6638124
3140001107637,株式会社Ｓｅｅｄ,兵庫県,西宮市,甲子園七番町２１番２６号,6638177
3140001107686,フリージア株式会社,兵庫県,西宮市,東山台１丁目１３番地２号棟２０６号,6691133
3140001107843,Ｂｅａｕｔｙ＆Ｒｅｌａｘａｔｉｏｎ　ｂｉｊｏｕ株式会社,兵庫県,西宮市,甲子園口北町２番２−６０３号,6638112
3140001107942,株式会社美庵,兵庫県,西宮市,市庭町１番２７号,6620975
3140001108032,株式会社Ｊ２コーポレーション,兵庫県,西宮市,南甲子園１丁目１０番３号,6638153
3140001108214,株式会社一平ホーム,兵庫県,西宮市,鳴尾町５丁目２番２７号,6638184
3140001108354,株式会社グッドワン,兵庫県,西宮市,若草町１丁目６番２４号,6638181
3140001108486,株式会社ＡＺＯ,兵庫県,西宮市,今津山中町８番２５−１０３号,6638211
3140001108544,株式会社ｋａｗａｂｅ　ｃｏｍｐａｎｙ,兵庫県,西宮市,松下町六丁目２番,6620962
3140001108924,株式会社ＭＡＴＳＵＤＡ,兵庫県,西宮市,今津曙町９番２４号,6638214
3140001109427,ＭＦコーポレーション株式会社,兵庫県,西宮市,松下町６番８−４０５号,6620962
3140001109476,株式会社フォーリレイト,兵庫県,西宮市,上甲子園１丁目３番１０号,6638114
3140001109617,株式会社パヴォーネ,兵庫県,西宮市,甲子園口２丁目２５番４２号,6638113
3140001109914,株式会社ブレインバンク,兵庫県,西宮市,名次町４−２２−２０３号,6620024
3140001110319,株式会社アースオートプロジェクト,兵庫県,西宮市,今津久寿川町８番１５号,6638222
3140001110673,株式会社ネクストステージ,兵庫県,西宮市,甲子園七番町２２番１５−１０４号ダイドーメゾン,6638177
3140001110913,株式会社ＨＡＡＡＰ,兵庫県,西宮市,江上町３−４３,6620855
3140001110962,株式会社マサト,兵庫県,西宮市,段上町２丁目４番１０号,6638006
3140001110970,株式会社キョーシンスタッフ,兵庫県,西宮市,山口町阪神流通センター３丁目２５番地,6511431
3140001110987,株式会社コンプリメント,兵庫県,西宮市,上甲子園４丁目４番１２号上甲子園ビル２階,6638114
