法人番号,会社名,市区町村,番地,郵便番号,公式サイト有無,公式URL,所在地確認(公式),ECサイト有無,ECサイトURL,所在地確認(EC),カートシステム
1010001179427,株式会社インバウンドグループ,西宮市,甲子園高潮町３番４７−１００１号,6638166,あり,https://inboundgroup.jp/,❌ 大阪市中央区（西宮でない）,不明（所在地違いのため除外）,,,
1010401075168,株式会社Ｍ'ｓ　ｌｉｆｅ．　ｃｏｒｐｏｒａｔｉｏｎ,西宮市,苦楽園三番町２番４５号,6620081,あり,https://ms-life.life/,❌ 広島県（西宮でない）,不明（所在地違いのため除外）,,,
1010401127019,新明王株式会社,西宮市,大井手町５番２１号,6620026,なし（廃業2019年）,,-,-,,,
1010701008447,富士幸産業株式会社,西宮市,浜甲子園１丁目１６−１８,6638154,あり,http://fujikosangyo.jp/,✓ 西宮市,なし,,,
1010701022919,株式会社Ｍｅｄｉｃａｌ　ｉｎｆｏｒｍａｔｉｏｎ　ｎｅｔｗｏｒｋ,西宮市,神園町２－７０－１０３,6620837,あり,https://www.f-min.shop/,✓ 西宮市神園町,あり,https://www.f-min.shop/,✓ 西宮市,BASE
1011301015981,株式会社ルームセブンジャパン,西宮市,上大市４丁目１０番３６−４０２号,6638003,あり,http://oilily.jp/,✓ 西宮市門戸荘,あり,https://www.oililyshop.jp/,✓ 西宮市門戸荘,MakeShop
1011601013925,株式会社明和,西宮市,西宮浜４丁目１４番２号,6630812,なし（廃業）,,-,-,,,
1030001155260,株式会社七竈,西宮市,鳴尾浜２丁目１３番,6638142,なし,,-,-,,,
1080401021272,日本プランテック株式会社,西宮市,南郷町８番４－１０２号,6620038,あり,https://j-plantech.com/,✓ 西宮市（食品粉砕機器・B2B）,なし,,,
1100001026025,大美和株式会社,西宮市,上甲東園２丁目６番８号,6620813,なし,,-,-,,,
